category,x,y
2,64.4007871926,67.44871844720001
2,63.8689598271,70.2137388333
2,56.5944213157,86.9270062202
2,56.5313372853,87.49981107129999
2,59.652158369700004,87.80946159209999
2,56.6365087005,85.637495556
2,58.6722880025,90.07716030700001
2,58.221612726400004,90.4110187715
2,57.914664476800006,89.95380276770003
2,55.315509058100005,80.2518606944
2,54.575728587700006,77.5362884724
2,54.4130936504,78.2290865878
2,55.0745059041,79.8175464166
2,29.432960515599998,60.8017765444
2,29.422686066500006,63.0684648229
2,29.005614157600004,63.390751333400004
2,58.4618385916,90.2653263904
2,57.997804738999996,92.1599086113
2,57.5494740761,90.74890655809999
2,59.5299284566,88.3272741451
2,58.249391063100006,92.1296814778
2,58.0245140126,91.6944211685
2,58.3821244904,90.5534760692
2,62.5667590405,77.7439347591
2,72.1758243064,63.12892941760001
2,79.4727615693,63.4086861199
2,80.3577008812,63.2954375404
2,78.7572361375,53.3326200111
2,82.5402395934,56.5410522935
2,86.43589719090002,59.7927618087
2,79.4886844186,53.651674264099995
2,81.5304203188,56.0253645659
2,79.1867885665,53.2347918468
2,77.8990579454,51.8224583343
2,75.1307142075,23.3724419733
2,76.0580137544,16.383749688199998
2,57.614674387600004,33.8224476502
2,56.1713975295,32.1179887719
2,66.2878905956,26.117109745300002
2,67.8817196169,24.2360184109
2,64.0280813016,27.6726855125
2,77.4966517463,14.9485235577
2,77.6346517616,14.461853927
2,77.86372642890001,14.610677649100001
2,77.3381581659,15.890054658
2,76.1804165329,15.9125737458
2,77.2526510945,15.1515170246
2,77.4133752817,15.221927976199998
2,76.7318493982,16.2168461441
2,49.4711054118,25.063019306199998
2,42.4765399431,18.338473563599997
2,43.595115862200004,19.9942009773
2,50.3399696652,26.4713966117
2,40.748980256100005,16.1821416622
2,38.3865255803,14.5802151464
2,38.4040152085,14.4519484496
2,38.7642788913,14.365590474400001
2,41.4701423265,17.2780334445
2,47.1554048146,22.3779325323
2,39.5825667453,17.6484528361
2,41.7402438167,17.8293243101
2,39.3118718889,15.6407169743
2,41.6798476925,17.7459190133
2,39.0874644519,15.1223039378
2,41.4815028637,18.0474374446
2,77.6060865492,15.162872538299998
2,75.9826615205,16.3069223786
2,76.94575724239999,15.858478334
2,77.5437200743,15.253949149
2,77.5847398447,15.8300393854
2,76.8223042562,15.595165319500001
2,77.3485716647,15.7745292395
2,77.5731526867,14.7806458332
2,77.9726106776,14.9556987461
2,41.528919758600004,24.9164251896
2,43.722550803400004,19.0773278036
2,79.32607817510001,52.9003912897
2,56.663974081499994,87.9401250067
2,57.8217892319,90.6931665489
2,58.2431718991,92.1043278652
