country,date,sales,n_items,n_orders,day_of_week
EIRE,2011-04-11,998.5300000000003,590,2,0
EIRE,2011-04-17,446.73999999999984,151,1,6
EIRE,2011-04-19,367.61999999999995,234,1,1
EIRE,2011-04-27,362.9,163,1,2
EIRE,2011-05-03,1164.21,532,2,1
EIRE,2011-05-05,366.86,193,1,3
EIRE,2011-05-06,3869.1800000000007,1694,1,4
EIRE,2011-05-08,862.5300000000003,446,1,6
EIRE,2011-05-10,810.45,349,3,1
EIRE,2011-05-15,603.7799999999999,139,1,6
EIRE,2011-05-16,4615.36,2274,4,0
EIRE,2011-05-17,1216.1200000000001,428,1,1
EIRE,2011-05-18,1414.3600000000006,636,1,2
EIRE,2011-05-19,1203.8000000000002,397,2,3
EIRE,2011-05-20,380.32,226,1,4
EIRE,2011-05-23,1007.7500000000002,401,1,0
EIRE,2011-05-26,494.04,313,3,3
EIRE,2011-06-06,958.1199999999999,404,1,0
EIRE,2011-06-07,254.30999999999997,192,1,1
EIRE,2011-06-08,3351.32,2582,2,2
EIRE,2011-06-09,984.27,507,2,3
EIRE,2011-06-13,821.32,427,1,0
EIRE,2011-06-15,4483.58,3026,2,2
EIRE,2011-06-16,1012.8599999999998,268,1,3
EIRE,2011-06-17,626.1299999999999,356,1,4
EIRE,2011-06-19,303.3,84,1,6
EIRE,2011-06-20,3133.12,2,1,0
EIRE,2011-06-21,147.39999999999998,49,1,1
EIRE,2011-06-22,1019.1999999999997,590,2,2
EIRE,2011-06-23,372.29999999999995,188,2,3
EIRE,2011-06-24,2084.71,877,4,4
EIRE,2011-06-27,816.3199999999998,393,2,0
EIRE,2011-06-29,3738.9900000000007,2566,3,2
EIRE,2011-06-30,756.3600000000002,394,1,3
EIRE,2011-07-01,1794.1799999999992,798,3,4
EIRE,2011-07-04,1170.8000000000002,537,3,0
EIRE,2011-07-05,205.60000000000002,21,1,1
EIRE,2011-07-14,1802.0700000000004,866,2,3
EIRE,2011-07-18,1077.5299999999997,1353,2,0
EIRE,2011-07-19,13584.639999999987,7241,4,1
EIRE,2011-07-21,1338.2900000000004,645,3,3
EIRE,2011-07-26,396.77000000000004,252,1,1
EIRE,2011-07-27,764.51,657,2,2
EIRE,2011-07-28,5406.149999999998,2799,3,3
EIRE,2011-07-29,728.9399999999999,286,1,4
EIRE,2011-07-31,14520.37,6656,2,6
EIRE,2011-08-04,4345.1,2270,1,3
EIRE,2011-08-05,1572.7300000000005,744,1,4
EIRE,2011-08-08,829.9600000000003,603,1,0
EIRE,2011-08-10,1253.0499999999997,391,1,2
EIRE,2011-08-11,1672.4,1187,2,3
EIRE,2011-08-12,2165.63,1045,2,4
EIRE,2011-08-15,467.41999999999985,580,1,0
EIRE,2011-08-17,2198.039999999999,843,3,2
EIRE,2011-08-18,131.85,38,1,3
EIRE,2011-08-19,989.4899999999997,644,1,4
EIRE,2011-08-21,458.90000000000003,148,1,6
EIRE,2011-08-23,817.0199999999999,735,2,1
EIRE,2011-08-26,1452.16,849,2,4
EIRE,2011-09-01,3880.56,2184,2,3
EIRE,2011-09-02,749.13,163,1,4
EIRE,2011-09-04,629.0400000000001,1272,1,6
EIRE,2011-09-05,8488.859999999999,5491,3,0
EIRE,2011-09-06,4234.1900000000005,1285,2,1
EIRE,2011-09-07,3415.2899999999972,1877,4,2
EIRE,2011-09-08,2091.0600000000004,950,2,3
EIRE,2011-09-14,781.11,734,1,2
EIRE,2011-09-15,693.5300000000001,311,2,3
EIRE,2011-09-19,648.4800000000001,166,1,0
EIRE,2011-09-20,1798.3900000000006,957,2,1
EIRE,2011-09-21,381.21999999999997,94,1,2
EIRE,2011-09-22,1254.42,808,3,3
EIRE,2011-09-23,3502.9,1959,2,4
EIRE,2011-09-26,1156.14,480,2,0
EIRE,2011-09-27,776.3,202,1,1
EIRE,2011-09-28,2350.3900000000012,1028,5,2
EIRE,2011-09-30,6255.539999999998,3125,3,4
EIRE,2011-10-06,421.29999999999995,229,1,3
EIRE,2011-10-07,904.1400000000001,448,1,4
EIRE,2011-10-10,3201.279999999999,1018,3,0
EIRE,2011-10-11,1575.7899999999995,2206,3,1
EIRE,2011-10-12,2212.5600000000004,1041,5,2
EIRE,2011-10-14,406.84000000000003,353,1,4
EIRE,2011-10-17,5449.12,2621,7,0
EIRE,2011-10-18,1512.1700000000003,625,2,1
EIRE,2011-10-19,1588.7499999999998,711,1,2
EIRE,2011-10-20,3621.35,4953,2,3
EIRE,2011-10-21,1680.03,901,2,4
EIRE,2011-10-24,646.0200000000002,221,1,0
EIRE,2011-10-30,501.65999999999997,185,1,6
EIRE,2011-10-31,596.91,392,1,0
EIRE,2011-11-01,2047.0499999999997,894,2,1
EIRE,2011-11-07,1157.33,768,4,0
EIRE,2011-11-09,826.04,580,1,2
EIRE,2011-11-10,1003.03,496,1,3
EIRE,2011-11-11,2506.770000000001,1252,3,4
EIRE,2011-11-13,4454.439999999999,2643,4,6
EIRE,2011-11-14,348.21,206,1,0
EIRE,2011-11-15,2246.3100000000004,1206,5,1
EIRE,2011-11-16,4906.290000000001,3082,3,2
EIRE,2011-11-17,1602.4200000000003,631,2,3
EIRE,2011-11-18,785.56,296,1,4
EIRE,2011-11-20,917.5400000000002,440,1,6
EIRE,2011-11-21,900.6000000000004,626,2,0
EIRE,2011-11-22,2055.200000000001,1485,3,1
EIRE,2011-11-23,177.33000000000004,60,1,2
EIRE,2011-11-24,207.14000000000001,143,1,3
EIRE,2011-11-25,293.78999999999996,92,1,4
EIRE,2011-11-27,829.9100000000001,225,1,6
EIRE,2011-11-28,1878.8299999999995,945,2,0
EIRE,2011-11-30,1594.64,587,3,2
EIRE,2011-12-01,1038.92,565,3,3
EIRE,2011-12-04,773.5400000000001,534,1,6
EIRE,2011-12-05,587.4,219,2,0
EIRE,2011-12-07,3856.8899999999994,1998,3,2
EIRE,2011-12-08,1084.14,806,1,3
Finland,2010-12-16,892.8000000000001,1254,1,3
Finland,2011-01-21,661.58,164,1,4
Finland,2011-01-25,227.43999999999997,601,1,1
Finland,2011-02-24,205.15999999999997,141,1,3
Finland,2011-03-01,4969.219999999998,2127,3,1
Finland,2011-03-20,409.2,63,1,6
Finland,2011-03-30,558.4,346,1,2
Finland,2011-04-05,367.0,269,1,1
Finland,2011-04-11,373.72,237,1,0
Finland,2011-04-15,306.19999999999993,159,1,4
Finland,2011-04-21,642.0,153,1,3
Finland,2011-06-23,329.56,157,1,3
Finland,2011-07-05,632.44,228,1,1
Finland,2011-07-14,1710.3900000000006,857,1,3
Finland,2011-07-19,653.9,188,1,1
Finland,2011-08-04,360.81,145,1,3
Finland,2011-08-11,605.1400000000001,385,1,3
Finland,2011-08-26,410.54999999999995,163,1,4
Finland,2011-09-02,230.30000000000004,87,1,4
Finland,2011-09-13,319.6,73,1,1
Finland,2011-09-22,245.55,138,1,3
Finland,2011-09-25,310.0,217,1,6
Finland,2011-10-04,310.0,73,1,1
Finland,2011-10-12,954.9300000000004,469,2,2
Finland,2011-10-13,640.5000000000002,236,1,3
Finland,2011-10-27,701.7900000000001,284,1,3
Finland,2011-10-31,214.9,53,1,0
Finland,2011-11-04,1321.2799999999995,326,2,4
Finland,2011-11-14,408.34000000000003,150,1,0
Finland,2011-11-17,234.32999999999998,183,2,3
Finland,2011-11-23,310.0,73,1,2
Finland,2011-11-29,227.20000000000002,91,1,1
Finland,2011-11-30,569.0900000000001,264,1,2
Finland,2011-12-01,890.0,218,1,3
Finland,2011-12-02,342.76,132,2,4
France,2010-12-01,855.86,449,1,2
France,2010-12-03,425.38,239,2,4
France,2010-12-05,1526.92,611,1,6
France,2010-12-07,1448.98,752,2,1
France,2010-12-08,173.55,121,1,2
France,2010-12-09,1859.73,1017,4,3
France,2010-12-10,1071.9,418,1,4
France,2010-12-15,195.89,134,1,2
France,2010-12-16,4.949999999999999,3,1,3
France,2010-12-17,350.28,398,2,4
France,2010-12-20,1371.19,733,2,0
France,2010-12-21,221.27999999999997,26,2,1
France,2010-12-22,110.39999999999999,88,1,2
France,2011-01-05,1391.1799999999998,735,2,2
France,2011-01-06,799.0200000000001,443,2,3
France,2011-01-07,1065.09,596,2,4
France,2011-01-09,114.00000000000003,78,1,6
France,2011-01-10,1238.0599999999997,635,1,0
France,2011-01-11,1512.6399999999999,988,4,1
France,2011-01-12,1415.63,682,3,2
France,2011-01-14,1790.43,1072,3,4
France,2011-01-17,732.14,268,1,0
France,2011-01-19,752.7500000000001,386,1,2
France,2011-01-20,1516.68,708,1,3
France,2011-01-23,514.5,126,1,6
France,2011-01-24,190.2,84,1,0
France,2011-01-25,36.0,2,1,1
France,2011-01-28,1079.83,574,3,4
France,2011-01-31,3591.9699999999993,1822,2,0
France,2011-02-01,510.85,200,1,1
France,2011-02-02,641.3900000000001,368,2,2
France,2011-02-04,1236.7300000000002,617,1,4
France,2011-02-08,201.86,216,1,1
France,2011-02-09,455.0199999999999,301,1,2
France,2011-02-10,321.56000000000006,454,1,3
France,2011-02-15,255.60000000000002,98,1,1
France,2011-02-16,919.6600000000002,777,1,2
France,2011-02-17,250.0,116,1,3
France,2011-02-18,974.5999999999999,768,2,4
France,2011-02-21,746.8199999999999,334,2,0
France,2011-02-23,439.76000000000005,362,2,2
France,2011-02-27,110.6,71,1,6
France,2011-02-28,1451.51,658,4,0
France,2011-03-01,1146.2599999999998,580,2,1
France,2011-03-03,573.16,342,2,3
France,2011-03-04,317.25,125,1,4
France,2011-03-11,712.8499999999999,325,1,4
France,2011-03-13,343.29,185,1,6
France,2011-03-14,479.4,187,1,0
France,2011-03-15,565.54,317,1,1
France,2011-03-16,262.8,160,2,2
France,2011-03-20,316.02000000000004,423,1,6
France,2011-03-21,205.86999999999998,90,2,0
France,2011-03-22,523.98,201,1,1
France,2011-03-23,1891.2800000000002,1233,4,2
France,2011-03-25,357.9100000000001,264,1,4
France,2011-03-27,164.05,61,1,6
France,2011-03-28,1136.3000000000002,848,1,0
France,2011-03-31,5593.59,3349,3,3
France,2011-04-01,390.75,328,2,4
France,2011-04-04,719.55,298,2,0
France,2011-04-05,1136.3,1,1,1
France,2011-04-07,366.2,239,1,3
France,2011-04-14,669.1999999999999,287,1,3
France,2011-04-17,630.2199999999999,402,2,6
France,2011-04-20,541.1999999999999,200,1,2
France,2011-04-21,706.5499999999998,301,2,3
France,2011-04-26,160.54,84,1,1
France,2011-04-28,209.09999999999997,147,1,3
France,2011-05-03,1823.3400000000004,1046,6,1
France,2011-05-05,236.00000000000003,100,1,3
France,2011-05-08,1092.4299999999996,779,1,6
France,2011-05-09,554.9000000000001,497,2,0
France,2011-05-10,489.09999999999997,460,1,1
France,2011-05-11,3018.7299999999996,1593,2,2
France,2011-05-12,296.53,106,1,3
France,2011-05-13,1000.5100000000002,505,3,4
France,2011-05-15,151.4,141,1,6
France,2011-05-16,756.6199999999999,283,3,0
France,2011-05-17,793.62,479,1,1
France,2011-05-18,869.5300000000001,334,3,2
France,2011-05-19,914.5099999999999,562,2,3
France,2011-05-20,1118.4,473,1,4
France,2011-05-22,910.7100000000002,298,2,6
France,2011-05-23,421.9599999999999,306,1,0
France,2011-05-24,393.34,210,1,1
France,2011-05-25,1280.82,742,3,2
France,2011-05-26,630.5,514,2,3
France,2011-05-27,403.09000000000003,157,1,4
France,2011-05-31,458.84000000000003,203,1,1
France,2011-06-05,3442.51,1909,3,6
France,2011-06-06,371.4500000000001,115,1,0
France,2011-06-08,1598.0800000000004,1344,4,2
France,2011-06-09,1030.5899999999997,787,2,3
France,2011-06-10,480.0,164,1,4
France,2011-06-12,360.18000000000006,716,1,6
France,2011-06-13,2399.6199999999985,904,3,0
France,2011-06-15,1856.1100000000006,1007,5,2
France,2011-06-16,510.27000000000004,270,1,3
France,2011-06-17,1359.5800000000004,514,1,4
France,2011-06-19,125.46000000000001,63,1,6
France,2011-06-20,734.5600000000002,262,2,0
France,2011-06-21,257.3,351,1,1
France,2011-06-22,852.44,658,2,2
France,2011-06-24,634.7400000000002,413,1,4
France,2011-06-27,201.24,119,1,0
France,2011-06-28,134.28,109,1,1
France,2011-07-01,451.86000000000007,364,2,4
France,2011-07-04,474.36000000000007,259,1,0
France,2011-07-05,662.35,321,1,1
France,2011-07-06,1056.62,597,1,2
France,2011-07-08,1193.2499999999998,662,3,4
France,2011-07-11,611.0800000000003,290,2,0
France,2011-07-12,1223.8499999999997,616,4,1
France,2011-07-13,915.46,667,1,2
France,2011-07-17,150.1,47,1,6
France,2011-07-18,1866.0800000000002,921,2,0
France,2011-07-19,99.6,33,1,1
France,2011-07-24,412.93000000000006,236,1,6
France,2011-07-27,204.75,148,1,2
France,2011-07-29,677.8999999999995,503,1,4
France,2011-08-02,85.8,52,1,1
France,2011-08-03,1202.22,699,1,2
France,2011-08-04,511.03000000000014,281,1,3
France,2011-08-05,830.3000000000001,486,2,4
France,2011-08-10,248.35,197,1,2
France,2011-08-12,412.88,180,1,4
France,2011-08-14,46.65,3,1,6
France,2011-08-15,1161.0700000000002,607,1,0
France,2011-08-17,580.0799999999999,400,1,2
France,2011-08-18,764.7900000000001,463,2,3
France,2011-08-19,612.2900000000001,462,1,4
France,2011-08-21,528.7700000000002,270,2,6
France,2011-08-23,947.3600000000001,460,2,1
France,2011-08-24,428.91,246,2,2
France,2011-08-25,2169.2099999999987,1314,4,3
France,2011-08-26,1130.9499999999996,694,1,4
France,2011-08-31,2150.3,1144,4,2
France,2011-09-02,942.7599999999999,427,3,4
France,2011-09-04,891.8199999999999,509,1,6
France,2011-09-05,994.9999999999999,334,2,0
France,2011-09-07,2889.76,1637,3,2
France,2011-09-08,1461.4900000000002,860,2,3
France,2011-09-09,2074.7999999999993,1116,3,4
France,2011-09-11,112.38000000000001,43,1,6
France,2011-09-13,94.32000000000001,73,1,1
France,2011-09-14,357.32,438,1,2
France,2011-09-15,2686.159999999999,1231,3,3
France,2011-09-19,2035.0499999999993,847,4,0
France,2011-09-20,377.66,306,1,1
France,2011-09-21,1083.7600000000002,821,4,2
France,2011-09-22,1679.7000000000003,1204,4,3
France,2011-09-23,790.5400000000002,479,1,4
France,2011-09-25,775.9900000000001,281,2,6
France,2011-09-27,189.2,65,1,1
France,2011-09-28,644.7500000000001,268,1,2
France,2011-09-29,1395.679999999999,992,4,3
France,2011-09-30,1949.900000000001,1071,3,4
France,2011-10-03,358.3999999999999,158,1,0
France,2011-10-04,357.3,115,2,1
France,2011-10-05,2059.1999999999994,1242,4,2
France,2011-10-06,157.0,29,1,3
France,2011-10-07,675.3600000000004,527,2,4
France,2011-10-10,426.58,221,2,0
France,2011-10-11,4279.710000000004,2801,1,1
France,2011-10-12,1360.2900000000004,656,5,2
France,2011-10-13,331.72,124,1,3
France,2011-10-14,513.6,234,1,4
France,2011-10-19,2792.9600000000005,733,2,2
France,2011-10-20,1056.9000000000003,530,1,3
France,2011-10-27,9425.91,566,6,3
France,2011-10-28,8990.460000000005,5246,3,4
France,2011-10-30,214.73999999999995,209,1,6
France,2011-10-31,485.31999999999994,416,2,0
France,2011-11-01,1854.8100000000002,1032,3,1
France,2011-11-02,633.44,291,1,2
France,2011-11-03,1653.9800000000005,1037,3,3
France,2011-11-04,461.90999999999985,338,2,4
France,2011-11-07,288.6699999999999,292,1,0
France,2011-11-08,1388.7700000000002,870,2,1
France,2011-11-09,1068.8200000000002,499,2,2
France,2011-11-10,2128.0299999999997,1347,7,3
France,2011-11-11,2358.9100000000008,1836,6,4
France,2011-11-13,123.08000000000001,69,1,6
France,2011-11-14,1666.4199999999998,894,3,0
France,2011-11-15,809.22,481,2,1
France,2011-11-16,1575.2799999999997,687,2,2
France,2011-11-17,3264.0200000000004,1611,4,3
France,2011-11-18,1072.68,550,3,4
France,2011-11-20,838.7099999999998,298,2,6
France,2011-11-21,397.7200000000001,271,1,0
France,2011-11-22,943.6299999999997,361,2,1
France,2011-11-23,348.38000000000005,219,2,2
France,2011-11-24,2241.8700000000013,959,2,3
France,2011-11-25,1260.31,828,3,4
France,2011-11-28,1227.34,907,3,0
France,2011-11-29,1339.12,645,2,1
France,2011-11-30,2813.5900000000006,1567,5,2
France,2011-12-01,931.3899999999999,492,2,3
France,2011-12-02,1579.2499999999998,800,3,4
France,2011-12-04,1031.8899999999999,542,3,6
France,2011-12-05,797.4799999999999,477,2,0
France,2011-12-06,1403.9399999999998,787,4,1
France,2011-12-07,1117.62,561,2,2
France,2011-12-08,165.9,21,1,3
France,2011-12-09,249.44999999999996,105,1,4
Germany,2010-12-01,261.48,157,1,2
Germany,2010-12-02,155.35,148,1,3
Germany,2010-12-03,555.5300000000001,170,3,4
Germany,2010-12-05,2476.6900000000005,1361,4,6
Germany,2010-12-06,196.44,89,1,0
Germany,2010-12-07,596.8,155,1,1
Germany,2010-12-08,522.7,139,1,2
Germany,2010-12-09,919.0899999999999,396,3,3
Germany,2010-12-10,2360.41,1096,2,4
Germany,2010-12-13,12.45,2,1,0
Germany,2010-12-17,4690.820000000001,1658,8,4
Germany,2010-12-19,469.87,337,1,6
Germany,2010-12-20,631.96,234,1,0
Germany,2010-12-23,1391.5499999999997,935,2,3
Germany,2011-01-07,3976.1299999999974,2658,4,4
Germany,2011-01-10,682.3299999999999,635,2,0
Germany,2011-01-11,144.26,87,1,1
Germany,2011-01-12,250.65000000000003,97,1,2
Germany,2011-01-13,753.4499999999999,100,1,3
Germany,2011-01-14,534.02,248,3,4
Germany,2011-01-17,1316.9000000000005,583,2,0
Germany,2011-01-18,132.52,113,1,1
Germany,2011-01-19,63.0,37,1,2
Germany,2011-01-24,2364.7799999999993,1203,3,0
Germany,2011-01-25,2416.8400000000006,1145,3,1
Germany,2011-01-26,1175.76,692,2,2
Germany,2011-01-27,767.99,410,3,3
Germany,2011-01-31,2332.21,1069,4,0
Germany,2011-02-01,314.15000000000003,61,1,1
Germany,2011-02-02,75.60000000000001,36,1,2
Germany,2011-02-03,1712.0400000000004,469,3,3
Germany,2011-02-09,168.9,160,1,2
Germany,2011-02-10,351.94999999999993,228,2,3
Germany,2011-02-11,2355.9500000000003,639,1,4
Germany,2011-02-14,802.4899999999999,459,2,0
Germany,2011-02-17,540.5799999999999,380,2,3
Germany,2011-02-18,152.4,108,1,4
Germany,2011-02-21,1418.2899999999997,791,2,0
Germany,2011-02-23,388.29999999999995,201,1,2
Germany,2011-02-25,1300.4000000000003,713,2,4
Germany,2011-03-01,762.5,384,1,1
Germany,2011-03-03,725.28,536,2,3
Germany,2011-03-07,817.56,358,3,0
Germany,2011-03-08,884.6299999999998,437,3,1
Germany,2011-03-11,987.4200000000006,618,1,4
Germany,2011-03-16,300.70000000000005,50,1,2
Germany,2011-03-17,1363.1999999999996,763,2,3
Germany,2011-03-18,2390.929999999999,1252,5,4
Germany,2011-03-20,363.93000000000006,114,2,6
Germany,2011-03-22,1319.9799999999998,976,3,1
Germany,2011-03-25,2651.340000000001,1134,3,4
Germany,2011-03-28,1089.5400000000002,850,3,0
Germany,2011-03-30,418.70000000000005,174,1,2
Germany,2011-03-31,316.97999999999996,93,2,3
Germany,2011-04-01,348.68,115,1,4
Germany,2011-04-04,674.2900000000001,390,2,0
Germany,2011-04-07,415.7,238,1,3
Germany,2011-04-08,1672.0100000000004,845,2,4
Germany,2011-04-11,630.3199999999997,464,2,0
Germany,2011-04-14,3440.3099999999995,1208,6,3
Germany,2011-04-18,222.75,1,1,0
Germany,2011-04-19,2614.599999999999,1503,3,1
