Year,Season,blueTeamTag,bResult,redTeamTag,gamelength,game_id
2015,Summer,LGD,1,TSM,37,f957f6a3-c707-4d3d-91fa-44c63277b4d7
2016,Spring,PNG,1,ITZ,32,09a298ee-6a70-4b2d-bad6-4eef19c89434
2015,Spring,TIP,0,DIG,42,a3ffc16e-f09c-44a6-bf42-c7986c997ea7
2015,Summer,CW,0,OG,32,c6cbbf4a-a05b-478b-ae4c-a2227a3c4361
2016,Spring,AFs,1,kt,33,630f911d-43cb-44cb-9e3d-81494887c23f
2016,Summer,TM,0,HKE,43,c6e59cc6-61d7-4e28-b779-fea96fe729ba
2016,Spring,CJ,0,JAG,43,fea5108e-d785-4cce-a8d2-6f5c4905556c
2016,Spring,g3x,0,CNB,32,860a7af5-313c-488d-aeaa-70257b061622
2016,Summer,KBM,0,RED,31,c05bb989-f524-47f6-af93-b2dd0a0ab10f
2015,Summer,KOO,1,kt,34,2ffd1d65-4d18-49e8-bf82-92845db65a31
2016,Summer,CRW,0,BJK,31,e7fb18d5-ea36-4eb8-bef0-746f15ecfa9a
2016,Summer,VEG,0,NV,37,4e3d63bb-30a1-446f-8d94-c72f1d94c80b
2016,Summer,CRW,1,CLK,51,95754b82-4e4b-49b7-b698-d20aae14e1bb
2016,Spring,LZ,1,SSB,32,22a469b8-8258-4b08-b46d-8fbe359810c8
2016,Summer,SIN,0,CHF,22,de6037ce-d82a-4579-8c70-db9b09fa375f
2016,Summer,JAG,0,MVP,36,c328ddd2-9538-4be7-8d29-6d9e68a8f7d3
2016,Spring,TRI,0,DW,38,3398cdd9-4579-41ca-add4-234050654cea
2015,Spring,TSM,0,GV,37,cbf8944b-22bb-49cc-b49d-bf8eb2332d12
2016,Spring,CJ,0,SKT,34,919b15b0-7f95-4bac-ae55-541758b98b83
2016,Spring,H2K,1,OG,31,86d10585-691a-4829-a172-887c74629748
2016,Summer,AUR,0,DP,31,55292e3d-73cd-4235-9062-d2d1987e9c99
2015,Summer,H2K,0,SKT,30,c77487fa-ae9e-4d0b-a6e0-7da99c1b3c1a
2016,Spring,DIG,1,TSM,37,4030fb51-33cb-48f0-a423-e4128bf9f95d
2015,Spring,G2,0,FAC,33,72e47fd2-77f7-45fe-bcaf-5fdd68433f37
2016,Summer,OG,1,FNC,81,16678e73-e668-4f28-874b-49c80bdf46c8
2016,Summer,PNG,1,ITZ,50,e836ce4e-382b-464f-bc52-ac556e95ff86
2016,Spring,CNB,1,g3x,43,c858a9c2-efbc-476c-a6f6-3c3c6053c63e
2016,Spring,LZ,1,SKT,30,8e0e5676-701b-49d8-bc15-ee67f5c7650d
2015,Summer,Mac,0,ahq,39,5794116d-d388-473d-9378-4cf4059dbfbf
2016,Spring,CHF,1,SIN,30,efea5cc6-bfb7-4220-bcc6-0a02d0448ec0
2016,Summer,JAG,1,SKT,58,80ca07e5-d1b2-45f7-b2ea-7f9604dddf59
2016,Spring,VIT,1,UOL,31,d3b0010a-54ed-45c2-83c2-2da92d4c3602
2015,Spring,A,1,NR1,39,32b2ada4-a0d0-4d5b-bc0f-b7607473a101
2016,Summer,FOX,0,NRG,42,4859517e-a0d9-4e7a-899f-7eb832bf792a
2016,Summer,ANX,1,GMB,33,bff61b37-42c4-4596-9fee-1d82f562b6bf
2016,Summer,FOX,0,IMT,21,ec5381e6-b57d-4467-8185-6f96e51daff9
2016,Spring,FOX,0,CLG,41,40d2c846-a6c3-400a-889e-093cee0246df
2016,Spring,ahq,1,TPA,30,6eeea4a0-1c1f-4edf-84cf-323e0032c2bd
2016,Summer,VIT,1,G2,34,d34d9bbd-d8e3-4a4c-b6a8-cd0a660ef70f
2015,Summer,LZ,0,kt,45,4cf62967-28d8-408e-9657-ac23dffed9b5
2016,Summer,HWA,1,AUR,34,e6d2b17b-9345-431e-94f8-a7e7557ff5b3
2016,Spring,FNC,1,G2,33,59495fec-f6d2-4bbf-930c-23092c3393ab
2016,Spring,LZ,1,DW,30,8b1ef14d-5105-449c-ae70-9721bf0081ac
2016,Summer,NRG,0,C9,33,3f60830d-c8c1-4b33-84b4-37da56814c5e
2016,Summer,,0,,38,e6bc4620-ea66-4eef-9d29-9619cf1ea41b
2016,Spring,USG,1,DFM,34,b769af64-aa69-4da7-8d5c-6d1072897708
2015,Spring,LOG,0,DLY,40,2e3f0d18-2234-404b-876b-ee28092aded2
2015,Spring,CLG,1,CST,31,b221bf72-e4aa-41b2-9d48-faa608ca8a9f
2016,Summer,ROC,0,G2,31,0c4d1717-ff47-44f2-82a8-42ec8636d3aa
2014,Summer,C9,1,NWS,52,dbaa5678-f974-4ae5-a418-ac063ccf9f7f
2016,Spring,AUR,0,SUP,49,6c0e3504-3be1-48e1-810c-e97d0b44a4d9
2016,Summer,CLG,0,ANX,40,3ff07407-835e-4a72-8a78-7a6f905c2097
2015,Summer,kt,1,KOO,45,223d3aad-0941-474f-a10e-58c2ee240c7e
2015,Summer,JAG,1,NJF,41,4591fa6c-c008-4eaa-b4a0-a8cba022b29b
2016,Spring,KBM,1,PNG,54,21559a72-361a-4a94-a286-5407f7d2f38b
2016,Summer,CLG,1,NRG,26,1c6d8370-585a-4506-a935-d7bd68f8ad83
2015,Summer,NME,0,TSM,58,b9a31ebe-e2b0-452d-927d-ec142b9d816f
2015,Summer,CLG,1,FW,42,dee92569-3cfc-4f5e-8d18-89f4426c9106
2015,Summer,NJE,1,SSB,33,815c46ba-1145-4510-9ff2-611ffd99070f
2016,Spring,AV,1,HLN,31,4f95bb30-d646-456f-9c4f-7d18defc0ba6
2015,Summer,H2K,0,SK,46,a7f2e28a-df8c-4d98-b3cb-41f517821462
2015,Summer,TPA,0,ahq,42,b32e6806-c2d0-4f38-9365-315499d4273f
2015,Spring,TL,0,WFX,40,7ebde4e0-2cc7-4682-9ffa-0164a931b7d9
2015,Spring,MYM,0,FNC,38,5a15206a-9481-405b-b9ab-f0bb40f7598c
2015,Spring,TIP,0,TL,37,1f2cc0ae-e6fc-4696-8d18-f8a4a0c02f0b
2015,Summer,LZ,0,SKT,48,37c71709-f64c-4de0-8a3c-ff2edc143c8b
2015,Summer,JAG,1,SSB,43,8d4fb6a3-9dea-40c1-879a-1ad750af95dd
2016,Spring,TSM,1,TL,44,10779fc3-0255-4dce-ad00-65ddf148c1e2
2016,Summer,LZ,0,MVP,45,50859b81-06a7-4a6e-bb71-8c51b57ddee2
2016,Summer,NRG,1,TL,33,03309061-ad15-4a1f-a29c-ac2902d008f4
