Country	Literacy rate (all)	Male literacy	Female literacy	Gender difference
Israel	not reported by UNESCO 2015	97.8% (2011)[4][note 5]		
Italy	99.2%	99.4%	99.0%	0.4%
Jamaica	88.7%	84.0%	93.1%	-9.1%
Japan	not reported by UNESCO 2015			
Jordan	97.9% (in 2012)	98.4%	97.4%	1.0%
Kazakhstan	99.8%	99.8%	99.8%	0.0%
Kenya	78%	81.1%	74.9%	6.2%
Kiribati	not reported by UNESCO 2015			
Korea, Democratic People's Republic of	100.0%	100.0%	100.0%	0.0%
Korea, Republic of	not reported by UNESCO 2015			
Kuwait	96.2%	96.9%	95.0%	1.9%
Kyrgyzstan	99.5%	99.6%	99.4%	0.2%
Laos	79.9%	87.1%	72.8%	14.3%
Latvia	99.9%	99.9%	99.9%	0.0%
Lebanon	93.9%	96.0%	91.8%	4.1%
Lesotho	79.4%	70.1%	88.3%	-18.2%
Liberia	47.6%	62.4%	32.8%	29.6%
Libya	91%	96.7%	85.6%	11.1%
Liechtenstein	not reported by UNESCO 2015			
Lithuania	99.8%	99.8%	99.8%	0.0%
Luxembourg	not reported by UNESCO 2015			
Macedonia	97.8%	98.8%	96.8%	2.0%
Madagascar	64.7%	66.7%	62.6%	4.1%
Malawi	65.8%	73.0%	58.6%	14.4%
Malaysia	94.6%	96.2%	93.2%	3.0%
Maldives	99.3%	99.8%	98.8%	0.9%
Mali	38.7%	48.2%	29.2%	19.0%
Malta	94.1%	92.5%	95.7%	-3.2%
Marshall Islands	not reported by UNESCO 2015			
Mauritania	52.1%	62.6%	41.6%	21.0%
Mauritius	90.6%	92.9%	88.5%	4.4%
Mexico	94.4%	95.6%	93.3%	2.2%
Micronesia	not reported by UNESCO 2015			
Moldova	99.4%	99.7%	99.1%	0.7%
Monaco	not reported by UNESCO 2015			
Mongolia	98.4%	98.2%	98.6%	-0.4%
Montenegro	98.7%	99.5%	98.0%	1.4%
Morocco	72.4%	82.7%	62.5%	20.2%
Mozambique	58.8%	73.3%	45.4%	27.9%
Myanmar	75.6%[note 6]	80.0%	71.9%	8.1%
Namibia	81.9%	79.2%	84.5%	-5.3%
Nauru	not reported by UNESCO 2015			
Nepal	64.7%	75.6%	55.1%	20.5%
Netherlands	not reported by UNESCO 2015			
New Zealand	not reported by UNESCO 2015			
Nicaragua	82.8%	82.4%	83.2%	-0.9%
Niger	19.1%	27.3%	11.0%	16.3%
Nigeria	59.6%	69.2%	49.7%	19.5%
Norway	not reported by UNESCO 2015			
Oman	94.8%	96.9%	90.0%	6.9%
Pakistan	56.4%	69.6%	42.7%	26.9%
Palau	99.5%	99.5%	99.6%	-0.1%
Panama	95%	95.7%	94.4%	1.2%
Papua New Guinea	64.2%	65.6%	62.8%	2.8%
Paraguay	95.6%	96.1%	95.0%	1.1%
Peru	94.5%	97.3%	91.7%	5.6%
Philippines	96.3%	95.8%	96.8%	-1.0%
Poland	99.8%	99.9%	99.7%	0.2%
Portugal	95.4%	96.9%	94.1%	2.8%
Qatar	97.8%	97.9%	97.3%	0.6%
Romania	98.8%	99.1%	98.5%	0.6%
Russia	99.7%	99.7%	99.7%	0.0%
Rwanda	70.5%	73.2%	68.0%	5.2%
Saint Kitts and Nevis	not reported by UNESCO 2015			
Saint Lucia	not reported by UNESCO 2015			
Saint Vincent and the Grenadines	not reported by UNESCO 2015			
Samoa	99%	98.9%	99.1%	-0.2%
San Marino	not reported by UNESCO 2015			
Sao Tome and Principe	74.9%	81.8%	68.4%	13.4%
Saudi Arabia	94.7%	97.0%	91.1%	5.9%
Senegal	55.7%	68.5%	43.8%	24.6%
Serbia	98.1%	99.1%	97.2%	1.9%
Seychelles	95.2%	94.7%	95.7%	-1.0%
Sierra Leone	48.1%	58.7%	37.7%	21.1%
Singapore	96.8%	98.7%	95.1%	3.6%
Slovakia	99.6%	99.6%	99.6%	0.0%
Slovenia	99.7%	99.7%	99.7%	0.0%
Solomon Islands	not reported by UNESCO 2015	84.1% (2015)[4][note 8]		
Somalia	not reported by UNESCO 2015			
South Africa	94.3%	95.5%	93.1%	2.4%
South Sudan	26.8%	34.8%	19.2%	15.6%
Spain	98.1%	98.7%	97.5%	1.3%
Sri Lanka	92.6%	93.6%	91.7%	1.9%
Sudan	53.5%	59.80%	46.7%	13.1%
Suriname	95.6%	96.1%	95.0%	1.1%
Swaziland	87.5%	87.4%	87.5%	-0.1%
Sweden	not reported by UNESCO 2015			
Switzerland	not reported by UNESCO 2015			
Syria	86.4%	91.7%	81.0%	10.7%
Tajikistan	99.8%	99.8%	99.7%	0.1%
Tanzania, United Republic of	80.3%	84.8%	75.9%	9.0%
Thailand	96.7%	96.6%	96.7%	-0.1%
Timor-Leste	67.5%	71.5%	63.4%	8.1%
Togo	66.5%	78.3%	55.3%	23.0%
Tonga	99.4%	99.3%	99.4%	-0.1%
Trinidad and Tobago	99%	99.2%	98.7%	0.5%
Tunisia	81.8%	89.6%	74.2%	15.4%
Turkey	95%	98.4%	91.8%	6.6%
Turkmenistan	99.7%	99.8%	99.6%	0.1%
Tuvalu	not reported by UNESCO 2015			
Uganda	73.9%	80.8%	66.9%	14.0%
Ukraine	99.8%	99.8%	99.7%	0.1%
United Arab Emirates	93.8%	93.1%	95.8%	-2.6%
United Kingdom	not reported by UNESCO 2015			
United States of America	not reported by UNESCO 2015			
Uruguay	98.4%	98.1%	98.7%	-0.6%
Uzbekistan	99.6%	99.7%	99.5%	0.3%
Vanuatu	85.2%	86.6%	83.8%	2.8%
Venezuela	95.4%	95.0%	95.7%	-0.7%
Vietnam	94.5%	96.3%	92.8%	3.4%
Yemen	70.1%	85.1%	55.0%	30.1%
Zambia	63.4%	70.9%	56.0%	14.9%
Zimbabwe	86.5%	88.5%	84.6%	4.0%
