date,Microchip Technology,Lennar Corp.,Ulta Beauty,Occidental Petroleum,Exxon Mobil Corp.,Apache Corporation,General Motors,People's United Financial,ConocoPhillips,Cboe Global Markets,Skyworks Solutions,QUALCOMM Inc.,Northern Trust Corp.,Ross Stores,Halliburton Co.,Marathon Oil Corp.,Oil Price
2014-03-17,46.69,39.2745,96.41,96.85,94.32,79.37,34.63,14.56,67.29,58.61,36.88,77.02,62.75,37.045,56.62,33.18,106.99
2014-03-18,47.39,39.8039,98.64,97.26,94.71,80.04,35.17,14.5,68.1,57.1,37.49,77.45,63.08,36.625,56.9,33.65,106.79
2014-03-19,47.27,40.5294,101.27,95.14,93.73,79.33,34.91,14.72,67.5,56.2,37.69,76.805,63.92,36.33,56.78,33.29,105.95
2014-03-20,48.085,39.5294,104.3,92.93,94.58,80.05,35.26,14.9,67.9,56.66,39.27,78.1,65.58,36.385,57.36,33.82,105.73
2014-03-21,47.45,38.7941,100.84,94.07,94.31,80.71,35.01,14.99,67.48,55.98,37.55,78.19,65.77,36.485,58.06,34.39,107.2
2014-03-24,47.54,38.4118,101.26,93.87,94.64,80.77,35.14,14.94,67.56,56.57,37.38,77.74,65.65,36.645,57.78,34.23,106.59
2014-03-25,47.66,38.3529,100.34,94.65,94.91,81.93,34.51,14.81,68.39,56.98,37.72,78.56,65.31,35.835,59.14,34.57,107.01
2014-03-26,47.15,37.9118,101.43,93.54,94.7,81.46,34.22,14.65,68.6,56.06,36.74,78.31,64.67,35.605,58.37,34.5,105.9
2014-03-27,46.45,38.2255,98.75,94.64,96.24,82.08,34.51,14.5,69.29,56.48,36.91,79.05,64.32,35.705,58.09,34.49,106.58
2014-03-28,46.92,38.8039,97.89,95.55,97.7,83.02,34.73,14.64,70.35,55.75,36.94,79.28,64.91,36.05,59.46,35.22,106.64
2014-03-31,47.76,38.8431,97.44,95.29,97.68,82.95,34.42,14.87,70.35,56.6,37.52,78.86,65.56,35.785,58.89,35.52,105.95
2014-04-01,47.85,39.6078,98.98,94.9,97.73,83.76,34.34,14.92,70.31,56.32,37.61,80.1,65.75,36.45,59.63,35.42,105.7
2014-04-02,48.27,39.6863,100.11,96.02,97.95,84.23,34.88,14.84,70.89,55.25,37.58,80.14,65.64,36.75,59.93,35.38,103.37
2014-04-03,48.57,39.7451,99.77,96.51,97.93,85.36,35.44,14.94,70.2,54.75,37.67,80.55,65.47,36.71,59.8,35.71,104.88
2014-04-04,47.18,39.6863,96.09,94.55,97.36,85.47,34.81,14.66,70.22,53.74,35.9,78.53,64.16,36.19,59.31,35.59,106.41
2014-04-07,46.91,38.4216,93.75,93.59,96.78,84.09,34.11,14.64,69.48,51.67,35.72,78.08,62.83,35.385,57.36,34.9,104.89
2014-04-08,47.59,38.8137,95.87,94.95,97.45,85.18,34.53,14.86,70.07,51.11,36.02,78.89,62.58,35.825,58.51,35.27,105.83
2014-04-09,48.31,38.8431,97.08,95.97,97.33,83.65,33.62,14.77,71.54,52.37,36.89,79.93,62.78,35.72,58.79,35.47,107.39
2014-04-10,46.96,38.4118,94.85,94.44,96.78,82.72,33.3,14.61,69.71,51.12,35.51,78.07,61.56,34.93,57.91,35.4,107.1
2014-04-11,46.46,37.9706,91.05,93.33,96.72,82.09,31.93,14.61,70.87,50.75,34.9,78.01,60.59,34.525,57.61,35.07,107.34
2014-04-14,46.6,38.1863,90.13,94.32,97.86,82.57,32.55,14.69,71.51,50.43,35.33,79.14,61.22,34.635,59.08,35.54,107.68
2014-04-15,47.17,38.0294,90.42,94.9,98.68,83.33,33.36,14.83,72.94,50.44,35.76,79.49,59.63,34.57,59.97,35.9,109.1
2014-04-16,46.45,38.0098,90.22,95.81,99.94,84.17,33.97,14.93,73.78,51.51,35.81,80.18,59.04,34.695,60.5,36.47,109.71
2014-04-17,47.33,37.4706,87.79,96.6,100.42,85.11,33.98,14.54,74.77,52.2,36.08,81.32,59.39,34.495,60.9,36.73,109.79
2014-04-21,47.6,37.2843,89.59,97.45,100.93,85.8,33.98,14.43,74.6,52.05,37.02,80.93,59.91,34.515,62.92,36.57,109.69
2014-04-22,47.9,37.6765,89.41,96.93,100.37,86.2,34.23,14.55,74.17,52.74,37.96,80.61,60.29,34.535,63.38,36.37,108.54
2014-04-23,48.04,37.4412,88.22,96.77,100.5,87.58,34.39,14.65,74.02,52.67,41.5,80.71,60.84,34.265,64.72,36.47,108.48
2014-04-24,48.39,38.7353,89.63,97.14,100.01,87.96,34.17,14.54,74.49,52.93,42.16,77.87,60.24,34.215,63.49,36.38,109.79
2014-04-25,47.16,37.8529,88.11,96.37,100.41,87.28,33.72,14.38,74.4,52.44,41.46,77.61,59.47,33.885,62.86,36.08,109.53
2014-04-28,46.94,38.098,86.58,96.68,101.17,86.81,33.76,14.32,74.65,52.47,41.38,78.05,59.2,34.135,62.78,36.21,109.12
2014-04-29,47.295,37.9804,86.0,96.87,101.45,87.83,33.99,14.24,74.68,52.91,41.03,78.52,60.02,34.28,63.01,36.9,109.89
2014-04-30,47.54,37.8333,87.71,95.75,102.41,86.8,34.48,14.28,74.31,53.36,41.05,78.71,60.25,34.04,63.07,36.15,108.63
2014-05-01,46.66,38.598,85.97,94.99,101.41,87.04,34.9,14.31,75.03,53.46,41.25,78.99,60.06,34.265,62.91,36.32,108.63
2014-05-02,46.77,39.098,88.12,94.44,102.01,86.96,34.97,14.38,76.52,52.78,41.43,78.99,60.49,34.19,63.86,36.54,109.48
2014-05-05,46.76,38.4412,88.54,94.7,102.91,86.96,34.75,14.32,76.89,53.29,41.97,79.56,60.15,34.035,63.91,36.45,109.48
2014-05-06,46.35,37.8431,87.55,95.83,102.67,86.42,34.75,14.18,77.08,51.99,41.37,79.31,59.44,33.825,63.52,36.19,108.3
2014-05-07,46.89,37.8039,84.79,96.23,103.11,87.76,35.07,14.425,78.11,51.07,41.05,79.325,60.64,33.89,64.74,35.52,108.17
2014-05-08,47.08,37.6372,85.86,95.19,102.32,88.03,34.85,14.345,77.01,50.97,41.44,79.5,61.04,34.525,63.43,35.7,108.19
2014-05-09,46.88,37.6471,87.87,96.11,101.95,88.89,34.23,14.39,77.64,50.81,41.35,79.5,61.11,34.575,63.5,35.91,108.26
2014-05-12,47.67,38.4608,89.88,96.42,102.23,90.04,34.82,14.56,78.41,51.55,42.72,79.97,61.76,34.83,64.17,36.3,108.37
2014-05-13,46.89,39.0,88.51,97.52,102.36,90.02,35.15,14.47,78.64,50.86,42.52,80.37,61.72,34.575,64.1,36.48,108.78
2014-05-14,46.45,37.8333,87.15,97.38,102.29,89.87,34.94,14.24,78.53,50.18,41.92,80.41,60.88,34.505,63.99,36.58,109.87
2014-05-15,45.85,37.7353,86.76,97.06,100.78,88.92,34.36,14.2,78.11,49.06,40.84,79.78,59.62,34.21,62.37,36.22,109.74
2014-05-16,46.4,37.7745,87.87,95.69,100.74,88.78,34.0,14.08,78.06,48.72,40.75,79.42,59.81,34.765,62.85,35.85,110.9
2014-05-19,46.4,37.5882,86.67,95.94,100.87,89.33,32.68,14.25,78.43,48.85,41.11,79.81,60.08,34.605,63.21,35.63,110.84
2014-05-20,46.0,37.2745,85.33,95.46,100.67,89.73,33.07,14.16,78.54,48.25,40.53,79.86,59.57,33.555,62.88,35.4,110.35
2014-05-21,46.34,37.5294,84.82,97.59,102.03,90.29,33.46,14.26,78.53,49.04,41.26,79.67,59.88,34.04,63.17,35.95,111.32
2014-05-22,46.44,38.2255,84.98,97.23,101.5,90.34,33.42,14.42,78.46,49.36,41.24,79.56,60.33,34.05,63.41,36.18,110.89
2014-05-23,46.66,39.7451,85.43,96.97,101.32,90.18,33.63,14.43,78.43,49.82,41.79,79.88,60.36,34.425,64.01,36.28,110.19
2014-05-27,47.22,39.6765,87.22,97.45,101.36,90.36,33.94,14.49,79.04,50.83,42.175,80.46,60.84,34.15,63.97,36.29,109.81
2014-05-28,47.26,39.5784,85.4,99.05,101.06,91.76,34.59,14.44,79.57,50.67,42.24,80.22,60.78,33.74,63.44,36.55,109.09
2014-05-29,47.31,40.0686,85.03,99.83,101.27,93.06,34.45,14.38,79.55,50.6,42.91,80.19,60.49,33.88,64.0,36.66,109.98
2014-05-30,47.6,40.098,84.9,99.69,100.53,93.22,34.58,14.37,79.94,50.68,43.31,80.45,60.4,34.225,64.64,36.66,109.21
2014-06-02,47.25,40.0392,86.8,99.76,99.94,92.64,34.86,14.53,79.48,50.25,43.07,80.48,60.83,34.175,65.01,36.44,109.34
2014-06-03,47.43,40.0098,86.77,100.24,100.39,92.0,35.26,14.55,79.82,48.06,45.65,80.4,60.94,34.11,65.57,36.81,108.87
2014-06-04,47.76,39.7647,87.03,100.16,100.04,92.5,36.52,14.47,79.8,47.83,46.76,79.92,61.29,34.31,65.39,36.66,109.07
2014-06-05,48.27,40.1863,85.93,100.9,100.55,93.17,36.27,14.7,80.05,48.21,46.48,79.66,61.63,34.35,65.89,37.07,108.43
2014-06-06,48.65,40.8627,86.25,100.38,101.6,94.31,36.55,14.86,80.84,48.67,46.81,80.38,62.21,34.54,66.98,37.31,109.21
2014-06-09,49.3,41.0196,85.41,100.19,101.52,94.65,36.5,14.92,80.85,48.67,46.69,79.95,62.64,34.36,67.17,37.84,110.55
2014-06-10,49.42,40.8529,85.31,99.98,101.46,95.05,36.4,14.91,81.63,47.6,46.88,79.18,62.69,33.84,67.11,38.17,109.18
2014-06-11,49.46,40.1372,97.11,99.89,101.95,95.41,36.12,14.89,81.95,48.08,47.81,79.21,62.1,33.7,66.94,38.48,109.83
2014-06-12,49.16,39.7157,95.0,101.25,101.66,96.31,35.52,14.82,82.86,49.25,46.92,79.34,62.2,33.39,66.64,39.15,112.18
2014-06-13,49.14,39.3922,95.11,103.23,102.65,97.66,35.63,14.82,83.08,50.2,47.19,79.11,62.21,33.56,67.58,39.08,113.15
2014-06-16,48.87,39.9804,94.5,103.35,102.92,98.2,36.06,14.81,83.69,50.25,47.37,78.65,62.25,33.475,67.61,39.01,113.42
2014-06-17,49.34,40.4902,94.64,102.74,102.42,98.0,36.36,14.87,83.75,51.31,47.946999999999996,79.16,63.89,33.62,67.61,38.88,114.02
2014-06-18,49.21,40.6078,94.89,103.25,102.73,99.6,36.3,14.95,84.24,50.3,47.53,79.19,64.39,34.065,68.5,38.94,114.25
2014-06-19,49.19,40.3529,95.03,103.35,102.63,100.02,36.37,14.89,84.77,49.46,47.48,79.75,64.12,33.915,68.98,39.3,115.19
2014-06-20,49.36,39.8823,95.0,104.0,103.83,100.69,36.22,14.95,85.36,48.88,48.34,79.86,64.29,33.97,70.24,39.72,114.55
2014-06-23,49.48,39.7059,94.67,105.19,104.38,101.6,36.67,14.96,86.1,49.23,47.89,79.43,64.11,33.99,70.37,40.16,113.62
2014-06-24,48.76,40.2451,93.88,101.45,102.73,98.85,36.58,14.92,84.8,48.42,46.81,78.78,63.88,33.38,68.16,39.03,113.74
2014-06-25,48.84,40.7059,92.61,102.62,102.14,99.38,37.09,15.05,85.62,48.74,46.79,78.05,64.15,33.165,69.44,39.71,112.84
2014-06-26,48.44,40.5098,91.33,102.64,102.03,99.69,36.9,15.07,85.96,48.94,46.36,78.77,64.07,33.005,69.55,39.63,112.61
2014-06-27,48.66,40.7745,92.09,102.21,101.21,99.76,36.62,15.14,86.0,49.09,46.06,78.99,64.45,32.9,70.47,39.44,112.62
2014-06-30,48.81,41.1569,91.41,102.63,100.68,100.62,36.3,15.17,85.73,49.21,46.96,79.2,64.21,33.065,71.01,39.92,111.03
2014-07-01,49.77,41.7157,93.41,102.8,101.36,100.51,37.59,15.23,86.11,48.98,47.73,79.73,64.5,33.26,70.85,39.76,110.84
2014-07-02,49.6,41.1078,94.5,102.24,101.57,99.85,37.74,15.13,85.86,48.43,47.62,80.17,64.06,33.485,70.82,39.62,110.18
2014-07-03,49.83,41.1078,96.43,102.17,102.59,100.03,37.74,15.28,86.4,48.46,48.09,80.99,64.89,33.58,70.97,40.32,108.98
2014-07-07,49.46,40.2353,96.0,101.59,102.65,99.05,37.44,15.18,86.1,48.3,47.39,80.82,64.8,33.31,70.16,39.57,108.7
2014-07-08,49.3,40.0588,94.91,101.88,102.83,98.46,37.58,15.1,86.04,47.37,47.17,80.65,64.12,33.465,69.66,39.44,107.65
2014-07-09,49.64,40.1667,94.42,101.95,103.55,99.65,37.97,15.075,85.8,47.63,47.67,80.77,64.02,33.88,70.67,39.57,106.84
2014-07-10,49.27,39.8529,92.69,100.41,102.57,99.22,37.75,15.06,85.67,46.87,46.85,80.43,63.83,33.3,69.35,39.39,106.2
2014-07-11,49.08,39.4804,91.64,100.48,101.74,97.4,37.95,15.08,84.73,46.94,47.23,79.6,64.41,32.9,68.99,39.14,105.77
2014-07-14,49.08,39.2647,91.5,101.22,102.68,98.55,37.7,15.14,85.84,47.67,47.46,79.52,64.43,32.53,69.8,39.69,104.73
2014-07-15,48.6,39.1078,90.75,99.52,102.39,97.94,37.58,15.18,84.71,47.2,47.55,79.44,64.48,32.635,70.26,39.31,104.73
2014-07-16,48.75,39.8922,89.26,101.73,103.77,99.87,37.48,14.91,86.69,46.76,47.78,79.62,64.48,31.075,71.86,40.27,105.41
2014-07-17,48.15,38.6569,89.75,99.95,102.31,98.91,37.1,14.79,84.68,48.15,46.34,78.11,64.34,31.095,70.35,39.8,106.04
2014-07-18,48.54,38.6569,90.44,100.93,102.73,98.58,37.41,14.8099,84.76,48.96,52.87,79.39,65.02,31.655,70.93,39.8,106.03
2014-07-21,48.55,38.5686,93.02,100.58,103.08,98.56,37.43,14.88,84.53,49.59,54.24,79.67,65.49,31.39,71.0,39.77,105.71
2014-07-22,48.88,39.0784,92.09,101.27,103.54,103.12,37.76,14.83,86.02,48.08,54.22,81.53,66.07,31.3,73.29,40.2,106.48
2014-07-23,47.11,39.7157,92.2,101.6,104.25,103.48,37.41,14.84,86.76,48.45,53.45,81.6,66.39,31.5,74.02,40.48,106.85
2014-07-24,47.19,38.5,93.14,100.88,104.28,102.6,35.74,14.93,86.25,48.73,52.65,76.172,67.11,31.815,73.41,40.71,105.78
2014-07-25,45.9,37.6765,92.64,100.09,103.18,101.85,35.07,14.98,85.92,48.83,51.44,76.1,67.13,31.73,73.41,40.51,106.89
2014-07-28,46.13,36.3039,92.29,99.82,103.25,101.27,34.9,14.95,85.19,49.21,52.18,75.83,67.18,31.975,72.64,40.23,106.7
2014-07-29,46.25,36.7353,92.25,99.33,103.55,101.32,34.45,14.94,84.71,48.74,52.14,75.31,67.11,31.935,71.22,39.94,106.98
2014-07-30,46.25,36.3039,94.13,98.11,103.25,101.29,34.31,14.74,84.63,49.11,52.17,76.04,67.88,32.385,70.74,39.66,106.47
2014-07-31,45.02,35.5196,92.33,97.71,98.94,102.66,33.82,14.52,82.5,48.47,50.76,73.72,66.89,32.2,68.99,38.75,104.94
2014-08-01,46.04,35.451,93.06,100.75,98.8,102.29,33.44,14.32,80.7,49.71,52.07,72.55,66.14,32.345,68.72,38.61,103.45
2014-08-04,46.24,35.7745,94.6,100.75,100.13,102.29,33.61,14.41,81.98,49.2,52.12,73.26,66.5,32.445,70.09,39.22,103.63
2014-08-05,46.21,35.4804,95.32,99.11,98.2,99.38,33.36,14.4,79.74,49.65,51.89,72.75,65.68,32.33,67.72,38.46,102.82
2014-08-06,46.65,35.2255,94.61,99.41,98.98,99.95,33.4,14.535,80.61,50.15,52.15,72.89,65.9,32.47,67.96,38.93,104.17
2014-08-07,45.57,35.2549,93.92,98.29,98.27,98.57,33.11,14.4,79.59,50.2,51.13,72.49,65.69,32.32,67.37,38.09,104.02
2014-08-08,45.97,35.9216,95.0,99.8,99.74,100.38,33.53,14.51,81.33,50.68,51.27,73.88,66.13,33.375,68.31,39.08,103.36
2014-08-11,46.27,35.8235,95.29,99.77,98.73,99.87,33.8,14.53,80.8,50.68,52.12,74.73,66.25,33.16,69.42,39.11,103.47
2014-08-12,46.58,35.8431,92.97,99.81,98.49,98.47,33.7,14.53,80.42,50.36,52.41,74.14,66.44,33.005,69.02,39.04,101.68
2014-08-13,47.02,35.8431,92.45,99.99,99.09,98.6,33.95,14.6,80.89,50.53,54.01,74.5,66.78,32.7,69.54,39.15,102.27
2014-08-14,47.08,36.4412,93.73,99.97,99.09,97.94,33.95,14.76,80.17,50.45,53.5,74.76,66.98,33.05,67.34,39.0,101.15
2014-08-15,47.37,36.2157,93.24,100.46,99.03,98.68,33.84,14.63,80.62,51.11,54.39,74.41,66.59,32.775,68.42,39.02,101.13
2014-08-18,47.03,36.8137,94.53,100.6,99.52,98.5,34.4,14.71,79.34,51.75,54.3,75.03,67.15,33.31,68.87,38.93,99.37
2014-08-19,47.05,38.0392,95.64,101.8,99.49,99.27,34.57,14.73,79.91,51.53,55.38,75.13,66.96,34.655,68.77,39.73,99.74
2014-08-20,47.59,38.2353,97.49,101.74,99.7,100.34,34.53,14.755,80.5,51.02,55.82,76.439,67.23,34.935,68.78,39.92,99.92
2014-08-21,47.79,38.2549,96.0,102.27,99.28,101.13,34.6,14.94,80.98,51.01,55.26,76.77,67.99,34.625,68.34,40.29,100.28
2014-08-22,47.765,38.402,97.21,102.44,98.5,99.82,34.24,14.88,80.24,51.06,55.15,76.82,68.26,37.185,67.47,40.0,100.09
2014-08-25,47.71,38.1863,97.4,103.28,98.75,101.43,34.67,14.92,80.8,53.05,54.76,76.59,68.94,36.91,68.55,40.37,100.49
2014-08-26,47.82,38.1078,97.72,103.15,99.64,101.55,34.85,14.99,80.54,53.89,54.7,77.01,68.935,37.175,69.81,40.67,100.5
2014-08-27,47.66,38.1471,98.14,103.38,99.53,101.53,34.71,14.96,81.03,52.89,54.86,76.97,68.97,37.575,68.48,40.89,100.4
2014-08-28,48.02,38.1863,97.91,104.01,99.57,101.37,34.68,14.94,80.66,53.02,55.54,76.34,68.8,37.615,67.38,40.91,100.71
2014-08-29,48.83,38.4118,97.31,103.73,99.46,101.83,34.8,14.95,81.22,53.025,56.66,76.1,69.35,37.71,67.61,41.69,101.12
2014-09-02,48.775,38.3333,98.36,102.36,98.49,100.16,34.8,15.04,80.22,53.4,56.29,75.06,69.49,37.885,67.49,41.02,100.21
2014-09-03,48.57,37.5098,99.16,102.45,99.11,100.36,34.47,14.97,80.9,53.08,55.49,74.89,69.395,38.055,67.58,41.28,100.88
2014-09-04,48.62,37.951,99.59,102.37,98.36,98.76,34.63,14.91,79.85,52.95,54.94,75.11,69.07,38.435,66.55,40.53,101.21
2014-09-05,48.85,38.1176,99.45,101.31,99.26,99.53,34.58,15.0,80.35,53.33,56.28,75.81,69.12,38.42,67.45,40.91,99.51
2014-09-08,48.97,38.2843,98.11,98.55,97.77,97.93,33.24,15.0,79.03,53.97,56.52,75.9,68.62,38.13,66.31,40.21,99.53
2014-09-09,48.61,38.3431,96.99,98.35,97.39,97.11,33.07,14.9,78.96,53.77,55.625,75.84,68.27,37.755,65.83,40.06,98.08
2014-09-10,48.29,38.6274,96.78,98.54,96.81,97.28,33.29,14.95,78.99,54.35,56.01,75.93,68.85,37.65,66.71,40.02,96.26
2014-09-11,48.38,38.8333,97.48,98.35,97.03,97.63,33.61,15.04,79.38,54.54,55.84,76.11,69.07,37.74,67.07,40.02,96.42
2014-09-12,47.67,38.2941,114.89,97.4,95.78,96.24,33.27,15.02,78.45,54.81,55.02,75.33,69.55,37.58,65.86,39.58,96.31
2014-09-15,47.31,38.4608,114.41,98.29,96.29,97.12,33.63,15.01,79.4,54.73,54.0,75.08,69.34,37.475,66.28,39.83,96.43
2014-09-16,48.06,38.3627,116.15,98.56,97.43,97.82,33.71,14.89,80.75,54.75,55.82,75.71,69.18,37.745,67.29,40.12,97.39
2014-09-17,48.41,40.5882,118.5,98.17,97.08,97.5,33.85,14.95,80.64,55.33,55.88,75.83,69.895,37.745,66.24,40.33,97.7
2014-09-18,49.185,40.5686,118.4,97.87,96.61,97.01,34.03,14.98,79.97,55.81,57.8,76.44,70.33,37.835,66.33,39.32,96.82
