ContrabandIndicator,Department Name,InterventionLocationName,InterventionReasonCode,ReportingOfficerIdentificationID,ResidentIndicator,SearchAuthorizationCode,StatuteReason,SubjectAge,SubjectEthnicityCode,SubjectRaceCode,SubjectSexCode,TownResidentIndicator
False,watertown,watertown,V,1000193,True,I,Speed Related,17,N,W,F,True
True,stonington,pawcatuck,V,13,True,C,Speed Related,48,N,W,M,False
True,new haven,new haven,V,202,True,C,Suspended License,25,N,B,M,False
False,state police,hartford            ,V,1000002369,False,O,Other/Error,43,N,W,M,False
False,csp troop e,stonington,V,1000003206,True,C,Registration,44,N,W,M,False
False,csp troop g,west haven,V,1000003379,False,O,Seatbelt,26,N,B,M,True
False,glastonbury,glastonbury,V,DNV0434,True,C,Display of Plates,29,N,W,M,False
False,state police,bethany             ,V,1000002713,True,N,Stop Sign,36,N,W,M,True
False,csp troop d,plainfield,V,614680420,True,C,Defective Lights,18,N,W,M,False
True,willimantic,willimantic,V,362,True,C,Moving Violation,37,H,W,M,False
False,glastonbury,glastonbury,V,BSR0403,False,I,Suspended License,39,N,W,F,True
False,hamden,hamden              ,V,100000573,False,C,Other/Error,40,N,W,M,False
True,west hartford,west hartford       ,V,100318,True,C,Moving Violation,52,N,W,M,False
True,csp troop l,harwinton,V,1000003212,False,I,Administrative Offense,43,N,W,M,False
True,branford,branford,V,291,True,O,Speed Related,32,N,W,M,True
False,new canaan,new canaan,I,224,True,O,Moving Violation,14,N,W,M,False
False,stamford,stamford,V,1B NIGHTS,True,C,Traffic Control Signal,42,N,W,M,True
True,state police,windsor locks       ,V,55887736,False,C,Other,26,N,B,M,False
False,waterford,waterford,E,64,True,O,Display of Plates,35,H,A,F,True
False,east haven,east haven          ,E,100137,False,I,Window Tint,30,H,W,M,True
True,east haven,east haven,I,100274,False,I,Administrative Offense,35,H,W,M,False
False,east hartford,east hartford,V,239,True,C,Registration,25,N,B,M,False
False,windsor locks,windsor locks,V,63,True,I,Other,26,N,W,M,True
False,stratford,stratford,V,10173,True,I,Speed Related,25,N,B,M,False
True,norwich,norwich,V,273,True,O,Speed Related,32,H,W,M,True
False,csp headquarters,cromwell,E,44294139,False,O,Defective Lights,21,N,W,M,False
True,danbury,danbury,V,1878,True,I,Registration,62,N,W,M,False
False,waterford,waterford,E,73,False,O,Display of Plates,36,H,W,F,True
False,new haven,new haven,V,305,False,C,Other,27,H,B,M,False
False,greenwich,greenwich           ,V,110989,False,I,Other/Error,36,M,B,M,True
True,bridgeport,bridgeport,V,TOP0206,False,I,Moving Violation,42,H,W,M,True
False,glastonbury,glastonbury,V,BMV0404,False,I,Cell Phone,24,N,B,M,False
False,csp troop a,waterbury,V,1000002747,True,O,Seatbelt,30,N,B,M,False
True,waterbury,waterbury,I,1058,True,C,Stop Sign,36,N,W,F,False
False,waterbury,waterbury,E,1083,True,I,Display of Plates,25,N,B,M,True
False,ansonia,ansonia,V,100000195,True,C,Moving Violation,34,N,W,M,True
True,cromwell,cromwell,I,10123,True,N,Speed Related,29,N,B,M,False
False,torrington,torrington,V,68,True,N,Stop Sign,54,N,W,M,True
False,yale,new haven,V,6540,True,I,Display of Plates,42,N,B,F,True
False,east hartford,east hartford,V,251,True,I,Defective Lights,38,H,W,M,False
True,wallingford,wallingford,V,207,True,O,Display of Plates,44,N,W,M,False
True,clinton,clinton,E,462,True,C,Defective Lights,47,N,W,M,True
False,csp troop k,mansfield,V,1000003229,False,C,Registration,31,H,W,M,False
True,newtown,newtown,V,338,False,I,Moving Violation,62,N,W,F,True
False,wethersfield,wethersfield,V,MVF0930,False,C,Administrative Offense,47,N,W,M,True
False,csp troop c,somers,V,1000001903,False,C,Other,25,N,W,M,False
True,csp troop l,torrington,V,1000003198,True,C,Seatbelt,21,N,A,M,False
True,csp troop e,griswold,V,1000002753,True,C,Speed Related,22,N,W,M,True
False,enfield,enfield,E,KPARENT,True,I,Speed Related,26,N,B,M,False
False,hartford,hartford,V,3181,True,C,Display of Plates,29,N,B,M,False
True,yale,new haven,V,6606,True,C,Other,37,N,W,M,True
False,newtown,newtown,V,JTF0073,True,O,Moving Violation,26,N,W,M,False
False,new britain,new britain,E,MPS0474,False,O,Display of Plates,27,H,W,M,False
True,plymouth,terryville,V,21,True,O,Cell Phone,39,N,B,M,True
False,state police,lisbon              ,I,1000002940,True,C,Suspended License,46,N,B,M,True
False,west hartford,west hartford       ,V,100308,True,O,Moving Violation,28,N,W,M,False
False,seymour,seymour,I,328,True,O,Other,35,N,W,M,False
False,wallingford,wallingford,E,PSC27059,False,C,Registration,49,N,W,M,False
False,waterford,waterford,E,73,True,O,Defective Lights,35,N,W,F,True
False,branford,branford,V,387,True,O,Registration,20,H,W,M,True
False,rocky hill,rocky hill,V,1095410,True,O,Speed Related,59,N,W,F,True
False,trumbull,trumbull,V,3372,True,C,Defective Lights,28,H,W,M,True
False,naugatuck,naugatuck,V,PL35,False,C,Display of Plates,27,N,W,M,False
False,plainfield,moosup,V,184,True,C,Seatbelt,46,N,W,M,True
False,bristol,bristol,E,120000083,True,C,Administrative Offense,26,H,W,M,False
False,newington,newington,V,MHB2612,True,I,Registration,29,N,W,M,True
True,new haven,new haven,V,6536,True,O,Other,44,H,W,M,True
False,derby,derby,E,68,True,I,Display of Plates,39,H,W,M,True
False,stamford,stamford,V,3C2,False,I,Other,54,N,B,M,False
False,csp troop c,ellington,V,1000002715,True,I,Other,27,N,B,M,False
False,danbury,danbury             ,V,10502,True,I,Suspended License,43,N,W,M,True
True,granby,granby,V,MBJ0223,True,O,Moving Violation,38,N,W,M,False
False,waterford,waterford,V,PSC02517,True,O,Other,35,N,W,M,False
False,hartford,hartford,V,SABI29,True,O,Moving Violation,25,N,B,M,False
True,wallingford,wallingford,V,P049,True,O,Other,30,N,W,M,False
True,norwalk,norwalk,V,100000187,True,C,Registration,64,N,W,M,True
True,trumbull,trumbull,V,5043,True,C,Traffic Control Signal,16,H,W,F,False
True,norwich,norwich,E,1003,True,O,Seatbelt,19,H,W,M,True
True,norwich,norwich,E,1053,True,C,Defective Lights,49,N,W,M,False
False,orange,orange,V,JDD8054,False,O,Speed Related,31,H,W,M,False
True,norwalk,norwalk,V,100000119,False,I,Traffic Control Signal,39,N,B,M,True
True,state police,windsor,V,1000002570,True,O,Other,13,M,W,F,False
False,wethersfield,wethersfield,V,SEM0240,False,O,Display of Plates,23,N,B,M,True
False,west hartford,west hartford       ,V,1000002032,False,N,Registration,41,M,W,M,True
False,west hartford,west hartford,V,1000002072,False,C,Moving Violation,16,N,W,M,False
True,cheshire,cheshire,V,3119,False,O,Speed Related,24,N,B,M,False
False,plainville,plainville,E,JJH2683,True,O,Other,24,N,W,F,False
False,state police,norwich             ,V,965050435,True,C,Speed Related,57,N,W,M,False
True,state police,southbury           ,V,1000002632,True,C,Traffic Control Signal,28,N,W,M,False
False,norwich,norwich,V,1066,True,C,Moving Violation,62,N,W,F,False
False,waterbury,waterbury,V,1355,True,I,Administrative Offense,18,N,W,F,False
False,csp troop e,north stonington,V,240586212,False,O,Moving Violation,64,N,W,F,True
True,rocky hill,rocky hill,V,JLF0213,True,O,Speed Related,14,N,W,M,True
False,bridgeport,bridgeport,V,DEL0635,True,I,Moving Violation,74,N,W,M,True
False,east hartford,east hartford,V,DWC0319,True,O,Traffic Control Signal,32,N,B,M,False
False,new haven,new haven,V,30514,True,C,Moving Violation,37,N,W,M,False
False,csp troop h,new britain,I,1000002608,False,O,Moving Violation,28,N,W,M,True
False,west haven,west haven,V,1000465,True,C,Traffic Control Signal,38,H,W,M,True
False,derby,derby,V,73,False,I,Traffic Control Signal,31,N,W,M,False
True,danbury,danbury             ,V,10581,True,O,Registration,51,N,B,M,False
True,new haven,new haven,V,6528,True,C,Other,30,N,W,M,False
False,csp troop a,brookfield,I,427165641,True,C,Other,31,H,W,F,False
True,hartford,hartford,E,890,False,O,Seatbelt,20,H,W,M,True
True,berlin,berlin,V,CAG2461,False,O,Defective Lights,17,H,W,F,False
False,greenwich,greenwich           ,V,106594,True,I,Moving Violation,20,M,W,M,False
False,hartford,hartford,V,944,False,C,Traffic Control Signal,28,H,W,M,False
False,wethersfield,wethersfield,I,JDB0749,False,C,Administrative Offense,50,H,W,M,True
False,glastonbury,glastonbury,V,RJB0424,False,C,Traffic Control Signal,22,N,W,M,True
True,derby,derby,V,58,False,O,Other/Error,35,H,W,M,True
True,west hartford,west hartford,V,1000002072,True,O,Other,27,N,W,M,False
True,cheshire,cheshire,V,3163,False,O,Stop Sign,17,H,W,M,False
True,willimantic,willimantic,V,368,True,C,Moving Violation,32,H,W,M,True
False,east haven,east haven,V,100303,True,I,Cell Phone,34,N,W,F,True
False,berlin,berlin,V,TWB2850,False,I,Traffic Control Signal,22,H,W,F,False
True,west hartford,west hartford       ,V,1000002052,True,N,Moving Violation,52,N,W,M,False
False,cheshire,cheshire,V,77,False,O,Other,28,N,W,M,False
False,state police,montville           ,V,1000002337,True,C,Moving Violation,30,N,W,M,True
True,west hartford,west hartford,V,1000002052,True,O,Speed Related,11,N,W,M,False
True,csp troop f,chester,V,498167384,True,I,Moving Violation,37,N,W,M,True
True,csp troop h,hartford,V,1000002608,True,C,Registration,34,H,W,M,False
False,danbury,danbury,V,1866,False,I,Display of Plates,25,N,W,M,False
False,norwich,norwich,E,1057,False,O,Defective Lights,18,H,B,M,False
False,new haven,new haven,V,6523,True,C,Display of Plates,31,N,B,M,True
True,stamford,stamford,V,11907,False,O,Traffic Control Signal,13,N,W,M,False
False,norwalk,norwalk,V,100000237,False,I,Moving Violation,36,H,W,M,False
True,new haven,new haven,V,616,True,C,Stop Sign,33,N,B,M,True
True,wethersfield,wethersfield,I,575,False,C,Seatbelt,24,N,A,M,False
False,west haven,west haven,E,1000331,True,I,Display of Plates,25,H,W,M,False
False,waterbury,waterbury,V,2041,True,I,Other,24,H,W,M,True
False,branford,branford,V,387,True,O,Registration,28,N,W,M,True
True,new haven,new haven,V,6511,True,C,Display of Plates,32,N,B,M,True
False,new haven,new haven,V,6511,False,O,Window Tint,41,H,W,M,True
False,state police,branford            ,V,498167384,True,O,Other/Error,52,N,W,M,True
False,westport,westport,V,PSC20033,True,O,Moving Violation,34,N,B,M,False
False,newington,newington,V,RFP2617,True,C,Moving Violation,30,N,W,M,True
False,csp troop g,bridgeport,V,1000003221,False,O,Display of Plates,42,N,B,M,True
True,norwich,norwich,V,1036,True,C,Speed Related,29,H,B,M,True
False,wilton,wilton              ,V,1008,True,N,Speed Related,46,N,W,F,True
False,csp troop c,vernon,V,1000002715,True,C,Speed Related,17,H,W,M,False
True,east hartford,east hartford,V,TDH0287,True,O,Traffic Control Signal,24,H,W,F,False
False,csp troop f,madison,V,1000003387,False,C,Speed Related,16,N,B,M,True
False,west haven,west haven,V,1164,True,C,Moving Violation,33,N,B,F,False
True,state police,watertown           ,V,1000001927,True,O,Display of Plates,15,N,W,F,False
True,stamford,stamford,V,3A NIGHTS,False,I,Stop Sign,22,H,B,M,False
True,berlin,berlin,V,BML2828,True,I,Suspended License,46,H,W,M,True
False,glastonbury,glastonbury,I,BJB0397,True,I,Other,28,H,W,F,False
False,waterford,waterford,E,PSC02568,False,C,Window Tint,33,H,W,M,False
False,csp troop k,andover,I,19209,True,O,Unlicensed Operation,34,H,W,M,True
True,ledyard,ledyard,V,PSC27513,True,N,Other,33,N,W,M,False
False,state police,wethersfield        ,V,1000002271,True,C,Other/Error,24,N,B,M,False
False,norwalk,norwalk,V,255,False,O,Administrative Offense,31,N,B,M,True
True,east hartford,east hartford,V,MCD0324,False,C,Traffic Control Signal,26,N,B,M,False
False,waterbury,waterbury,E,1083,True,I,Administrative Offense,46,N,B,M,False
False,willimantic,willimantic,V,367,True,C,Defective Lights,20,N,W,F,False
False,csp troop e,preston,E,854730376,False,C,Window Tint,17,N,B,F,True
True,enfield,enfield,V,115,False,O,Seatbelt,23,N,W,M,False
True,stratford,stratford,V,10165,False,C,Window Tint,35,N,B,M,False
False,vernon,vernon,E,601,False,C,Equipment Violation,29,N,B,M,True
True,csp troop e,montville,V,923295155,True,O,Seatbelt,36,N,W,M,False
True,rocky hill,wethersfield,V,1095410,True,O,Registration,25,N,W,M,False
True,csp troop d,plainfield,V,614680420,True,O,Other,17,H,W,M,True
False,norwich,norwich,V,1046,True,C,Speed Related,31,H,W,M,False
False,waterbury,waterbury,V,1634,True,O,Moving Violation,39,N,B,M,True
True,vernon,vernon,V,611,False,I,Moving Violation,47,N,W,M,False
True,woodbridge,woodbridge,V,238,True,N,Cell Phone,39,N,W,F,True
False,vernon,vernon,E,221,True,C,Equipment Violation,33,N,B,M,True
False,east hartford,east hartford,V,JJF0297,False,O,Administrative Offense,51,N,W,M,True
True,csp troop k,colchester,V,1000002851,True,O,Speed Related,16,N,W,M,False
True,windsor,windsor,V,3748,True,I,Registration,58,N,W,F,True
False,bridgeport,bridgeport,V,1192,True,O,Traffic Control Signal,19,N,W,F,True
False,west hartford,west hartford       ,V,1000002167,True,C,Traffic Control Signal,21,N,W,M,True
False,csp troop g,trumbull,V,1000002598,False,C,Traffic Control Signal,31,H,W,F,False
False,state police,waterbury           ,V,1000002625,True,O,Speed Related,28,H,W,M,True
True,state police,lebanon             ,V,1000002250,True,I,Moving Violation,21,N,W,M,True
True,easton,easton,V,18,True,I,Registration,48,N,B,M,False
True,west haven,west haven,V,1221,True,I,Stop Sign,26,N,W,M,False
False,csp troop a,newtown,I,1000003228,True,C,Other,23,N,W,M,True
True,state police,plainfield          ,V,1000002605,False,C,Moving Violation,54,N,W,M,False
False,bridgeport,bridgeport,V,121,True,C,Traffic Control Signal,44,H,W,M,False
True,hartford,hartford,I,594,False,C,Window Tint,32,H,W,M,False
False,north haven,north haven,V,100000228,False,C,Registration,48,N,W,F,False
True,willimantic,willimantic,V,362,False,C,Defective Lights,22,H,W,M,True
False,new haven,new haven,E,6513,True,O,Window Tint,40,N,B,M,True
False,state police,brooklyn            ,V,890059831,True,C,Traffic Control Signal,31,N,W,M,False
True,ansonia,ansonia,V,100000195,True,I,Defective Lights,46,N,W,M,False
False,new britain,new britain,E,KRS0341,True,O,Defective Lights,22,H,W,M,False
False,state police,griswold            ,V,1000002622,True,O,Speed Related,21,N,W,M,False
False,norwalk,norwalk             ,V,100000187,True,C,Stop Sign,30,H,W,M,False
True,torrington,torrington,I,RDAVI066,False,O,Moving Violation,53,N,W,F,True
True,waterbury,waterbury,V,1355,False,I,Traffic Control Signal,33,H,W,M,True
False,csp troop c,vernon,V,1000002743,True,C,Speed Related,26,N,B,M,True
False,wethersfield,wethersfield,V,JBH0915,True,C,Window Tint,28,H,W,M,True
True,new haven,new haven,V,70,False,C,Other,42,N,B,M,True
False,glastonbury,glastonbury,E,DAK0357,True,I,Administrative Offense,22,H,W,M,True
False,wallingford,wallingford,I,P199    ,True,O,Other/Error,17,N,W,M,False
False,berlin,berlin,V,MLL2842,False,O,Display of Plates,41,H,W,M,False
True,west hartford,west hartford       ,V,1000002164,True,O,Defective Lights,22,N,W,M,False
True,stonington,pawcatuck,V,24,True,O,Other,25,N,W,F,True
False,waterbury,waterbury,I,1558,False,I,Administrative Offense,29,N,B,M,False
True,middletown,middletown,V,163,True,O,Seatbelt,19,H,W,M,True
False,glastonbury,glastonbury,V,SCDESK360,True,I,Speed Related,34,N,W,F,True
False,norwalk,norwalk,V,100000277,True,C,Moving Violation,20,N,B,F,False
True,guilford,guilford,V,67,True,C,Stop Sign,20,N,W,F,False
True,csp troop g,norwalk,V,19018,True,C,Seatbelt,23,N,B,M,False
True,east hampton,east hampton,V,PSC21505,True,C,Speed Related,41,N,W,M,False
True,state police,stafford            ,V,1000002961,False,C,Stop Sign,25,N,W,M,True
False,danbury,danbury,V,1878,True,I,Registration,24,N,A,M,True
False,csp troop g,bridgeport,V,961269420,False,O,Traffic Control Signal,17,N,W,M,True
False,west hartford,west hartford,I,1000002128,False,O,Registration,26,N,B,M,False
True,west hartford,west hartford,V,1000002164,True,O,Moving Violation,18,N,W,M,True
True,wallingford,wallingford,E,P049,False,O,Window Tint,26,N,B,M,True
True,milford,milford,V,304,True,C,Other,16,N,W,F,True
False,west hartford,west hartford,V,100306,True,N,Cell Phone,34,N,W,F,False
False,state police,colchester          ,V,1000002236,True,C,Other,32,N,W,M,False
True,manchester,manchester,E,JBW5138,True,C,Window Tint,32,N,B,F,False
True,norwalk,norwalk,V,100000243,True,C,Moving Violation,28,H,W,M,False
False,glastonbury,glastonbury,V,APP0396,True,C,Cell Phone,24,N,W,M,False
False,state police,hartford            ,E,1000002246,True,C,Other/Error,31,N,W,F,False
False,north haven,north haven,V,100000119,True,I,Registration,40,N,W,M,True
True,waterbury,waterbury,V,2171,False,O,Seatbelt,29,N,B,M,True
False,west haven,west haven,V,1232,True,C,Unlicensed Operation,41,N,B,M,False
False,manchester,manchester,V,CNK5248,True,C,Seatbelt,14,N,W,M,False
False,east haven,east haven          ,E,136,True,I,Registration,46,N,W,M,True
False,west hartford,west hartford,V,100310,False,N,Moving Violation,20,N,W,M,False
True,bridgeport,bridgeport,V,1207,True,I,Other/Error,22,N,B,M,False
False,old saybrook,old saybrook,V,17,True,O,Administrative Offense,51,N,W,M,False
False,norwich,norwich,V,1042,True,O,Stop Sign,33,N,W,M,True
True,naugatuck,naugatuck,V,PL33,False,I,Traffic Control Signal,24,N,B,M,False
False,csp troop c,willington,V,1000003196,True,O,Registration,40,N,W,M,False
False,wethersfield,wethersfield,V,RGM0161,True,C,Suspended License,28,H,W,M,True
False,bridgeport,bridgeport,I,WIL0130,True,I,Registration,28,N,W,F,True
False,csp troop c,ellington,V,1000003447,False,C,Traffic Control Signal,28,N,B,M,False
True,bristol,bristol,V,120000062,True,O,Stop Sign,23,N,B,M,True
False,state police,plainfield          ,V,614680420,True,C,Moving Violation,43,M,I,M,False
False,csp troop e,griswold,V,1000002256,True,O,STC Violation,22,N,W,M,False
False,waterbury,waterbury,V,1078,False,O,Stop Sign,33,H,W,M,True
False,wallingford,wallingford,V,P214,True,O,Equipment Violation,30,H,W,M,True
False,east lyme,east lyme,I,CUT7536,True,C,Other,42,N,W,M,True
True,csp troop g,monroe,V,1000002944,True,C,Moving Violation,25,N,W,M,False
False,clinton,clinton,V,3199,False,O,Speed Related,21,N,W,M,True
False,norwich,norwich,V,1050,False,I,Display of Plates,51,N,B,M,True
True,wallingford,wallingford,V,194,True,O,Cell Phone,47,N,W,M,True
True,norwich,norwich,V,1009,True,I,Administrative Offense,63,N,B,F,False
True,wallingford,wallingford,V,P231,True,O,Registration,23,N,W,M,True
True,csp troop d,killingly,V,576972724,True,C,STC Violation,69,N,W,F,False
False,manchester,manchester,V,CNK5248,True,C,Suspended License,21,H,W,M,True
False,waterbury,waterbury,V,2281,True,O,Stop Sign,39,N,B,M,True
True,west hartford,west hartford       ,V,1000002108,True,O,Seatbelt,32,M,W,M,False
True,new haven,new haven,E,6514,False,O,Other,28,N,B,M,True
True,csp troop g,trumbull,V,1000003362,True,O,Moving Violation,28,N,W,M,False
False,east hartford,east hartford,V,DWC0319,True,O,Suspended License,30,N,W,F,False
False,enfield,enfield,V,PWT0270,False,I,Other/Error,27,N,B,M,False
False,new haven,new haven,V,30500,False,C,Traffic Control Signal,20,N,B,M,False
True,new britain,new britain,V,AJD0464,False,O,Display of Plates,22,N,B,M,True
True,state police,danbury             ,V,790642042,True,O,Other/Error,38,N,W,F,True
True,wallingford,wallingford,V,226,True,O,Seatbelt,23,N,W,M,True
True,waterford,waterford,E,PSC02504,True,C,Equipment Violation,25,H,W,M,True
True,milford,milford ,E,428,True,I,Display of Plates,33,N,W,F,False
False,state police,southbury           ,V,1000002747,False,C,Seatbelt,25,N,B,M,True
False,stratford,stratford,E,30252,True,C,Administrative Offense,52,N,B,M,True
False,csp troop c,stafford,V,1000002760,False,O,Administrative Offense,16,N,W,M,False
False,derby,derby,V,61,False,O,Traffic Control Signal,22,N,W,M,False
True,watertown,watertown,V,1177,False,I,Speed Related,37,N,W,M,True
False,norwalk,norwalk,V,173,False,O,Administrative Offense,20,H,W,M,True
False,new london,new london,V,PSC56058,False,O,Administrative Offense,34,H,B,M,True
False,wallingford,wallingford,V,P049,True,O,Moving Violation,52,N,W,F,False
False,csp troop g,bridgeport,V,1000002944,True,O,Moving Violation,24,N,B,M,False
False,east lyme,east lyme,I,WIL5967,False,C,Other,31,H,W,M,False
True,east haven,east haven,E,100216,True,C,Registration,44,N,W,M,True
True,east haven,east haven,V,100184,True,I,Moving Violation,26,H,W,M,False
False,newtown,newtown,V,FLF0081,True,O,Defective Lights,17,N,W,M,False
True,new haven,new haven,V,6514,True,O,Defective Lights,21,N,B,M,True
False,state police,bethel              ,V,790642042,True,O,Cell Phone,34,N,B,M,False
True,naugatuck,naugatuck,V,PL38,True,O,Traffic Control Signal,30,H,W,M,False
False,wallingford,wallingford,V,P213,True,O,Administrative Offense,22,N,W,M,False
True,csp troop a,waterbury,V,1000002585,True,O,Registration,26,N,B,M,False
False,bridgeport,bridgeport,V,1207,False,O,Speed Related,52,N,B,M,False
False,waterbury,waterbury,V,1453,True,I,Other,31,H,B,M,True
False,woodbridge,woodbridge,V,239,True,N,Speed Related,25,N,B,F,False
False,seymour,seymour,V,348,False,O,Stop Sign,61,N,W,M,False
True,waterbury,waterbury,V,1021,True,I,Moving Violation,31,H,W,F,True
False,glastonbury,glastonbury,V,APP0396,False,I,Administrative Offense,41,N,W,M,True
False,milford,milford,V,113,False,I,Other,37,H,B,F,True
True,greenwich,byram,E,120000119,True,O,Display of Plates,34,N,B,F,False
False,old saybrook,old saybrook,V,26,True,C,Cell Phone,47,N,W,M,False
True,csp troop k,franklin,I,1000003498,True,O,Moving Violation,42,N,W,M,False
False,glastonbury,glastonbury,V,SCC0425,True,I,Registration,73,N,W,M,False
True,state police,woodbury            ,V,1000001946,False,O,Speed Related,35,N,W,M,True
False,manchester,manchester,V,JTS5305,False,O,Registration,29,N,B,F,False
True,csp troop l,burlington,V,1000002885,False,O,Speed Related,36,N,A,F,False
True,willimantic,willimantic,V,367,False,C,Stop Sign,37,H,W,F,False
True,hartford,hartford,V,565,True,O,Moving Violation,41,N,W,M,True
False,west hartford,west hartford,V,1000002175,True,C,Moving Violation,42,N,W,M,False
False,new haven,new haven,E,89,True,N,Display of Plates,45,N,B,M,True
True,norwich,norwich,V,1042,True,C,Traffic Control Signal,29,N,W,F,True
False,cromwell,cromwell,V,10124,True,N,Registration,46,N,W,M,True
False,enfield,enfield,V,109,True,I,Other,56,N,W,M,False
False,hartford,hartford,I,776,True,O,Administrative Offense,28,H,W,F,True
False,csp troop k,east hartford,V,899734338,True,O,Speed Related,22,H,W,M,False
True,vernon,vernon,I,625,False,O,Other,22,N,W,F,False
