StatuteReason,SubjectAge,InterventionDateTime,ContrabandIndicator
Display of Plates,39.0,01/09/2018 11:03:00 PM,False
Defective Lights,34.0,06/24/2016 07:19:38 PM,False
Speed Related,32.0,03/17/2018 03:30:00 AM,True
Seatbelt,19.0,05/23/2016 01:00:49 PM,True
Defective Lights,20.0,11/23/2016 08:52:00 PM,True
Speed Related,19.0,03/13/2014 12:00:00 AM,False
Moving Violation,26.0,11/07/2014 08:30:00 PM,False
Window Tint,23.0,02/20/2018 12:34:00 AM,False
Other/Error,24.0,12/13/2014 02:57:00 AM,False
Registration,28.0,06/22/2017 05:15:00 PM,False
Speed Related,54.0,11/30/2015 12:59:38 AM,False
Administrative Offense,30.0,08/04/2017 11:59:00 PM,False
Other,27.0,01/15/2014 05:55:00 PM,False
Other,32.0,09/18/2017 09:51:00 PM,True
Defective Lights,46.0,12/10/2016 02:45:00 AM,False
Administrative Offense,38.0,05/20/2017 06:46:00 PM,False
Cell Phone,41.0,09/15/2014 08:58:00 AM,False
Speed Related,20.0,11/28/2016 06:47:00 AM,False
Traffic Control Signal,37.0,10/22/2015 07:35:32 PM,True
Stop Sign,18.0,01/16/2018 01:02:00 AM,True
Administrative Offense,30.0,03/09/2017 05:34:00 AM,True
Registration,46.0,10/04/2013 02:27:00 PM,False
Traffic Control Signal,20.0,10/08/2015 01:11:18 AM,True
Registration,43.0,02/23/2018 11:12:00 PM,False
Moving Violation,35.0,08/14/2014 08:49:00 PM,True
Administrative Offense,58.0,01/13/2016 08:03:00 PM,False
Speed Related,35.0,10/19/2013 12:39:00 AM,False
Seatbelt,33.0,04/16/2016 05:54:00 PM,True
Defective Lights,30.0,03/01/2018 09:03:00 AM,False
Registration,29.0,05/02/2018 11:52:00 PM,False
Window Tint,28.0,11/09/2016 11:31:00 AM,False
Administrative Offense,37.0,02/01/2017 09:05:00 PM,False
Other,22.0,07/01/2017 09:37:00 PM,True
Defective Lights,18.0,12/10/2016 12:00:00 AM,True
Registration,31.0,11/20/2013 06:04:00 PM,True
Seatbelt,21.0,05/23/2014 05:05:00 PM,False
Administrative Offense,23.0,02/06/2018 02:00:00 PM,True
Defective Lights,23.0,09/28/2016 10:07:41 PM,False
Defective Lights,25.0,01/10/2018 02:20:00 AM,True
Other,22.0,09/27/2016 01:49:00 PM,True
Speed Related,17.0,09/08/2017 10:11:00 PM,False
Registration,53.0,01/19/2015 11:16:00 AM,False
Moving Violation,35.0,07/04/2016 10:15:34 AM,True
Moving Violation,18.0,10/29/2016 02:36:00 AM,True
Administrative Offense,33.0,03/13/2016 12:32:56 PM,True
Traffic Control Signal,51.0,03/29/2015 04:46:00 PM,False
Moving Violation,23.0,10/09/2017 11:38:00 PM,False
Seatbelt,23.0,09/07/2016 07:09:00 PM,False
Traffic Control Signal,26.0,08/13/2014 09:00:00 PM,True
Moving Violation,36.0,12/17/2016 09:58:00 PM,False
Cell Phone,47.0,04/24/2018 09:44:00 AM,False
Moving Violation,40.0,10/26/2013 12:00:00 AM,False
Other,31.0,02/25/2017 10:34:00 AM,False
Other,35.0,02/28/2018 08:35:00 AM,True
Moving Violation,35.0,10/16/2013 05:55:00 AM,True
Unlicensed Operation,28.0,01/15/2018 10:11:00 AM,False
Speed Related,19.0,01/09/2018 08:13:00 PM,True
Administrative Offense,25.0,12/15/2017 08:20:00 PM,True
Moving Violation,27.0,04/06/2016 12:58:56 PM,False
Window Tint,32.0,01/14/2014 12:15:00 PM,False
Other,40.0,04/08/2018 05:22:00 PM,True
Other,49.0,02/05/2018 10:00:00 PM,True
Defective Lights,43.0,08/31/2017 02:21:00 AM,False
Display of Plates,30.0,07/16/2016 03:15:00 AM,True
Administrative Offense,46.0,10/21/2016 04:10:00 PM,False
Other,32.0,07/01/2017 03:22:00 AM,False
Other,28.0,02/16/2014 02:05:00 AM,False
Cell Phone,24.0,04/28/2014 08:56:00 AM,True
Stop Sign,27.0,03/18/2018 05:07:00 PM,False
Moving Violation,21.0,08/30/2014 09:48:00 PM,False
Other,39.0,05/07/2018 05:45:00 PM,True
Moving Violation,30.0,03/19/2015 09:37:00 PM,False
Suspended License,19.0,09/03/2014 02:44:00 PM,False
Other,24.0,09/11/2014 04:41:00 PM,True
Other,36.0,01/06/2014 01:32:00 PM,False
Registration,32.0,05/27/2017 08:04:00 PM,True
Speed Related,24.0,04/28/2018 04:56:00 PM,True
Administrative Offense,26.0,05/31/2016 04:18:00 PM,False
Stop Sign,22.0,04/08/2016 09:33:52 PM,True
Traffic Control Signal,21.0,09/23/2014 02:28:00 PM,True
Display of Plates,45.0,02/06/2014 01:47:00 AM,False
Other,18.0,02/13/2016 12:36:05 AM,False
Suspended License,26.0,03/18/2015 08:35:00 PM,False
Stop Sign,49.0,11/08/2017 09:26:00 AM,False
Display of Plates,22.0,06/16/2017 11:20:00 AM,False
Defective Lights,43.0,04/07/2018 11:17:00 PM,False
Other,42.0,04/17/2014 06:27:00 PM,True
Seatbelt,28.0,03/14/2014 06:42:00 PM,False
Defective Lights,35.0,11/19/2017 03:01:00 AM,False
Stop Sign,29.0,02/12/2015 10:10:00 PM,False
Moving Violation,19.0,11/06/2013 10:12:00 PM,True
Registration,21.0,04/18/2018 11:00:00 AM,False
Moving Violation,18.0,09/12/2017 09:34:00 PM,True
Other,32.0,11/16/2013 06:19:00 PM,False
Defective Lights,27.0,01/30/2014 01:43:00 AM,True
Other,48.0,05/27/2014 12:57:00 PM,True
Defective Lights,24.0,01/11/2015 01:57:00 AM,True
Other,19.0,03/16/2018 06:00:00 PM,False
Administrative Offense,33.0,02/26/2017 10:28:00 AM,False
Window Tint,47.0,05/10/2016 11:37:00 AM,False
Administrative Offense,28.0,06/03/2017 11:02:00 PM,True
Stop Sign,18.0,03/29/2015 07:11:00 PM,True
Speed Related,24.0,04/10/2017 01:05:00 AM,True
Seatbelt,22.0,11/26/2016 12:24:00 PM,True
Equipment Violation,20.0,09/08/2017 01:24:00 AM,False
Cell Phone,28.0,03/29/2014 08:20:00 AM,False
Moving Violation,20.0,03/25/2015 01:39:00 AM,True
Seatbelt,28.0,11/28/2015 11:04:00 AM,False
Administrative Offense,26.0,03/19/2016 11:24:44 AM,False
Administrative Offense,47.0,06/08/2016 01:19:02 PM,False
Seatbelt,39.0,11/25/2016 03:30:00 PM,True
Other,16.0,04/09/2017 01:28:00 AM,True
Seatbelt,50.0,06/26/2016 06:01:42 PM,False
Administrative Offense,21.0,12/21/2017 01:02:00 AM,False
Display of Plates,34.0,11/10/2016 01:44:00 AM,False
Defective Lights,26.0,07/10/2014 12:25:00 AM,False
Defective Lights,31.0,11/24/2017 06:39:00 PM,True
Display of Plates,28.0,07/23/2014 12:25:00 AM,False
Speed Related,34.0,10/21/2015 10:02:00 PM,True
Other,38.0,12/31/2013 12:00:00 AM,False
Other,25.0,03/15/2018 03:40:00 AM,False
Stop Sign,24.0,04/25/2017 03:22:00 AM,False
Moving Violation,65.0,04/27/2018 08:29:00 PM,False
Other,26.0,03/24/2016 09:50:00 PM,False
Moving Violation,25.0,01/01/2016 06:34:00 PM,False
Traffic Control Signal,24.0,04/28/2018 12:46:00 AM,False
STC Violation,37.0,11/16/2016 08:39:00 PM,False
STC Violation,31.0,03/10/2016 12:10:15 AM,False
Moving Violation,19.0,12/30/2014 08:00:00 PM,True
Other,22.0,10/28/2016 04:32:00 PM,False
Display of Plates,50.0,10/21/2015 01:08:19 AM,False
Stop Sign,47.0,07/14/2017 02:15:00 PM,True
Moving Violation,23.0,08/07/2016 09:12:43 PM,False
Stop Sign,20.0,01/30/2018 11:36:00 AM,True
Administrative Offense,24.0,02/08/2018 03:18:00 PM,False
Speed Related,21.0,03/23/2016 12:16:27 AM,False
Defective Lights,29.0,01/17/2014 07:13:00 PM,False
Moving Violation,18.0,03/28/2017 06:48:00 AM,True
Speed Related,30.0,03/17/2016 02:28:00 AM,False
Moving Violation,33.0,05/21/2016 04:55:43 PM,False
Display of Plates,22.0,01/20/2016 07:39:56 PM,False
Speed Related,37.0,01/20/2015 12:14:00 AM,False
Moving Violation,29.0,03/21/2016 01:38:21 PM,False
Defective Lights,21.0,02/25/2017 08:42:00 PM,True
Defective Lights,48.0,01/06/2016 09:41:53 AM,False
Other,25.0,10/24/2017 01:06:00 PM,False
Defective Lights,19.0,12/17/2014 07:16:00 PM,False
Display of Plates,24.0,01/10/2014 12:00:00 AM,False
Display of Plates,20.0,11/26/2016 05:50:00 AM,False
Stop Sign,21.0,04/19/2014 08:33:00 PM,False
Traffic Control Signal,19.0,11/10/2016 12:51:00 AM,False
Defective Lights,57.0,08/23/2014 10:16:00 AM,True
Unlicensed Operation,23.0,06/26/2016 03:09:13 PM,False
Moving Violation,36.0,12/02/2017 02:06:00 AM,False
Display of Plates,45.0,02/19/2015 01:00:00 AM,False
Other,25.0,05/25/2014 10:25:00 PM,False
Registration,39.0,01/22/2014 05:57:00 PM,False
Cell Phone,20.0,04/13/2018 03:58:00 PM,True
Administrative Offense,26.0,10/23/2017 12:02:00 PM,False
Moving Violation,29.0,01/16/2015 10:21:00 PM,False
Other,21.0,09/01/2017 05:27:00 AM,False
Window Tint,30.0,04/25/2018 06:18:00 PM,False
Window Tint,20.0,02/08/2015 11:32:00 PM,False
Stop Sign,23.0,01/23/2018 06:24:00 PM,False
Stop Sign,20.0,11/22/2015 01:22:25 AM,True
Defective Lights,52.0,02/04/2017 09:59:00 PM,False
Speed Related,22.0,07/09/2017 02:51:00 AM,True
Defective Lights,25.0,04/11/2014 10:40:00 PM,False
Moving Violation,20.0,03/06/2018 09:18:00 PM,False
Speed Related,20.0,12/13/2016 01:02:00 PM,False
Registration,29.0,07/12/2017 06:21:00 PM,False
Other/Error,33.0,10/07/2014 02:52:00 AM,True
Suspended License,46.0,04/21/2014 10:45:00 AM,False
Stop Sign,31.0,07/26/2016 12:30:00 AM,False
Registration,29.0,04/02/2016 06:52:44 PM,True
Registration,26.0,08/13/2014 08:12:00 PM,False
Administrative Offense,31.0,12/21/2017 09:26:00 PM,False
Equipment Violation,34.0,06/20/2014 08:24:00 PM,True
Seatbelt,22.0,02/17/2015 09:28:00 AM,True
Window Tint,37.0,02/28/2018 08:44:00 AM,False
Registration,32.0,02/09/2018 07:22:00 PM,True
Moving Violation,35.0,01/01/2017 10:19:00 PM,False
Cell Phone,60.0,09/03/2014 05:54:00 PM,False
Speed Related,33.0,10/17/2015 04:58:43 PM,False
Other,39.0,10/26/2013 12:42:00 AM,False
Stop Sign,23.0,11/14/2015 04:55:00 PM,False
Speed Related,27.0,01/07/2016 09:46:12 PM,False
Registration,31.0,03/10/2016 01:17:39 AM,False
Administrative Offense,22.0,06/29/2017 08:53:00 AM,False
Registration,20.0,01/10/2018 07:42:00 PM,False
Registration,18.0,01/18/2017 02:43:00 AM,True
Moving Violation,45.0,01/18/2018 02:27:00 PM,True
Other,25.0,03/15/2014 09:19:00 PM,True
Moving Violation,35.0,09/17/2017 08:59:00 PM,True
Other,17.0,11/01/2015 02:09:44 AM,False
Registration,60.0,11/11/2017 11:48:00 PM,False
Other/Error,19.0,01/01/2015 04:01:00 AM,True
Administrative Offense,34.0,04/20/2018 01:24:00 PM,False
Speed Related,40.0,01/15/2017 09:39:00 AM,False
Display of Plates,24.0,12/16/2014 10:54:00 AM,True
Stop Sign,27.0,02/27/2018 01:36:00 PM,False
Display of Plates,36.0,05/19/2017 04:45:00 PM,False
Moving Violation,23.0,08/17/2014 05:31:00 PM,False
Registration,38.0,03/26/2016 11:29:00 PM,True
Administrative Offense,34.0,07/09/2017 08:09:00 PM,True
Stop Sign,46.0,06/13/2017 03:42:00 PM,False
Speed Related,25.0,09/26/2014 10:51:00 AM,False
Speed Related,18.0,07/18/2016 02:20:47 PM,False
Speed Related,33.0,12/16/2013 04:40:00 PM,False
Registration,23.0,05/27/2016 04:04:48 PM,False
Other,25.0,02/14/2018 12:18:00 PM,True
Window Tint,21.0,08/24/2017 07:48:00 PM,False
Window Tint,25.0,03/03/2014 12:00:00 AM,False
Other,24.0,03/14/2018 06:05:00 PM,False
Moving Violation,37.0,01/13/2018 01:50:00 AM,False
Display of Plates,27.0,02/17/2017 09:40:00 PM,True
Moving Violation,29.0,04/25/2014 10:29:00 PM,False
Administrative Offense,30.0,03/30/2017 02:34:00 AM,False
Moving Violation,30.0,04/22/2018 08:48:00 PM,True
Display of Plates,32.0,05/08/2018 10:12:00 AM,False
Registration,51.0,03/28/2016 12:38:17 AM,False
Traffic Control Signal,34.0,11/21/2015 09:36:00 PM,True
Defective Lights,19.0,05/10/2016 01:14:00 AM,True
Speed Related,38.0,04/07/2016 10:00:00 PM,False
Equipment Violation,23.0,10/22/2017 03:49:00 AM,True
Speed Related,21.0,12/15/2015 04:42:00 AM,True
Speed Related,31.0,08/06/2017 02:20:00 AM,False
Administrative Offense,31.0,03/01/2016 07:02:02 PM,False
Moving Violation,24.0,01/15/2016 10:35:38 PM,False
Moving Violation,28.0,03/26/2017 11:48:00 PM,False
Traffic Control Signal,45.0,12/14/2014 06:00:00 PM,True
Speed Related,19.0,06/18/2016 01:37:14 PM,True
Other,40.0,08/27/2016 09:18:00 PM,False
Registration,48.0,12/13/2014 03:36:00 PM,True
Traffic Control Signal,25.0,08/13/2017 02:24:00 AM,False
Defective Lights,27.0,10/23/2017 06:18:00 PM,True
Speed Related,24.0,10/28/2013 12:51:00 AM,False
Registration,53.0,12/14/2016 03:15:00 PM,False
Other,35.0,01/15/2014 09:56:00 PM,False
Stop Sign,30.0,07/30/2016 08:55:00 PM,True
Traffic Control Signal,19.0,10/03/2016 08:37:00 PM,True
Speed Related,22.0,03/24/2015 06:29:00 PM,False
Moving Violation,28.0,04/12/2016 11:02:27 PM,False
Defective Lights,21.0,02/06/2017 06:10:00 PM,False
Registration,32.0,09/14/2016 10:18:00 AM,False
Other,25.0,05/23/2014 02:53:00 AM,True
Stop Sign,27.0,04/15/2017 08:29:00 PM,True
Speed Related,23.0,08/05/2014 10:47:00 PM,False
STC Violation,27.0,10/29/2015 04:56:35 PM,False
Moving Violation,34.0,08/06/2014 05:10:00 PM,False
Moving Violation,22.0,01/06/2014 11:53:00 PM,True
Cell Phone,30.0,04/12/2018 10:44:00 AM,False
Display of Plates,19.0,02/21/2017 01:03:00 AM,False
Registration,46.0,08/12/2017 06:54:00 PM,False
Display of Plates,50.0,03/26/2018 10:05:00 AM,True
Registration,54.0,02/27/2014 11:40:00 AM,True
Defective Lights,22.0,04/05/2014 12:21:00 AM,False
Seatbelt,24.0,02/18/2017 11:50:00 AM,False
Registration,47.0,09/20/2016 07:58:13 AM,False
Administrative Offense,55.0,02/26/2016 05:23:00 PM,True
Moving Violation,26.0,12/20/2014 01:47:00 AM,True
Administrative Offense,26.0,07/23/2016 10:02:22 PM,False
Other,24.0,11/07/2017 12:08:00 AM,False
Registration,21.0,09/28/2017 07:40:00 AM,False
Moving Violation,38.0,01/17/2015 10:03:00 AM,True
Speed Related,41.0,04/29/2017 10:43:00 PM,False
Moving Violation,19.0,04/13/2017 08:09:00 PM,True
Speed Related,19.0,09/28/2017 11:57:00 PM,True
Other,25.0,07/30/2017 01:51:00 AM,True
Stop Sign,49.0,03/16/2015 11:55:00 PM,False
Defective Lights,60.0,01/17/2014 11:30:00 PM,True
Registration,32.0,12/08/2016 11:32:00 AM,False
Defective Lights,19.0,02/18/2017 01:37:00 AM,True
Display of Plates,19.0,12/18/2016 12:43:00 AM,True
Other,47.0,06/06/2017 11:33:00 AM,False
Cell Phone,24.0,03/23/2017 06:15:00 PM,False
Suspended License,25.0,01/17/2015 09:53:00 PM,False
Administrative Offense,29.0,11/17/2016 01:02:00 AM,True
Moving Violation,32.0,01/24/2018 08:50:00 PM,False
Other,25.0,11/26/2016 10:00:00 PM,False
Registration,22.0,09/27/2014 10:26:00 PM,False
Moving Violation,31.0,02/20/2018 05:11:00 PM,False
Seatbelt,19.0,01/24/2017 10:51:00 AM,True
Moving Violation,49.0,04/04/2018 12:17:00 AM,False
Moving Violation,38.0,01/17/2015 10:03:00 AM,True
Registration,24.0,04/08/2016 09:04:42 PM,False
Moving Violation,34.0,02/13/2015 05:55:00 PM,False
Other,28.0,09/28/2016 07:09:00 PM,False
Other/Error,30.0,03/19/2015 09:04:00 PM,False
Seatbelt,25.0,05/16/2014 06:09:00 PM,True
Administrative Offense,30.0,07/04/2016 08:34:00 PM,False
Suspended License,40.0,07/16/2014 08:47:00 PM,False
Moving Violation,23.0,12/18/2016 02:07:00 AM,False
Speed Related,20.0,02/26/2018 04:31:00 PM,False
Stop Sign,38.0,11/06/2016 05:39:00 PM,False
Speed Related,30.0,03/24/2018 11:58:00 PM,True
Stop Sign,24.0,02/10/2018 05:28:00 PM,True
Other,21.0,02/06/2018 01:10:00 PM,True
Other,29.0,05/06/2018 03:20:00 AM,False
Suspended License,23.0,07/17/2014 09:09:00 AM,False
Other,47.0,03/20/2014 05:54:00 PM,False
Moving Violation,26.0,12/13/2017 08:54:00 AM,False
Seatbelt,41.0,12/18/2013 01:49:00 PM,False
Display of Plates,26.0,10/15/2017 09:18:00 PM,False
Window Tint,20.0,03/02/2016 04:51:00 PM,False
Other,18.0,02/07/2016 11:09:38 PM,False
Administrative Offense,50.0,10/22/2015 04:48:49 PM,False
Window Tint,27.0,02/15/2018 11:07:00 AM,True
Registration,27.0,05/05/2014 04:44:00 PM,False
Other,18.0,02/24/2017 05:39:00 PM,False
Moving Violation,30.0,02/18/2016 11:22:17 AM,True
Moving Violation,21.0,06/12/2017 08:22:00 PM,True
Stop Sign,36.0,05/11/2014 11:34:00 PM,False
Moving Violation,27.0,03/13/2017 01:39:00 AM,False
Registration,24.0,08/03/2014 02:56:00 PM,False
Seatbelt,33.0,10/14/2015 12:28:26 PM,True
Defective Lights,45.0,12/11/2015 08:42:56 PM,False
Registration,52.0,10/12/2017 09:06:00 AM,False
Display of Plates,30.0,02/02/2014 01:15:00 AM,False
Moving Violation,39.0,06/13/2017 07:05:00 PM,True
Other,40.0,12/11/2013 09:36:00 PM,False
Other/Error,22.0,01/28/2015 07:38:00 PM,False
Moving Violation,31.0,02/08/2015 01:56:00 AM,False
Registration,41.0,03/06/2017 02:42:00 PM,False
Defective Lights,30.0,02/20/2014 12:00:00 AM,False
Registration,46.0,04/16/2014 08:40:00 PM,False
Speed Related,23.0,12/04/2014 11:26:00 PM,False
Other,25.0,07/10/2014 10:16:00 PM,True
Moving Violation,27.0,03/12/2016 01:15:00 AM,False
Speed Related,20.0,03/22/2014 12:19:00 AM,False
Defective Lights,24.0,01/20/2016 09:25:09 PM,False
Other,20.0,07/11/2014 10:56:00 PM,True
Moving Violation,51.0,07/02/2016 02:12:27 AM,False
Defective Lights,20.0,10/29/2015 06:02:00 PM,True
Other,25.0,04/19/2014 06:10:00 PM,False
Other,27.0,02/15/2017 08:30:00 PM,False
Administrative Offense,48.0,12/24/2015 12:34:00 PM,True
Defective Lights,34.0,09/30/2014 05:28:00 PM,False
Administrative Offense,36.0,08/03/2016 06:39:00 PM,False
Moving Violation,20.0,08/13/2014 08:57:00 PM,False
Window Tint,32.0,03/04/2018 01:26:00 PM,True
Display of Plates,25.0,06/18/2016 06:33:42 PM,True
Other/Error,30.0,02/17/2015 09:32:00 PM,False
Display of Plates,34.0,05/20/2014 09:46:00 AM,False
Speed Related,39.0,09/11/2016 06:28:47 PM,False
Speed Related,41.0,09/05/2016 03:34:00 PM,False
Defective Lights,45.0,02/04/2016 08:29:46 PM,False
Moving Violation,54.0,06/29/2017 02:26:00 AM,False
Traffic Control Signal,22.0,10/20/2015 12:05:00 AM,False
Defective Lights,22.0,01/16/2016 01:51:34 AM,True
Administrative Offense,36.0,04/28/2018 06:51:00 PM,False
Speed Related,36.0,04/02/2018 08:38:00 PM,False
Display of Plates,21.0,03/10/2017 09:34:00 PM,False
Registration,42.0,01/18/2018 07:17:00 PM,False
Speed Related,35.0,03/20/2015 01:38:00 AM,True
Window Tint,23.0,11/15/2014 07:07:00 PM,False
Other,49.0,02/17/2017 11:19:00 PM,False
Administrative Offense,34.0,05/08/2018 07:09:00 PM,False
Stop Sign,24.0,06/14/2017 06:09:00 PM,False
Defective Lights,35.0,05/10/2018 07:07:00 PM,True
Cell Phone,35.0,05/11/2017 05:45:00 PM,True
Speed Related,29.0,09/19/2016 02:55:00 AM,False
Traffic Control Signal,40.0,07/07/2016 04:29:00 PM,False
Moving Violation,30.0,10/18/2014 02:44:00 AM,False
Registration,30.0,04/30/2018 05:53:00 PM,False
Display of Plates,40.0,03/09/2018 10:51:00 AM,False
Traffic Control Signal,57.0,12/04/2014 02:36:00 AM,False
Other,20.0,02/03/2018 07:23:00 PM,True
Speed Related,23.0,01/24/2018 11:20:00 AM,True
Stop Sign,25.0,12/21/2016 10:12:00 PM,True
Speed Related,19.0,05/10/2018 01:27:00 AM,False
Stop Sign,21.0,11/08/2013 01:01:00 PM,False
Other,29.0,02/04/2016 01:41:00 AM,True
Registration,30.0,03/25/2017 03:38:00 PM,False
Registration,30.0,04/03/2014 08:26:00 PM,False
Other,39.0,12/01/2016 03:49:00 PM,False
Suspended License,24.0,03/16/2015 12:59:00 PM,False
Seatbelt,19.0,10/16/2016 05:05:00 PM,False
Registration,18.0,11/12/2017 06:46:00 PM,False
Traffic Control Signal,43.0,11/09/2013 08:28:00 PM,True
Defective Lights,30.0,05/27/2014 01:19:00 AM,False
Display of Plates,41.0,03/04/2018 09:03:00 AM,False
Defective Lights,48.0,07/26/2017 12:46:00 AM,False
Administrative Offense,24.0,07/04/2017 05:07:00 PM,False
Defective Lights,18.0,03/15/2014 07:59:00 PM,True
Other,25.0,11/24/2013 02:49:00 AM,True
Unlicensed Operation,29.0,03/19/2018 06:33:00 PM,False
Stop Sign,23.0,12/21/2016 12:50:00 AM,True
Defective Lights,20.0,12/27/2016 11:29:00 PM,False
Traffic Control Signal,45.0,05/16/2014 02:29:00 AM,False
Moving Violation,48.0,01/08/2018 12:34:00 AM,True
Registration,24.0,07/16/2014 08:02:00 PM,False
Moving Violation,44.0,01/16/2016 03:04:45 AM,False
Other,37.0,04/09/2014 01:37:00 AM,False
Suspended License,39.0,08/30/2014 08:08:00 AM,False
Equipment Violation,36.0,08/28/2017 09:13:00 PM,True
Traffic Control Signal,21.0,07/28/2017 11:57:00 AM,False
Traffic Control Signal,36.0,08/18/2016 04:40:00 PM,False
Speed Related,21.0,10/11/2015 05:13:11 PM,False
Moving Violation,45.0,01/15/2015 12:54:00 AM,False
Other,23.0,04/01/2014 09:40:00 AM,False
Window Tint,26.0,11/11/2014 01:25:00 AM,False
Moving Violation,35.0,04/10/2018 08:39:00 PM,False
Registration,24.0,07/20/2016 06:05:30 PM,False
Registration,23.0,05/19/2017 07:48:00 AM,False
Administrative Offense,20.0,08/06/2017 09:25:00 PM,True
Defective Lights,24.0,02/05/2016 10:54:00 PM,False
Moving Violation,33.0,03/24/2018 09:32:00 AM,True
Registration,51.0,04/25/2018 07:38:00 PM,False
Other,20.0,01/16/2017 01:11:00 AM,True
Window Tint,25.0,04/19/2016 07:38:00 PM,False
Other,25.0,12/30/2017 12:40:00 AM,True
Moving Violation,40.0,09/14/2014 04:18:00 AM,False
Registration,33.0,11/16/2015 12:48:00 AM,False
Speed Related,25.0,11/04/2015 09:48:05 PM,False
Suspended License,35.0,01/31/2014 06:23:00 PM,False
Display of Plates,58.0,01/09/2017 07:00:00 PM,False
Other,49.0,01/06/2016 11:49:44 AM,False
Stop Sign,20.0,01/30/2018 11:36:00 AM,True
Registration,62.0,09/25/2014 11:07:00 AM,False
Administrative Offense,22.0,05/06/2016 07:46:00 AM,False
Registration,37.0,01/08/2018 10:30:00 AM,False
Speed Related,29.0,01/01/2015 03:19:00 PM,True
Cell Phone,35.0,03/17/2016 10:26:06 AM,False
Administrative Offense,33.0,03/31/2018 08:29:00 AM,False
Cell Phone,19.0,04/06/2018 10:20:00 AM,True
Moving Violation,39.0,07/13/2017 09:00:00 PM,False
Stop Sign,23.0,07/11/2017 06:18:00 PM,False
Traffic Control Signal,46.0,07/04/2016 06:31:48 PM,False
Seatbelt,22.0,03/20/2014 11:34:00 AM,False
Defective Lights,31.0,04/25/2018 01:36:00 AM,False
Other,24.0,04/09/2014 02:46:00 AM,False
Moving Violation,23.0,10/30/2015 02:19:12 PM,False
Administrative Offense,24.0,02/27/2016 06:08:00 PM,False
Administrative Offense,28.0,11/19/2017 05:23:00 PM,False
Moving Violation,30.0,05/11/2017 07:30:00 PM,False
Speed Related,22.0,03/07/2014 10:59:00 PM,False
Stop Sign,36.0,04/08/2017 08:04:00 PM,False
Other,52.0,12/16/2017 10:00:00 PM,False
Suspended License,30.0,05/28/2014 02:43:00 PM,False
