Name,Active,Gender,Membership,Universe,Appearances,TotalDeaths,TotalReturns
Jessica Jones,YES,FEMALE,Full,Earth-616,205,0,0
Amadeus Cho,NO,MALE,Full,Earth-616,108,0,0
Maria Hill,YES,FEMALE,Full,Earth-616,359,0,0
Robbie Baldwin,NO,MALE,Full,Earth-616,299,0,0
Sharon Carter,NO,FEMALE,Full,Earth-616,333,1,1
Eric O'Grady,NO,MALE,Full,Earth-616,88,1,0
Brunnhilde,NO,FEMALE,Full,Earth-616,369,0,0
Richard Rider,NO,MALE,Full,Earth-616,380,1,0
Brian Braddock,NO,MALE,Full,Earth-616,545,0,0
Dennis Sykes,NO,MALE,Full,Earth-616,6,1,0
Noh-Varr,YES,MALE,Full,Earth-616,126,0,0
Thaddeus Ross,NO,MALE,Full,Earth-616,417,1,1
John Aman,YES,MALE,Full,Earth-616,31,0,0
Shang-Chi,YES,MALE,Full,Earth-616,310,0,0
James Santini,YES,MALE,Academy,Earth-616,40,0,0
Emery Schaub,YES,MALE,Academy,Earth-616,26,0,0
Jeanne Foucault,YES,FEMALE,Academy,Earth-616,63,0,0
Jennifer Takeda,YES,FEMALE,Academy,Earth-616,73,0,0
Yvette,YES,FEMALE,Academy,Earth-616,22,0,0
Julie Power,YES,FEMALE,Academy,Earth-616,153,0,0
Alani Ryan,YES,FEMALE,Academy,Earth-616,73,0,0
Ken Mack,NO,MALE,Academy,Earth-616,59,1,0
Humberto Lopez,YES,MALE,Academy,Earth-616,66,1,0
Johnny Gallo,YES,MALE,Academy,Earth-616,43,0,0
Lyra,YES,FEMALE,Academy,Earth-8009,55,0,0
Anya Corazon,YES,FEMALE,Academy,Earth-616,108,0,0
Brandon Sharpe,YES,MALE,Academy,Earth-616,64,0,0
Kevin Masterson,YES,MALE,Academy,Earth-616,62,0,0
Michiko Musashi,YES,FEMALE,Academy,Earth-616,94,0,0
Taki Matsuya,YES,MALE,Academy,Earth-616,18,0,0
Daisy Johnson,NO,FEMALE,Full,Earth-616,81,0,0
Ororo Munroe,NO,FEMALE,Full,Earth-616,1598,0,0
Matt Murdock,NO,MALE,Full,Earth-616,1375,0,0
Flash Thompson,YES,MALE,Honorary,Earth-616,746,0,0
Otto Octavius,NO,MALE,Full,Earth-616,561,1,0
Alex Summers,YES,MALE,Full,Earth-616,592,0,0
Samuel Guthrie,YES,MALE,Full,Earth-616,679,0,0
Roberto da Costa,YES,MALE,Full,Earth-616,491,0,0
Eden Fesi,YES,MALE,Full,Earth-616,65,0,0
Izzy Kane,YES,FEMALE,Full,Earth-616,44,0,0
Marcus Milton,YES,MALE,Full,Earth-13034,65,1,0
Shiro Yoshida,YES,MALE,Full,Earth-616,176,1,1
Adam,YES,MALE,Full,Earth-616,35,1,0
Kevin Kale Connor,YES,MALE,Full,Earth-616,44,1,0
Sam Alexander,YES,MALE,Honorary,Earth-616,78,0,0
America Chavez,YES,FEMALE,Full,Earth-616,22,0,0
David Alleyne,YES,MALE,Full,Earth-616,115,0,0
"Nicholas Fury, Jr., Marcus Johnson",YES,MALE,Full,Earth-616,77,0,0
Phillip Coulson,YES,MALE,Full,Earth-616,69,0,0
Tony Masters,NO,MALE,Full,Earth-616,173,0,0
Victor Mancha,YES,MALE,Full,Earth-616,75,1,1
Monica Chang,YES,FEMALE,Full,Earth-616,12,0,0
Alexis,YES,FEMALE,Full,Earth-616,13,0,0
Eric Brooks,YES,MALE,Full,Earth-616,198,0,0
Adam Brashear,YES,MALE,Full,Earth-616,29,0,0
Victor Alvarez,YES,MALE,Full,Earth-616,45,0,0
Ava Ayala,YES,FEMALE,Full,Earth-616,49,0,0
Kaluu,YES,MALE,Full,Earth-616,35,0,0
