adult,Viscera weight,Coarse-grained Hormones,Diameter,Length,Phosphorylation,Ectopic relationships,Height,Whole weight,Shell weight,Sex,Shucked weight
1.0,0.272,0.059,0.45,0.58,0.024,0.522,0.185,0.9955,0.285,F,0.3945
1.0,0.23399999999999999,0.383,0.445,0.59,0.553,0.987,0.14,0.9309999999999999,0.28,M,0.35600000000000004
1.0,0.21899999999999997,0.303,0.475,0.605,0.254,0.375,0.18,0.9365,0.295,M,0.39399999999999996
1.0,0.22699999999999998,0.445,0.425,0.575,0.288,0.941,0.14,0.8635,0.2,M,0.39299999999999996
1.0,0.242,0.546,0.47,0.58,0.416,0.146,0.165,0.9975,0.33,M,0.3935
1.0,0.2805,0.007,0.56,0.68,0.632,0.99,0.165,1.639,0.46,F,0.6055
1.0,0.3575,0.158,0.525,0.665,0.368,0.07,0.165,1.338,0.35,M,0.5515
1.0,0.3925,0.541,0.55,0.68,0.519,0.414,0.175,1.798,0.455,F,0.815
1.0,0.4115,0.349,0.55,0.705,0.896,0.309,0.2,1.7095,0.49,F,0.633
1.0,0.124,0.648,0.355,0.465,0.679,0.433,0.105,0.4795,0.125,M,0.22699999999999998
1.0,0.3075,0.975,0.475,0.54,0.217,0.142,0.155,1.217,0.34,F,0.5305
1.0,0.1165,0.876,0.355,0.45,0.79,0.256,0.105,0.5225,0.145,F,0.237
1.0,0.2035,0.137,0.445,0.575,0.861,0.08,0.135,0.883,0.26,F,0.381
1.0,0.086,0.142,0.29,0.355,0.181,0.423,0.09,0.3275,0.09,M,0.134
1.0,0.091,0.194,0.335,0.45,0.733,0.011,0.105,0.425,0.115,F,0.1865
1.0,0.196,0.583,0.425,0.55,0.269,0.204,0.135,0.8515,0.27,F,0.36200000000000004
0.0,0.0235,0.245,0.175,0.24,0.132,0.215,0.045,0.07,0.02,I,0.0315
0.0,0.015,0.117,0.15,0.205,0.179,0.121,0.055,0.042,0.012,I,0.0255
0.0,0.0125,0.351,0.15,0.21,0.164,0.969,0.05,0.042,0.015,I,0.0175
0.0,0.045,0.103,0.295,0.39,0.723,0.113,0.095,0.203,0.075,I,0.0875
1.0,0.22699999999999998,0.35,0.37,0.47,0.539,0.387,0.12,0.5795,0.14,M,0.293
0.0,0.11,0.033,0.375,0.46,0.693,0.686,0.12,0.4605,0.15,F,0.1775
0.0,0.0255,0.597,0.245,0.325,0.414,0.847,0.07,0.161,0.045,I,0.0755
1.0,0.2135,0.976,0.425,0.525,0.548,0.299,0.16,0.8355,0.245,F,0.3545
1.0,0.111,0.875,0.41,0.52,0.058,0.224,0.12,0.595,0.19,I,0.2385
0.0,0.06,0.666,0.32,0.4,0.327,0.139,0.095,0.303,0.1,M,0.1335
1.0,0.096,0.787,0.36,0.485,0.486,0.371,0.13,0.5415,0.16,M,0.2595
1.0,0.1055,0.071,0.36,0.47,0.948,0.44,0.12,0.4775,0.15,F,0.2105
0.0,0.0915,0.845,0.31,0.405,0.132,0.102,0.1,0.385,0.11,M,0.17300000000000001
1.0,0.1755,0.038,0.4,0.5,0.547,0.732,0.14,0.6615,0.22,F,0.2565
1.0,0.0955,0.729,0.35,0.445,0.715,0.114,0.12,0.4425,0.135,M,0.192
1.0,0.12,0.58,0.385,0.47,0.615,0.876,0.135,0.5895,0.17,M,0.2765
0.0,0.013999999999999999,0.685,0.19,0.245,0.725,0.406,0.06,0.086,0.025,I,0.042
0.0,0.13,0.097,0.4,0.505,0.529,0.272,0.125,0.583,0.175,F,0.24600000000000002
0.0,0.1125,0.212,0.345,0.45,0.497,0.867,0.105,0.4115,0.135,M,0.18
1.0,0.16,0.348,0.405,0.505,0.348,0.442,0.11,0.625,0.175,M,0.305
1.0,0.1935,0.862,0.41,0.53,0.085,0.955,0.13,0.6965,0.2,F,0.302
0.0,0.08,0.289,0.325,0.425,0.839,0.022,0.095,0.3785,0.1,M,0.1705
1.0,0.1315,0.654,0.4,0.52,0.329,0.812,0.12,0.58,0.185,M,0.23399999999999999
1.0,0.1015,0.585,0.355,0.475,0.263,0.225,0.12,0.48,0.135,M,0.23399999999999999
1.0,0.1935,0.12,0.44,0.565,0.529,0.089,0.16,0.915,0.32,F,0.354
1.0,0.22399999999999998,0.098,0.495,0.595,0.99,0.619,0.185,1.285,0.485,F,0.41600000000000004
1.0,0.1155,0.125,0.39,0.475,0.259,0.017,0.12,0.5305,0.17,F,0.2135
0.0,0.0405,0.542,0.235,0.31,0.759,0.393,0.07,0.151,0.045,I,0.063
1.0,0.168,0.768,0.425,0.555,0.228,0.12,0.13,0.7665,0.275,M,0.264
1.0,0.0985,0.701,0.32,0.4,0.51,0.824,0.11,0.353,0.1,F,0.1405
1.0,0.225,0.18,0.475,0.595,0.298,0.017,0.17,1.247,0.425,F,0.48
1.0,0.261,0.177,0.48,0.57,0.165,0.677,0.175,1.185,0.38,M,0.474
1.0,0.2895,0.124,0.45,0.605,0.387,0.755,0.195,1.0979999999999999,0.315,F,0.48100000000000004
1.0,0.221,0.229,0.475,0.6,0.011,0.921,0.15,1.0075,0.28,F,0.4425
1.0,0.18899999999999997,0.665,0.475,0.595,0.458,0.568,0.14,0.9440000000000001,0.315,M,0.3625
1.0,0.19399999999999998,0.324,0.47,0.6,0.247,0.395,0.15,0.922,0.305,F,0.363
1.0,0.1595,0.552,0.425,0.555,0.899,0.781,0.14,0.7879999999999999,0.285,F,0.282
1.0,0.2355,0.757,0.475,0.615,0.009,0.184,0.17,1.1025,0.345,F,0.4695
1.0,0.252,0.374,0.445,0.575,0.712,0.46,0.14,0.941,0.285,F,0.3845
1.0,0.192,0.272,0.51,0.62,0.646,0.356,0.175,1.615,0.675,M,0.5105
1.0,0.225,0.583,0.425,0.52,0.148,0.642,0.165,0.9885,0.32,F,0.396
1.0,0.23399999999999999,0.158,0.475,0.595,0.375,0.533,0.16,1.3175,0.58,M,0.408
1.0,0.21600000000000003,0.138,0.45,0.58,0.564,0.869,0.14,1.013,0.36,M,0.38
1.0,0.2225,0.345,0.465,0.57,0.091,0.886,0.18,1.295,0.44,F,0.33899999999999997
1.0,0.205,0.235,0.465,0.625,0.313,0.204,0.14,1.195,0.4,M,0.4825
1.0,0.2075,0.613,0.44,0.56,0.814,0.846,0.16,0.8645,0.26,M,0.3305
1.0,0.114,0.22,0.355,0.46,0.391,0.919,0.13,0.517,0.165,F,0.2205
1.0,0.231,0.77,0.45,0.575,0.893,0.427,0.16,0.9775,0.33,F,0.3135
1.0,0.1675,0.38,0.425,0.565,0.612,0.993,0.135,0.8115,0.255,M,0.341
1.0,0.1525,0.617,0.44,0.555,0.308,0.883,0.15,0.755,0.26,M,0.307
1.0,0.254,0.593,0.465,0.595,0.869,0.57,0.175,1.115,0.39,M,0.4015
1.0,0.318,0.651,0.495,0.625,0.103,0.954,0.165,1.262,0.39,F,0.507
1.0,0.3425,0.879,0.56,0.695,0.475,0.558,0.19,1.494,0.485,M,0.588
1.0,0.38799999999999996,0.879,0.535,0.665,0.151,0.529,0.195,1.6059999999999999,0.48,M,0.5755
1.0,0.1385,0.229,0.435,0.535,0.08,0.836,0.15,0.725,0.25,M,0.26899999999999996
1.0,0.132,0.937,0.375,0.47,0.928,0.476,0.13,0.523,0.145,M,0.214
0.0,0.133,0.876,0.37,0.47,0.384,0.876,0.13,0.5225,0.165,M,0.201
1.0,0.085,0.816,0.375,0.475,0.332,0.412,0.125,0.5785,0.155,F,0.2775
0.0,0.046,0.336,0.265,0.36,0.01,0.296,0.095,0.2315,0.075,I,0.105
1.0,0.1915,0.93,0.435,0.55,0.075,0.05,0.145,0.843,0.255,M,0.32799999999999996
1.0,0.16399999999999998,0.076,0.435,0.53,0.99,0.741,0.16,0.883,0.335,M,0.316
1.0,0.1675,0.994,0.415,0.53,0.706,0.288,0.14,0.7240000000000001,0.205,M,0.3105
1.0,0.2405,0.199,0.47,0.605,0.025,0.317,0.16,1.1735,0.345,M,0.4975
1.0,0.1835,0.119,0.41,0.52,0.013,0.292,0.155,0.727,0.235,F,0.29100000000000004
1.0,0.183,0.058,0.43,0.545,0.015,0.799,0.165,0.802,0.28,F,0.2935
1.0,0.1315,0.806,0.4,0.5,0.652,0.537,0.125,0.6675,0.22,F,0.261
1.0,0.179,0.241,0.39,0.51,0.985,0.497,0.135,0.6335,0.2,F,0.231
1.0,0.098,0.349,0.395,0.435,0.404,0.807,0.105,0.3635,0.13,F,0.136
1.0,0.1345,0.374,0.395,0.495,0.301,0.135,0.125,0.5415,0.155,M,0.2375
1.0,0.107,0.434,0.36,0.465,0.794,0.279,0.105,0.431,0.175,M,0.172
1.0,0.0635,0.768,0.32,0.435,0.952,0.896,0.08,0.3325,0.105,I,0.1485
1.0,0.063,0.389,0.35,0.425,0.854,0.307,0.105,0.39299999999999996,0.165,M,0.13
1.0,0.146,0.241,0.41,0.545,0.631,0.367,0.125,0.6935,0.21,F,0.2975
1.0,0.1585,0.6,0.415,0.53,0.334,0.795,0.115,0.5915,0.18,F,0.233
1.0,0.102,0.311,0.375,0.49,0.001,0.518,0.135,0.6125,0.22,F,0.2555
1.0,0.0955,0.201,0.34,0.44,0.2,0.396,0.105,0.402,0.165,M,0.1305
1.0,0.172,0.614,0.43,0.56,0.675,0.104,0.15,0.8825,0.31,F,0.3465
1.0,0.0595,0.849,0.305,0.405,0.479,0.221,0.085,0.2605,0.085,M,0.1145
1.0,0.1035,0.509,0.365,0.47,0.939,0.896,0.105,0.4205,0.14,F,0.163
0.0,0.0575,0.967,0.295,0.385,0.273,0.222,0.085,0.2535,0.085,I,0.10300000000000001
1.0,0.1725,0.984,0.425,0.515,0.983,0.679,0.14,0.7659999999999999,0.255,F,0.304
0.0,0.051,0.823,0.265,0.37,0.969,0.489,0.075,0.214,0.07,M,0.09
0.0,0.0505,0.411,0.28,0.36,0.373,0.701,0.08,0.1755,0.07,I,0.081
0.0,0.0235,0.302,0.195,0.27,0.422,0.741,0.06,0.073,0.03,I,0.0285
0.0,0.0545,0.132,0.275,0.375,0.667,0.546,0.09,0.23800000000000002,0.07,I,0.1075
1.0,0.061,0.861,0.29,0.385,0.817,0.893,0.085,0.2505,0.08,I,0.11199999999999999
1.0,0.2635,0.17,0.535,0.7,0.532,0.273,0.16,1.7255,0.54,M,0.63
1.0,0.261,0.981,0.54,0.71,0.805,0.77,0.165,1.959,0.78,M,0.7665
1.0,0.28300000000000003,0.836,0.48,0.595,0.825,0.544,0.165,1.262,0.41,M,0.4835
1.0,0.063,0.405,0.35,0.44,0.961,0.802,0.125,0.4035,0.129,F,0.175
0.0,0.036000000000000004,0.955,0.26,0.325,0.213,0.47,0.09,0.1915,0.062,F,0.085
0.0,0.055999999999999994,0.809,0.26,0.35,0.893,0.665,0.095,0.21100000000000002,0.068,I,0.086
0.0,0.0205,0.597,0.2,0.265,0.903,0.996,0.065,0.0975,0.027999999999999997,I,0.04
1.0,0.081,0.53,0.33,0.425,0.181,0.767,0.115,0.406,0.1355,F,0.1635
0.0,0.0345,0.174,0.23,0.305,0.511,0.175,0.08,0.156,0.048,F,0.0675
1.0,0.0295,0.667,0.255,0.345,0.925,0.385,0.09,0.2005,0.063,M,0.094
1.0,0.063,0.09,0.325,0.405,0.922,0.162,0.11,0.3555,0.11699999999999999,F,0.151
1.0,0.0575,0.818,0.285,0.375,0.514,0.849,0.095,0.253,0.0925,M,0.096
1.0,0.2055,0.081,0.445,0.565,0.776,0.145,0.155,0.826,0.2475,F,0.341
1.0,0.1435,0.053,0.45,0.55,0.581,0.087,0.145,0.741,0.2665,F,0.295
1.0,0.306,0.574,0.52,0.65,0.015,0.149,0.19,1.3445,0.4465,M,0.519
1.0,0.19,0.831,0.455,0.56,0.088,0.36,0.155,0.797,0.2425,M,0.34
1.0,0.1165,0.813,0.375,0.475,0.415,0.834,0.13,0.5175,0.17,M,0.2075
1.0,0.1075,0.954,0.38,0.49,0.42,0.33,0.125,0.5489999999999999,0.174,F,0.245
1.0,0.10800000000000001,0.807,0.35,0.46,0.079,0.304,0.12,0.515,0.1565,M,0.22399999999999998
1.0,0.039,0.999,0.205,0.28,0.22,0.57,0.08,0.127,0.042,I,0.052000000000000005
0.0,0.0065,0.661,0.13,0.175,0.436,0.17,0.055,0.0315,0.0125,I,0.0105
0.0,0.008,0.134,0.13,0.17,0.031,0.774,0.095,0.03,0.01,I,0.013000000000000001
1.0,0.262,0.426,0.475,0.59,0.565,0.392,0.145,1.053,0.325,M,0.4415
1.0,0.2585,0.992,0.5,0.605,0.808,0.134,0.185,1.1185,0.335,F,0.469
1.0,0.305,0.61,0.515,0.635,0.305,0.786,0.19,1.3715,0.45,F,0.5065
1.0,0.2355,0.854,0.485,0.605,0.689,0.339,0.16,1.0565,0.355,F,0.37
1.0,0.1495,0.342,0.45,0.565,0.587,0.454,0.135,0.9885,0.31,F,0.387
1.0,0.131,0.566,0.405,0.515,0.995,0.971,0.13,0.722,0.21,M,0.32
1.0,0.2425,0.476,0.46,0.575,0.619,0.723,0.19,0.9940000000000001,0.34,F,0.392
1.0,0.2615,0.339,0.485,0.645,0.472,0.806,0.215,1.514,0.635,M,0.546
1.0,0.2135,0.668,0.455,0.58,0.335,0.359,0.17,0.9075,0.285,F,0.374
1.0,0.1785,0.909,0.46,0.575,0.6,0.841,0.165,1.124,0.44,F,0.2985
1.0,0.2475,0.992,0.465,0.605,0.831,0.546,0.165,1.056,0.34,M,0.4215
1.0,0.2575,0.345,0.485,0.605,0.247,0.941,0.16,1.222,0.28,F,0.53
1.0,0.297,0.005,0.485,0.61,0.329,0.774,0.175,1.2445,0.345,M,0.544
1.0,0.39799999999999996,0.487,0.56,0.725,0.721,0.242,0.21,2.141,1.005,F,0.65
1.0,0.2895,0.165,0.545,0.65,0.851,0.281,0.23,1.7519999999999998,0.815,F,0.5605
1.0,0.483,0.505,0.57,0.725,0.277,0.241,0.19,2.55,0.725,M,1.0705
1.0,0.4515,0.888,0.575,0.725,0.357,0.016,0.175,2.124,0.85,F,0.765
1.0,0.408,0.181,0.57,0.68,0.008,0.044,0.205,1.8419999999999999,0.65,F,0.625
1.0,0.3085,0.065,0.56,0.705,0.066,0.438,0.22,1.9809999999999999,0.76,M,0.8175
1.0,0.409,0.597,0.515,0.68,0.722,0.233,0.175,1.6185,0.62,F,0.5125
1.0,0.541,0.319,0.55,0.695,0.873,0.772,0.215,1.9565,0.59,M,0.7125
0.0,0.16899999999999998,0.464,0.395,0.53,0.462,0.663,0.145,0.775,0.255,F,0.308
1.0,0.233,0.766,0.435,0.525,0.62,0.145,0.155,1.065,0.285,M,0.486
1.0,0.1845,0.71,0.405,0.52,0.774,0.336,0.115,0.7759999999999999,0.22,F,0.32
0.0,0.018000000000000002,0.747,0.16,0.235,0.32,0.665,0.04,0.048,0.015,I,0.0185
0.0,0.037000000000000005,0.191,0.26,0.36,0.505,0.245,0.09,0.1785,0.075,I,0.0645
0.0,0.0375,0.277,0.21,0.315,0.939,0.322,0.06,0.125,0.035,I,0.06
1.0,0.0475,0.183,0.245,0.315,0.534,0.055,0.085,0.1435,0.05,I,0.053
0.0,0.015,0.242,0.16,0.225,0.921,0.446,0.045,0.0465,0.015,I,0.025
1.0,0.2165,0.888,0.475,0.58,0.677,0.834,0.15,0.97,0.35,M,0.385
1.0,0.2,0.366,0.48,0.57,0.32,0.342,0.18,0.9395,0.295,M,0.39899999999999997
1.0,0.266,0.097,0.51,0.64,0.524,0.458,0.175,1.368,0.57,M,0.515
1.0,0.268,0.187,0.45,0.56,0.899,0.323,0.16,1.0235,0.3,F,0.429
1.0,0.214,0.605,0.475,0.62,0.647,0.741,0.175,1.0165,0.325,F,0.4355
1.0,0.36700000000000005,0.466,0.51,0.645,0.625,0.639,0.2,1.5675,0.46,F,0.621
1.0,0.2965,0.918,0.49,0.62,0.123,0.091,0.19,1.218,0.355,M,0.5455
1.0,0.336,0.373,0.48,0.63,0.18,0.94,0.15,1.0525,0.285,F,0.392
1.0,0.3315,0.248,0.5,0.63,0.627,0.974,0.185,1.383,0.38,F,0.54
1.0,0.335,0.943,0.48,0.63,0.525,0.952,0.16,1.199,0.315,F,0.5265
1.0,0.271,0.172,0.46,0.585,0.443,0.895,0.17,0.9325,0.29,F,0.365
1.0,0.2165,0.985,0.48,0.615,0.518,0.398,0.18,1.1595,0.325,M,0.4845
1.0,0.2405,0.155,0.485,0.61,0.189,0.759,0.17,1.0225,0.36,M,0.419
1.0,0.1815,0.747,0.45,0.58,0.536,0.925,0.15,0.927,0.36,M,0.276
1.0,0.06,0.702,0.275,0.355,0.242,0.968,0.085,0.22,0.15,I,0.092
1.0,0.1965,0.811,0.4,0.51,0.275,0.068,0.14,0.8145,0.195,F,0.45899999999999996
1.0,0.1535,0.62,0.405,0.5,0.844,0.919,0.155,0.772,0.245,M,0.34600000000000003
1.0,0.145,0.539,0.41,0.505,0.909,0.331,0.15,0.644,0.21,F,0.285
1.0,0.2635,0.609,0.5,0.64,0.401,0.19,0.185,1.3035,0.465,M,0.4445
1.0,0.17800000000000002,0.18,0.45,0.56,0.46,0.622,0.16,0.922,0.26,M,0.43200000000000005
1.0,0.213,0.8,0.46,0.585,0.161,0.876,0.185,0.922,0.285,M,0.3635
1.0,0.095,0.547,0.345,0.45,0.546,0.782,0.12,0.4165,0.135,F,0.1655
1.0,0.205,0.292,0.4,0.5,0.5,0.022,0.165,0.825,0.285,M,0.254
1.0,0.1465,0.007,0.4,0.5,0.725,0.178,0.145,0.63,0.23,F,0.23399999999999999
1.0,0.155,0.685,0.435,0.53,0.725,0.002,0.17,0.8155,0.275,F,0.2985
1.0,0.071,0.899,0.335,0.42,0.453,0.727,0.115,0.369,0.12,M,0.171
1.0,0.1085,0.963,0.34,0.44,0.068,0.241,0.14,0.48200000000000004,0.16,F,0.18600000000000003
1.0,0.067,0.012,0.3,0.4,0.187,0.093,0.11,0.315,0.12,I,0.109
1.0,0.085,0.294,0.34,0.435,0.025,0.728,0.11,0.3795,0.12,I,0.1495
1.0,0.1685,0.784,0.415,0.525,0.597,0.98,0.17,0.8325,0.31,F,0.2755
0.0,0.052000000000000005,0.814,0.28,0.37,0.489,0.029,0.095,0.2655,0.08,I,0.122
1.0,0.1625,0.627,0.365,0.49,0.742,0.262,0.145,0.6345,0.22,F,0.1995
0.0,0.0415,0.17,0.25,0.335,0.206,0.538,0.09,0.18100000000000002,0.06,M,0.0755
1.0,0.0785,0.967,0.325,0.415,0.087,0.539,0.105,0.38,0.12,F,0.1595
1.0,0.1355,0.747,0.405,0.5,0.397,0.434,0.14,0.6155,0.205,M,0.24100000000000002
1.0,0.128,0.005,0.395,0.485,0.577,0.329,0.16,0.66,0.235,F,0.2475
1.0,0.1635,0.667,0.405,0.55,0.547,0.333,0.14,0.8025,0.255,M,0.244
1.0,0.111,0.94,0.35,0.45,0.573,0.052,0.13,0.46,0.135,M,0.174
0.0,0.07,0.221,0.3,0.405,0.187,0.572,0.12,0.324,0.11,I,0.1265
1.0,0.115,0.405,0.36,0.47,0.718,0.62,0.135,0.501,0.165,M,0.1665
1.0,0.0755,0.17,0.305,0.415,0.68,0.412,0.13,0.32,0.105,F,0.1305
1.0,0.1125,0.1,0.325,0.445,0.627,0.498,0.125,0.455,0.14,F,0.1785
1.0,0.1235,0.459,0.35,0.47,0.419,0.0,0.145,0.5175,0.18,F,0.187
1.0,0.14400000000000002,0.555,0.375,0.49,0.88,0.014,0.15,0.5755,0.19,F,0.22
1.0,0.125,0.7,0.355,0.445,0.353,0.455,0.15,0.485,0.155,F,0.18100000000000002
1.0,0.0785,0.606,0.38,0.425,0.815,0.237,0.105,0.3265,0.1,I,0.1285
1.0,0.1055,0.227,0.37,0.5,0.891,0.66,0.135,0.45,0.155,F,0.1715
0.0,0.08199999999999999,0.604,0.29,0.39,0.964,0.32,0.125,0.3055,0.09,F,0.121
0.0,0.0485,0.614,0.27,0.365,0.628,0.163,0.085,0.205,0.07,I,0.078
1.0,0.2095,0.515,0.465,0.58,0.846,0.38,0.165,1.1015,0.35,F,0.40399999999999997
1.0,0.158,0.601,0.415,0.53,0.054,0.113,0.16,0.7829999999999999,0.245,F,0.2935
1.0,0.1625,0.741,0.445,0.555,0.104,0.214,0.135,0.836,0.275,M,0.336
1.0,0.193,0.49,0.44,0.565,0.655,0.821,0.175,0.9025,0.325,M,0.31
1.0,0.287,0.708,0.505,0.625,0.915,0.497,0.215,1.4455,0.435,M,0.496
0.0,0.028999999999999998,0.378,0.215,0.275,0.908,0.56,0.075,0.1155,0.035,I,0.0485
1.0,0.083,0.145,0.35,0.44,0.524,0.625,0.135,0.435,0.125,I,0.1815
1.0,0.032,0.107,0.225,0.295,0.321,0.99,0.08,0.124,0.04,I,0.0485
0.0,0.0005,0.511,0.055,0.075,0.119,0.605,0.01,0.002,0.0015,I,0.001
0.0,0.003,0.884,0.1,0.13,0.91,0.461,0.03,0.013000000000000001,0.004,I,0.0045
0.0,0.002,0.954,0.09,0.11,0.619,0.906,0.03,0.008,0.003,I,0.0025
0.0,0.0045,0.446,0.12,0.16,0.252,0.411,0.035,0.021,0.005,I,0.0075
1.0,0.2185,0.513,0.425,0.565,0.436,0.237,0.16,0.9425,0.275,M,0.3495
0.0,0.0245,0.675,0.2,0.27,0.752,0.237,0.07,0.1,0.035,I,0.034
0.0,0.0105,0.417,0.175,0.23,0.735,0.476,0.065,0.0645,0.02,I,0.026000000000000002
1.0,0.0265,0.173,0.23,0.3,0.456,0.276,0.08,0.1275,0.04,I,0.0435
1.0,0.039,0.372,0.255,0.33,0.07,0.697,0.085,0.1655,0.06,I,0.063
1.0,0.0345,0.676,0.26,0.35,0.963,0.957,0.085,0.174,0.06,I,0.0705
1.0,0.0325,0.113,0.245,0.32,0.116,0.038,0.08,0.1585,0.05,I,0.0635
1.0,0.0415,0.248,0.275,0.36,0.68,0.615,0.085,0.1975,0.07,I,0.0745
0.0,0.038,0.845,0.245,0.305,0.485,0.506,0.075,0.156,0.045,I,0.0675
0.0,0.0545,0.896,0.27,0.345,0.37,0.978,0.11,0.2135,0.07,I,0.08199999999999999
0.0,0.035,0.296,0.25,0.33,0.847,0.006,0.105,0.1715,0.06,I,0.0655
1.0,0.2805,0.382,0.47,0.59,0.733,0.524,0.18,1.1235,0.36,M,0.4205
1.0,0.2165,0.581,0.455,0.595,0.357,0.997,0.155,1.0605,0.3,F,0.5135
1.0,0.217,0.285,0.46,0.575,0.047,0.45,0.185,1.094,0.345,F,0.4485
1.0,0.2775,0.371,0.495,0.6,0.824,0.244,0.165,1.2415,0.34,M,0.485
1.0,0.2065,0.261,0.45,0.56,0.709,0.231,0.175,1.011,0.37,M,0.3835
1.0,0.175,0.215,0.45,0.56,0.071,0.188,0.185,1.07,0.41,M,0.3805
1.0,0.1655,0.021,0.46,0.545,0.063,0.149,0.16,0.8975,0.345,M,0.341
1.0,0.297,0.024,0.505,0.635,0.321,0.766,0.17,1.415,0.365,F,0.605
1.0,0.2555,0.239,0.475,0.59,0.716,0.315,0.16,1.1015,0.295,F,0.4775
1.0,0.19399999999999998,0.97,0.475,0.54,0.552,0.2,0.155,0.9279999999999999,0.26,F,0.39399999999999996
1.0,0.1725,0.622,0.44,0.57,0.44,0.148,0.125,0.865,0.27,F,0.3675
1.0,0.239,0.779,0.42,0.53,0.137,0.927,0.165,0.8945,0.245,M,0.319
0.0,0.0245,0.53,0.195,0.245,0.147,0.817,0.06,0.095,0.026000000000000002,I,0.0445
0.0,0.027999999999999997,0.435,0.2,0.27,0.517,0.252,0.08,0.1205,0.04,M,0.0465
1.0,0.1525,0.591,0.38,0.46,0.875,0.544,0.13,0.639,0.16,F,0.3
1.0,0.18600000000000003,0.327,0.45,0.52,0.498,0.273,0.15,0.895,0.235,M,0.3615
1.0,0.0635,0.931,0.275,0.35,0.48,0.16,0.11,0.2925,0.0905,M,0.1225
1.0,0.0885,0.15,0.39,0.47,0.244,0.519,0.15,0.6355,0.255,M,0.2185
1.0,0.1,0.461,0.36,0.45,0.106,0.8,0.125,0.4995,0.17,F,0.2035
1.0,0.2855,0.327,0.525,0.64,0.731,0.331,0.215,1.7790000000000001,0.55,F,0.4535
1.0,0.2705,0.084,0.5,0.59,0.312,0.383,0.2,1.187,0.37,M,0.41200000000000003
1.0,0.2505,0.307,0.485,0.62,0.495,0.556,0.205,1.219,0.385,M,0.3875
1.0,0.3335,0.35,0.505,0.63,0.997,0.149,0.225,1.525,0.45,M,0.56
1.0,0.19699999999999998,0.702,0.515,0.63,0.601,0.998,0.155,1.2590000000000001,0.41,M,0.4105
1.0,0.327,0.932,0.54,0.655,0.972,0.941,0.215,1.844,0.585,M,0.7425
1.0,0.245,0.233,0.53,0.66,0.021,0.732,0.185,1.3485,0.49,F,0.493
1.0,0.3345,0.524,0.5,0.61,0.041,0.896,0.24,1.642,0.69,M,0.532
1.0,0.3115,0.957,0.525,0.635,0.881,0.922,0.205,1.484,0.43,M,0.55
1.0,0.1605,0.846,0.425,0.515,0.169,0.351,0.135,0.7120000000000001,0.25,F,0.2665
1.0,0.1585,0.428,0.415,0.535,0.505,0.174,0.185,0.8415,0.3,F,0.314
0.0,0.057,0.35,0.285,0.36,0.612,0.613,0.105,0.2415,0.075,I,0.0915
