,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Peru,0.00595,0.00605,0.00648,0.00563,0.00515,0.00683,0.0065,0.00717,0.0085,0.00747,0.00572,0.01057,0.01006,0.01438,0.01326,0.01358,0.01432,0.01637,0.01793,0.01643,0.02551,0.02319,0.03159,0.03118,0.03189,0.0414,0.03179,0.04188,0.03762,0.04483
Puerto Rico,0,0,0,0.00452,0.00265,0.00265,0.00614,0.00775,0.00947,0.00788,0.00564,0.00508,0.00407,0.00517,0.00523,0.00533,0.00457,0.00443,0.00448,0.0041,0.0041,0.00397,0.01127,0.03536,0.03331,0.03408,0.03844,0.03844,0.03844,0.03844
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0.00012,0.0001,0.00008,0.00005,0.00005,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00001,0.00001,0.00006,0.00012,0.00008,0.00003,0.00003,0.00003,0.00005,0.00002,0.00004,0.00006,0.00005,0.00006,0.00007,0.00008,0.0001,0.00006,0.00006
Venezuela,0.00818,0.007,0.00438,0.00567,0.00578,0.00793,0.00841,0.00646,0.0087,0.00911,0.00601,0.00002,0.00012,0.00103,0.00201,0.00019,0.00556,0.00143,0.04037,0.00153,0.00549,0.00205,0.00075,0.00175,0.00152,0.00153,0.00905,0.00936,0.00832,0.00957
"Virgin Islands,  U.S.",0,0,0,0,0,0,0,0,0,0,0.00211,0.00355,0.00592,0.00743,0.00792,0.00694,0.00672,0.00646,0.00651,0.00653,0.00659,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,19.61333,19.58074,19.59287,19.77351,19.94881,20.9464,21.01092,21.16527,20.47374,20.69373,19.44379,18.11365,16.37048,15.91135,15.15753,14.60855,14.97181,14.85115,14.30903,13.67749,14.081,13.92335,13.78956,14.26189,14.31252,14.01553,14.47664,14.85623,13.91644,12.64441
Albania,0.01721,0.01999,0.02163,0.02323,0.02553,0.02897,0.02798,0.02845,0.03045,0.0275,0.02532,0.01489,0.00414,0.00237,0.00161,0.00075,0.00105,0.00038,0.00048,0.00117,0.00072,0.00083,0.00088,0.00088,0.00088,0.00075,0.00075,0.00075,0.00096,0.0004
Austria,0.13129,0.13664,0.12359,0.13043,0.15131,0.1507,0.13206,0.13548,0.1281,0.13008,0.14648,0.15399,0.11339,0.11452,0.11531,0.13473,0.13364,0.15148,0.13226,0.13054,0.14736,0.15222,0.15493,0.16605,0.16128,0.16293,0.16441,0.15687,0.14967,0.11663
Belgium,0.43307,0.53204,0.52874,0.42179,0.48611,0.4789,0.42159,0.39811,0.3508,0.41638,0.42932,0.41214,0.32572,0.33744,0.35726,0.37367,0.35228,0.36426,0.35803,0.31323,0.35091,0.32252,0.25437,0.23818,0.23246,0.20841,0.19668,0.1751,0.18121,0.12384
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.13158,0.11404,0.01228,0.01382,0.02363,0.07653,0.09706,0.09514,0.12469,0.12098,0.13464,0.13399,0.13824,0.14929,0.16591,0.17295,0.19023,0.18712
Bulgaria,0.37186,0.37625,0.39767,0.39725,0.40802,0.41599,0.41818,0.42998,0.39104,0.39696,0.35837,0.28551,0.28949,0.25876,0.23283,0.23422,0.25855,0.31313,0.3002,0.26133,0.26337,0.29433,0.26714,0.29943,0.29145,0.28308,0.28846,0.32439,0.31331,0.26173
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.01888,0.02036,0.01284,0.00377,0.00935,0.01298,0.0106,0.00696,0.02056,0.01993,0.02432,0.02838,0.02885,0.02775,0.026,0.02917,0.02902,0.02101
Cyprus,0,0,0,0,0.00099,0.00141,0.00105,0.00287,0.00173,0.00143,0.00205,0.00214,0.00049,0.001,0.00087,0.00056,0.0003,0.00049,0.00067,0.00077,0.00126,0.00167,0.00136,0.00136,0.00147,0.00134,0.00139,0.00126,0.00103,0.00055
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,0.86127,0.79964,0.76901,0.79841,0.61575,0.56857,0.47579,0.57825,0.56522,0.54205,0.53307,0.47846,0.51264,0.54757,0.62824,0.58337,0.52096
Denmark,0.24766,0.21292,0.24534,0.22112,0.23653,0.31112,0.29893,0.30898,0.28813,0.22942,0.25518,0.34441,0.26986,0.29534,0.3121,0.25746,0.3508,0.27407,0.23616,0.192,0.16613,0.17521,0.17444,0.24026,0.18207,0.15625,0.22731,0.19603,0.16967,0.16803
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0.17864,0.15474,0.1033,0.10713,0.1225,0.15803,0.13923,0.16632,0.15997,0.15858,0.15617,0.15368,0.1339,0.1736,0.20464,0.17094,0.20059,0.19664,0.14484,0.14512,0.14733,0.16896,0.18116,0.24044,0.21991,0.13191,0.20921,0.19555,0.14111,0.14684
Former Czechoslovakia,1.52402,1.51565,1.53483,1.56581,1.62626,1.59697,1.60211,1.58159,1.55203,1.47592,1.4089,1.24053,1.1565,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,0.34981,0.33815,0.3119,0.25228,0.38908,0.38227,0.40917,0.30008,0.34157,0.33122,0.34839,0.37148,0.38756,0.33508,--,--,--,--
Former Yugoslavia,0.58895,0.70496,0.73953,0.82533,0.92056,0.97311,0.98817,0.95763,0.97865,0.97215,0.94175,0.88254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,1.28681,1.15886,1.1757,1.06886,1.01083,0.97676,0.79393,0.70172,0.54397,0.73794,0.76642,0.81069,0.67586,0.57626,0.54515,0.57364,0.61976,0.56049,0.66621,0.59724,0.57822,0.48325,0.52313,0.55806,0.52805,0.54832,0.50758,0.52634,0.49568,0.44461
Germany,--,--,--,--,--,--,--,--,--,--,--,4.35031,3.9586,3.80692,3.66443,3.59552,3.46262,3.49299,3.39789,3.22302,3.44827,3.51955,3.42249,3.44012,3.4918,3.33445,3.3608,3.54824,3.3332,2.95533
"Germany, East",2.44026,2.46353,2.48323,2.48535,2.62968,2.76051,2.81802,2.83462,2.80443,2.71672,2.56069,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",2.98956,3.03278,2.99039,3.02765,3.10913,2.90221,2.96886,2.85561,2.83135,2.80288,2.83306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.15001,0.16968,0.17695,0.22205,0.23274,0.26227,0.27315,0.29705,0.33413,0.34423,0.3478,0.34812,0.30471,0.33862,0.33819,0.33273,0.31548,0.35632,0.37189,0.35681,0.37658,0.38782,0.37456,0.37859,0.37452,0.36496,0.33478,0.35029,0.33648,0.33439
Hungary,0.31629,0.31548,0.32042,0.30615,0.30741,0.30279,0.30466,0.29703,0.27944,0.26596,0.23252,0.24265,0.22193,0.17883,0.17272,0.16114,0.17045,0.16333,0.15882,0.16314,0.15107,0.15129,0.14972,0.15604,0.14595,0.13679,0.13925,0.13798,0.13699,0.11772
Iceland,0.00077,0.00127,0.00133,0.00191,0.00266,0.00286,0.00317,0.00256,0.00262,0.00273,0.00264,0.00269,0.00186,0.00179,0.00267,0.00218,0.00254,0.00234,0.00275,0.00239,0.00407,0.00385,0.00401,0.00378,0.00428,0.00414,0.0037,0.00475,0.0036,0.00332
Ireland,0.02852,0.03477,0.03529,0.04171,0.04017,0.04293,0.06184,0.08752,0.08792,0.08815,0.08691,0.08591,0.08848,0.08326,0.07793,0.07744,0.07955,0.07796,0.0809,0.06808,0.08044,0.07968,0.07393,0.07438,0.08076,0.08283,0.0742,0.06823,0.06436,0.05308
Italy,0.45444,0.49823,0.53174,0.46981,0.58043,0.63081,0.5664,0.59503,0.56083,0.5574,0.59392,0.559,0.45075,0.42286,0.41502,0.46211,0.41824,0.44219,0.45998,0.46102,0.49509,0.52948,0.54729,0.59714,0.66919,0.66151,0.66802,0.67197,0.65229,0.50464
Luxembourg,0.06929,0.05601,0.05151,0.04803,0.05552,0.05418,0.04958,0.03951,0.04215,0.043,0.04339,0.04069,0.03763,0.0436,0.03573,0.02019,0.01896,0.0136,0.00443,0.00446,0.00504,0.0056,0.00335,0.00256,0.00373,0.00359,0.00431,0.00353,0.00335,0.00303
Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0.06006,0.06338,0.06585,0.06805,0.06718,0.0688,0.08082,0.07193,0.05609,0.05971,0.05378,0.0585,0.05602,0.05678,0.05391,0.05609,0.0607,0.05559
Malta,0.00003,0.00003,0.00063,0.00138,0.00249,0.00561,0.00386,0.00482,0.00648,0.00802,0.00794,0.00643,0.00431,0.00711,0.00498,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01133,0.01265,0.0131,0.0131
Netherlands,0.15234,0.17603,0.13947,0.20279,0.2533,0.25344,0.25475,0.26581,0.31978,0.32524,0.34774,0.31633,0.29526,0.32725,0.34134,0.35546,0.35738,0.37417,0.34467,0.29412,0.31803,0.3312,0.33381,0.34214,0.34569,0.32875,0.3163,0.34414,0.32604,0.30612
Norway,0.03865,0.03581,0.0357,0.03611,0.04384,0.04458,0.03948,0.03764,0.03882,0.03863,0.0341,0.03105,0.02657,0.03373,0.03917,0.04062,0.03987,0.04288,0.04463,0.04425,0.0448,0.03934,0.03388,0.03286,0.03863,0.03233,0.02973,0.03354,0.0358,0.02338
Poland,3.85271,3.4645,3.55109,3.54606,3.71546,3.84792,3.87276,3.99812,3.88196,3.69725,2.95474,2.94834,2.90716,2.99207,2.81099,2.65204,2.95463,2.83667,2.57823,2.69656,2.34204,2.17738,2.17162,2.23277,2.26275,2.19173,2.30096,2.23841,2.20627,2.30705
Portugal,0.01701,0.01462,0.0122,0.01684,0.01645,0.03498,0.0582,0.07784,0.08872,0.10694,0.12232,0.12165,0.11223,0.12255,0.1294,0.14258,0.13515,0.1468,0.12781,0.15618,0.15683,0.13267,0.1448,0.13671,0.1405,0.13945,0.13924,0.12075,0.10584,0.11907
Romania,0.48174,0.53725,0.52553,0.61367,0.60818,0.63631,0.6341,0.66846,0.72488,0.72934,0.4929,0.39902,0.43782,0.39437,0.40619,0.4217,0.43363,0.38122,0.30884,0.27818,0.30565,0.33232,0.34042,0.3587,0.36661,0.36189,0.39364,0.41114,0.38619,0.30543
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.36741,0.36234,0.37447,0.36923
Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,0.23752,0.20825,0.21014,0.21178,0.19585,0.18467,0.18056,0.16735,0.17399,0.16652,0.18062,0.17661,0.16795,0.17708,0.16269,0.16081,0.15213
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,0.06842,0.06233,0.06054,0.07124,0.06804,0.07048,0.07052,0.07089,0.06991,0.07218,0.07991,0.07749,0.07688,0.07491,0.07441,0.07384,0.07391,0.06793
Spain,0.52915,0.70643,0.77151,0.80637,0.80526,0.84095,0.82313,0.80562,0.68,0.85554,0.82835,0.87555,0.82894,0.7867,0.76432,0.70524,0.56347,0.66715,0.62871,0.79913,0.88164,0.81066,0.91402,0.84243,0.90241,0.88892,0.77583,0.86202,0.58911,0.44346
Sweden,0.06552,0.05572,0.06229,0.07905,0.09568,0.11328,0.11573,0.11298,0.11314,0.10245,0.10168,0.0943,0.07566,0.09559,0.10025,0.09776,0.10314,0.09339,0.08852,0.08689,0.08776,0.09832,0.09944,0.09252,0.10211,0.09181,0.09505,0.09497,0.08203,0.06223
Switzerland,0.01251,0.01898,0.01705,0.01484,0.02048,0.02039,0.01775,0.01647,0.01416,0.01467,0.01488,0.0124,0.00667,0.00734,0.00681,0.00739,0.00548,0.00444,0.00368,0.00387,0.00563,0.00612,0.00562,0.00579,0.00554,0.00585,0.00516,0.0057,0.0052,0.00495
Turkey,0.25161,0.24679,0.28373,0.31624,0.35536,0.44598,0.54401,0.51362,0.45657,0.5703,0.62451,0.71405,0.67011,0.63182,0.60746,0.62381,0.71995,0.85905,0.89127,0.81599,0.95135,0.79463,0.8083,0.86291,0.88923,1.0158,1.12068,1.30163,1.24248,1.23968
United Kingdom,2.98343,2.94081,2.73246,2.77655,2.08594,2.65245,2.77828,2.94384,2.78147,2.87794,2.72373,2.66463,2.34365,2.1806,1.99885,1.7755,1.70684,1.61305,1.55574,1.38065,1.41302,1.58121,1.45526,1.57426,1.52863,1.55335,1.6956,1.58465,1.46895,1.21182
Eurasia,11.45935,11.49459,11.89173,11.84896,11.98332,12.06954,12.42751,12.46216,12.65876,11.99361,13.23568,10.16901,9.83976,8.81086,7.47164,7.31092,7.19319,6.19831,5.99503,6.98607,7.04859,6.66122,6.93671,7.20805,7.09753,7.11877,7.46241,7.40388,7.83476,6.62539
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.00404,0.00008,0.001,0.00278,0.00278,0.00185,0.00222,0.00259,0.0024,0.00259,0.00222,0.00203,0.00185,0.00148,0.00129,0.00185,0.00111,0.00111
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.00077,0.00017,0.00016,0.00026,0.00026,0.00017,0.00003,0,0,0,0,0,0,0,0,0,0,0
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.04364,0.03863,0.03071,0.02745,0.02731,0.02059,0.02131,0.01524,0.01496,0.01323,0.01054,0.00955,0.0082,0.00622,0.0054,0.00413,0.00386,0.00366
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.19687,0.1194,0.11696,0.09865,0.14622,0.12456,0.11679,0.10719,0.11173,0.11233,0.10917,0.12919,0.12957,0.12364,0.11763,0.14204,0.13301,0.11633
Former U.S.S.R.,11.45935,11.49459,11.89173,11.84896,11.98332,12.06954,12.42751,12.46216,12.65876,11.99361,13.23568,10.16901,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0.01491,0.00596,0.00764,0.00083,0.00045,0.0003,0.00059,0.00052,0.0005,0.00055,0.00054,0.00115,0.00026,0.00033,0.0003,0.00089,0.0022,0.00586
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,1.71144,1.55681,0.99789,0.83537,0.82539,0.63022,0.63916,0.85307,0.82153,0.88221,0.90577,0.98375,1.14955,1.1871,1.27247,1.34948,1.4463,1.31472
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,0.04932,0.03426,0.03903,0.02294,0.01792,0.02055,0.02063,0.02115,0.02029,0.01328,0.02162,0.02568,0.02473,0.02302,0.02146,0.01696,0.0166,0.01622
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,0.01592,0.01687,0.01195,0.0072,0.0065,0.0052,0.00392,0.00355,0.00278,0.00355,0.00288,0.00276,0.00263,0.00327,0.00351,0.00428,0.00431,0.00234
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.02149,0.02145,0.01625,0.01033,0.00604,0.00681,0.0059,0.00479,0.00364,0.00328,0.00565,0.00718,0.007,0.00767,0.01064,0.0102,0.00859,0.00633
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0.07509,0.05064,0.05076,0.03019,0.02593,0.01461,0.01235,0.00518,0.00411,0.00335,0.00357,0.00522,0.00418,0.00376,0.00424,0.00242,0.00366,0.00335
Russia,--,--,--,--,--,--,--,--,--,--,--,--,5.2027,4.81221,4.45534,4.25118,4.53978,3.91511,3.68887,4.51652,4.5882,4.19332,4.42757,4.45891,4.32674,4.29174,4.43211,4.24634,4.57448,3.7135
Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,0.01285,0.00252,0.0015,0.0006,0.00035,0.00091,0.00066,0.00049,0.00059,0.00063,0.00085,0.00108,0.00191,0.002,0.00211,0.00352,0.00385,0.00393
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,0.01433,0.01292,0.01292,0.00646,0.00194,0.00102,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,2.39022,2.0759,1.66523,1.96694,1.54563,1.41541,1.43976,1.41326,1.42678,1.38057,1.39407,1.54134,1.39344,1.42282,1.5421,1.56965,1.58472,1.38199
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,0.08615,0.06304,0.06429,0.04973,0.04668,0.04101,0.04285,0.04253,0.05106,0.05232,0.05225,0.04022,0.04748,0.04571,0.04913,0.05212,0.05207,0.05606
Middle East,0.02787,0.03203,0.05921,0.07762,0.11097,0.11922,0.12848,0.13034,0.13064,0.13662,0.1394,0.15054,0.15524,0.22944,0.24848,0.2332,0.26917,0.27952,0.29729,0.29666,0.3395,0.35521,0.38362,0.39119,0.38981,0.38945,0.40465,0.4198,0.40612,0.37493
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0.02743,0.02165,0.03388,0.03107,0.03706,0.03855,0.04001,0.04054,0.04112,0.04121,0.0371,0.03866,0.04244,0.04347,0.0514,0.04556,0.0488,0.0485,0.04953,0.05425,0.05749,0.04986,0.05264,0.05514,0.05219,0.06368,0.06008,0.06735,0.06306,0.04789
Iraq,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00005,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0.00014,0.00995,0.02495,0.0463,0.07375,0.08059,0.08842,0.08974,0.08947,0.09537,0.10224,0.11158,0.11275,0.18275,0.19384,0.18247,0.21471,0.22544,0.24258,0.23677,0.27631,0.29968,0.32529,0.33044,0.33204,0.32016,0.33895,0.34684,0.33745,0.32143
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
