Date,Store,Sales,Customers,Open
2015-01-13,45,5472,395,1
2015-01-06,28,0,0,0
2015-05-20,80,8343,581,1
2015-01-15,68,5192,771,1
2015-03-06,53,5354,604,1
2015-04-03,63,0,0,0
2015-04-21,54,5213,508,1
2015-07-07,85,5215,827,1
2015-07-23,63,6228,587,1
2015-01-30,34,9436,1082,1
2015-05-03,63,0,0,0
2015-03-09,10,5821,629,1
2015-04-10,50,3590,329,1
2015-01-06,43,8959,704,1
2015-05-18,77,10724,837,1
2015-06-25,18,6160,684,1
2015-02-22,34,0,0,0
2015-06-29,96,9347,775,1
2015-04-19,63,0,0,0
2015-02-17,80,8875,602,1
2015-06-30,73,6746,590,1
2015-04-01,48,5176,519,1
2015-03-14,50,4302,389,1
2015-01-06,34,9608,1116,1
2015-06-27,72,2338,249,1
2015-04-20,34,7557,1016,1
2015-03-18,65,5088,444,1
2015-07-13,32,6391,659,1
2015-01-12,51,7730,509,1
2015-04-03,41,0,0,0
2015-01-17,32,2379,281,1
2015-01-27,46,5744,666,1
2015-06-06,60,5037,391,1
2015-05-18,84,16632,1634,1
2015-01-02,12,5866,723,1
2015-03-21,19,4454,401,1
2015-05-30,10,5419,578,1
2015-07-05,32,0,0,0
2015-05-08,27,12038,1273,1
2015-06-21,51,0,0,0
2015-06-29,33,12165,944,1
2015-01-05,44,7868,804,1
2015-02-16,35,14788,940,1
2015-06-17,3,8524,821,1
2015-04-19,10,0,0,0
2015-06-02,97,9131,827,1
2015-07-13,43,8838,645,1
2015-05-17,65,0,0,0
2015-05-16,77,7972,684,1
2015-01-22,38,3564,361,1
2015-04-30,77,11468,900,1
2015-02-25,88,4627,597,1
2015-05-30,13,5518,395,1
2015-02-25,76,6490,758,1
2015-03-25,79,4385,485,1
2015-04-15,42,11371,1224,1
2015-06-19,33,8165,769,1
2015-01-23,61,4555,517,1
2015-02-25,90,7229,925,1
2015-01-25,15,0,0,0
2015-06-19,35,12160,845,1
2015-05-10,58,0,0,0
2015-01-09,63,7650,650,1
2015-06-24,67,6082,727,1
2015-04-13,99,7594,619,1
2015-05-17,93,0,0,0
2015-06-05,72,7208,668,1
2015-06-09,62,6783,729,1
2015-03-27,94,5871,549,1
2015-04-07,50,3449,331,1
2015-03-23,43,5348,572,1
2015-02-03,25,12976,1788,1
2015-07-22,98,4278,409,1
2015-05-02,73,3143,322,1
2015-07-17,17,6243,739,1
2015-01-09,56,8868,583,1
2015-07-21,64,7659,589,1
2015-07-20,54,6927,638,1
2015-03-09,53,5886,554,1
2015-04-26,47,0,0,0
2015-04-22,46,3747,512,1
2015-02-28,49,7697,563,1
2015-07-21,3,5600,661,1
2015-03-20,78,4474,560,1
2015-03-05,8,8282,939,1
2015-04-18,45,5540,475,1
2015-01-29,40,4871,584,1
2015-06-07,28,0,0,0
2015-06-22,85,5944,850,1
2015-01-17,72,2140,258,1
2015-01-11,93,0,0,0
2015-02-14,76,9263,946,1
2015-06-20,26,6367,523,1
2015-03-23,29,6487,608,1
2015-06-27,63,7381,698,1
2015-04-22,14,4443,533,1
2015-02-11,6,3843,485,1
2015-05-07,32,4682,469,1
2015-02-28,15,6640,693,1
2015-06-16,55,6939,735,1
2015-03-05,85,6613,934,1
2015-02-13,53,5197,595,1
2015-03-22,57,0,0,0
2015-05-24,62,0,0,0
2015-04-10,92,4607,456,1
2015-04-04,40,5144,650,1
2015-05-06,97,7354,722,1
2015-04-23,40,3531,539,1
2015-04-12,61,0,0,0
2015-02-28,86,4218,572,1
2015-02-03,82,10371,913,1
2015-03-06,6,5392,603,1
2015-04-01,69,13100,1479,1
2015-01-28,82,9069,792,1
2015-07-23,72,3535,415,1
2015-02-21,96,1577,181,1
2015-04-13,40,5203,629,1
2015-05-30,42,8959,887,1
2015-04-24,82,7862,818,1
2015-02-18,81,6634,491,1
2015-03-03,27,11644,1168,1
2015-05-12,47,6284,854,1
2015-02-15,31,0,0,0
2015-01-02,6,4273,515,1
2015-04-08,1,4194,500,1
2015-03-29,28,0,0,0
2015-06-20,42,8482,924,1
2015-04-24,87,4581,641,1
2015-02-07,38,6155,610,1
2015-07-06,42,10124,1129,1
2015-05-15,82,10064,978,1
2015-02-10,72,3518,413,1
2015-03-07,47,5918,780,1
2015-04-05,74,0,0,0
2015-06-21,89,0,0,0
2015-05-06,84,15477,1622,1
2015-06-04,6,5749,614,1
2015-04-07,19,6383,657,1
2015-04-12,53,0,0,0
2015-07-04,45,5752,442,1
2015-01-15,54,7930,690,1
2015-05-07,77,7966,641,1
2015-03-10,72,3567,433,1
2015-02-27,57,8628,871,1
2015-03-03,84,14553,1349,1
2015-03-07,1,4592,570,1
2015-03-05,79,5526,568,1
2015-05-07,23,6240,531,1
2015-05-21,71,9694,786,1
2015-07-18,5,2108,241,1
2015-04-04,95,7377,760,1
2015-02-03,47,8256,1068,1
2015-03-23,15,5871,657,1
2015-02-09,81,5823,473,1
2015-06-01,27,17397,1551,1
2015-02-22,75,0,0,0
2015-05-28,12,5853,758,1
2015-03-06,45,5225,412,1
2015-03-03,57,11302,1011,1
2015-05-20,33,8482,828,1
2015-03-18,36,9753,1107,1
2015-07-18,36,10169,1060,1
2015-05-29,56,10565,669,1
2015-01-09,1,3998,494,1
2015-02-23,96,4100,495,1
2015-01-12,83,5313,435,1
2015-07-25,8,3288,398,1
2015-03-22,1,0,0,0
2015-04-22,98,4080,394,1
2015-06-12,81,6025,496,1
2015-01-12,44,7035,743,1
2015-06-03,29,10834,915,1
2015-07-19,14,0,0,0
2015-07-07,29,6223,555,1
2015-06-15,46,8239,828,1
2015-02-09,29,6011,633,1
2015-06-17,63,8916,677,1
2015-04-18,95,3899,494,1
2015-03-15,57,0,0,0
2015-03-09,47,6526,901,1
2015-03-02,66,8028,590,1
2015-02-15,95,0,0,0
2015-06-10,63,4779,497,1
2015-05-13,89,6629,700,1
2015-06-22,56,5836,452,1
2015-01-23,40,3197,459,1
2015-01-19,90,6675,944,1
2015-04-06,19,0,0,0
2015-04-25,35,9489,765,1
2015-06-23,69,8137,1070,1
2015-03-08,80,0,0,0
2015-07-20,30,3405,517,1
2015-03-18,21,6217,547,1
2015-04-23,54,5603,561,1
2015-05-26,19,7079,694,1
2015-03-19,97,8135,820,1
2015-01-29,50,4440,393,1
2015-06-21,22,0,0,0
2015-06-05,39,5457,669,1
2015-03-20,2,4759,532,1
2015-02-09,53,4891,561,1
2015-05-02,76,12003,1185,1
2015-01-27,32,4504,492,1
2015-02-09,51,5146,429,1
2015-03-02,8,8923,897,1
2015-07-19,79,0,0,0
2015-01-27,47,8503,1051,1
2015-06-17,54,8354,678,1
2015-01-07,24,11702,971,1
2015-02-10,76,7437,814,1
2015-02-06,69,9610,1226,1
2015-04-17,66,7068,553,1
2015-01-19,86,3540,552,1
2015-04-05,57,0,0,0
2015-07-10,2,4384,539,1
2015-06-09,74,5563,786,1
2015-03-07,30,3908,639,1
2015-01-07,15,7294,669,1
2015-07-12,3,0,0,0
2015-07-15,1,4767,550,1
2015-01-18,18,0,0,0
2015-03-05,55,4806,570,1
2015-06-17,35,13833,888,1
2015-06-05,20,8704,830,1
2015-07-01,41,5408,383,1
2015-06-20,53,3231,365,1
2015-04-04,78,4593,611,1
2015-03-24,90,6431,930,1
2015-06-20,69,6895,941,1
2015-02-15,69,0,0,0
2015-01-11,72,0,0,0
2015-07-22,63,4484,424,1
2015-02-19,20,9156,1008,1
2015-07-08,96,4535,556,1
2015-02-10,6,4076,491,1
2015-01-20,18,4675,582,1
2015-07-22,49,5985,468,1
2015-04-04,94,7486,736,1
2015-01-09,6,5246,601,1
2015-05-26,10,6506,672,1
2015-04-29,50,5707,431,1
2015-05-18,81,8682,615,1
2015-05-14,31,0,0,0
2015-01-01,12,0,0,0
2015-01-31,79,4610,463,1
2015-07-09,19,5230,573,1
2015-07-08,7,9204,963,1
2015-05-21,21,6260,533,1
2015-01-05,45,8208,550,1
2015-02-23,63,4877,517,1
2015-05-14,11,0,0,0
2015-06-04,61,0,0,0
2015-02-26,72,4157,422,1
2015-04-28,42,12519,1225,1
2015-02-28,73,2747,303,1
2015-03-30,37,9576,854,1
2015-01-01,11,0,0,0
2015-01-27,30,6566,861,1
2015-01-05,28,8290,865,1
2015-02-04,39,6351,792,1
2015-07-04,95,3935,393,1
2015-03-02,71,13326,903,1
2015-04-18,77,7657,641,1
2015-02-07,34,7465,902,1
2015-01-08,63,7107,600,1
2015-06-14,54,0,0,0
2015-05-25,60,0,0,0
2015-05-18,31,7233,641,1
2015-07-08,99,5687,492,1
2015-07-12,99,0,0,0
2015-02-19,80,7969,593,1
2015-01-09,100,8309,708,1
2015-01-26,56,8411,557,1
2015-05-23,31,5259,556,1
2015-03-31,25,16250,1906,1
2015-05-05,26,7927,580,1
2015-03-27,74,4519,667,1
2015-06-17,22,5407,522,1
2015-06-08,47,6809,946,1
2015-03-31,13,6939,433,1
2015-07-14,16,9986,1028,1
2015-07-03,4,11543,1395,1
2015-07-07,30,3226,533,1
2015-02-20,94,8461,722,1
2015-04-28,89,6234,619,1
2015-05-22,32,5263,550,1
2015-05-28,87,5252,743,1
2015-05-04,8,9806,1031,1
2015-01-27,13,5285,365,1
2015-06-19,72,5206,532,1
2015-06-28,85,11055,1520,1
2015-03-13,36,8715,1021,1
2015-04-13,18,9449,918,1
2015-07-12,76,0,0,0
2015-04-07,20,9536,1002,1
2015-02-01,37,0,0,0
2015-05-28,88,5796,608,1
2015-03-29,24,0,0,0
2015-05-29,14,6392,719,1
2015-06-13,77,8308,689,1
2015-04-10,4,7944,1181,1
2015-03-04,74,7042,889,1
2015-07-02,40,4413,588,1
2015-01-26,19,9087,757,1
2015-06-03,81,8391,632,1
2015-07-09,78,3837,461,1
2015-07-17,10,5356,579,1
2015-07-25,81,9060,718,1
2015-07-13,7,13250,1252,1
2015-01-25,23,0,0,0
2015-07-27,83,5237,409,1
2015-03-16,27,13891,1440,1
2015-05-14,58,0,0,0
2015-07-10,18,7818,846,1
2015-06-10,94,6602,596,1
2015-07-24,83,3191,311,1
2015-04-15,6,5364,592,1
2015-02-08,28,0,0,0
2015-03-12,60,7088,684,1
2015-03-17,88,7310,719,1
2015-01-21,64,7410,602,1
2015-02-05,47,8097,980,1
2015-02-06,39,5376,674,1
2015-07-09,71,7277,659,1
2015-02-25,83,3097,293,1
2015-05-04,1,5591,589,1
2015-01-31,27,8691,931,1
2015-01-07,4,9024,1231,1
2015-07-12,2,0,0,0
2015-03-23,68,6018,999,1
2015-03-11,92,4398,433,1
2015-06-13,14,3541,404,1
2015-05-28,94,6850,611,1
2015-07-16,64,12544,887,1
2015-01-04,61,0,0,0
2015-03-30,28,8842,730,1
2015-02-25,96,4429,548,1
2015-07-05,33,0,0,0
2015-02-03,74,7710,971,1
2015-03-16,4,11977,1594,1
2015-05-29,31,6098,629,1
2015-03-16,7,11551,1042,1
2015-02-19,71,8660,683,1
2015-07-11,33,7107,738,1
2015-05-27,69,8243,1113,1
2015-01-23,15,5385,593,1
2015-06-17,83,5055,381,1
2015-05-03,92,0,0,0
2015-04-26,82,0,0,0
2015-07-18,40,4579,600,1
2015-02-03,67,9869,937,1
2015-03-27,22,4941,550,1
2015-04-20,25,9841,1528,1
2015-07-13,10,6757,621,1
2015-04-27,41,6899,460,1
2015-05-11,76,7643,870,1
2015-02-14,92,6474,609,1
2015-01-06,37,0,0,0
2015-06-25,43,5643,571,1
2015-06-15,81,8086,568,1
2015-02-08,53,0,0,0
2015-01-18,70,0,0,0
2015-04-06,64,0,0,0
2015-06-07,55,0,0,0
2015-02-15,44,0,0,0
2015-03-18,16,8250,946,1
2015-06-07,1,0,0,0
2015-02-08,18,0,0,0
2015-07-15,7,10095,991,1
2015-03-21,96,1904,216,1
2015-05-18,64,13760,927,1
2015-01-11,57,0,0,0
2015-03-18,73,5057,513,1
2015-02-02,9,10858,816,1
2015-05-12,63,5399,552,1
2015-04-18,53,3587,353,1
2015-05-26,86,4251,632,1
2015-03-06,30,4527,636,1
2015-04-27,48,5673,528,1
2015-04-14,87,7467,913,1
2015-01-27,43,7346,582,1
2015-04-15,30,3728,521,1
2015-06-21,8,0,0,0
2015-07-04,53,3485,387,1
2015-02-26,51,4983,394,1
2015-03-25,44,4412,564,1
2015-05-27,99,4912,432,1
2015-05-04,47,11285,1236,1
2015-05-26,73,4805,554,1
2015-04-24,81,6976,544,1
2015-03-21,34,7592,908,1
2015-05-19,44,6644,724,1
2015-03-08,30,0,0,0
2015-03-24,70,5100,578,1
2015-06-20,86,3877,455,1
2015-06-26,94,6488,607,1
2015-07-15,8,7932,802,1
2015-06-04,49,0,0,0
2015-01-04,89,0,0,0
2015-02-12,88,4996,544,1
2015-05-30,79,4993,439,1
2015-03-31,93,10610,746,1
2015-01-22,12,5717,753,1
2015-03-31,27,17777,1424,1
2015-05-07,73,5709,612,1
2015-07-06,24,9427,817,1
2015-04-09,98,4028,401,1
2015-05-06,82,9925,862,1
2015-06-21,76,0,0,0
2015-02-16,87,7976,923,1
2015-07-11,98,4765,423,1
2015-06-07,71,0,0,0
2015-04-05,35,0,0,0
2015-04-13,80,10594,735,1
2015-03-20,100,7577,666,1
2015-07-19,69,0,0,0
2015-06-18,69,9007,1138,1
2015-03-04,72,5082,530,1
2015-06-30,61,7788,756,1
2015-01-12,50,5675,433,1
2015-06-06,81,8385,684,1
2015-03-02,33,11515,1039,1
2015-05-20,47,8546,1064,1
2015-07-21,52,5453,357,1
2015-05-18,99,7494,553,1
2015-02-27,51,7842,558,1
2015-03-02,61,6768,716,1
2015-07-25,18,4416,475,1
2015-04-22,36,7021,904,1
2015-02-16,74,0,0,0
2015-01-05,80,11382,780,1
2015-04-13,52,8706,519,1
2015-05-24,83,0,0,0
2015-05-19,24,11101,920,1
2015-06-03,19,9616,841,1
2015-03-20,15,7804,771,1
2015-01-22,40,3020,448,1
2015-03-11,10,5043,552,1
2015-06-08,65,4033,410,1
2015-06-29,65,8478,615,1
2015-04-01,52,9260,560,1
2015-05-07,87,7005,828,1
2015-02-12,32,2672,375,1
2015-05-22,48,3768,414,1
2015-02-22,36,0,0,0
2015-04-14,23,5793,473,1
2015-05-30,24,8580,730,1
2015-06-05,11,7661,1149,1
2015-01-14,40,3665,485,1
2015-02-12,39,3840,541,1
2015-05-27,88,5605,625,1
2015-01-31,87,3511,464,1
2015-07-25,13,4361,340,1
2015-06-10,79,4414,490,1
2015-03-22,83,0,0,0
2015-06-13,84,11687,1214,1
2015-04-10,6,4247,552,1
2015-07-05,11,0,0,0
2015-07-27,31,8054,684,1
2015-03-29,95,0,0,0
2015-02-02,53,7753,786,1
2015-01-13,29,8196,665,1
2015-07-07,55,4822,567,1
2015-03-06,32,4903,523,1
2015-03-27,16,7721,911,1
2015-04-05,60,0,0,0
2015-02-20,20,7706,831,1
2015-07-08,47,6580,882,1
2015-01-25,28,0,0,0
2015-03-21,97,4909,478,1
2015-01-02,18,6793,731,1
2015-07-12,43,0,0,0
2015-06-12,24,8623,791,1
2015-03-31,95,10985,1003,1
2015-05-02,84,14445,1516,1
2015-03-01,32,0,0,0
2015-01-21,71,6966,637,1
2015-06-19,43,7486,637,1
2015-04-22,89,5235,539,1
2015-05-16,8,3158,372,1
2015-06-01,77,12214,830,1
2015-05-24,68,0,0,0
2015-05-24,77,0,0,0
2015-05-03,99,0,0,0
2015-05-12,82,6906,747,1
2015-05-31,62,0,0,0
2015-04-28,77,9815,753,1
2015-01-10,17,2636,327,1
2015-06-12,27,7393,928,1
2015-04-19,1,0,0,0
2015-05-17,77,0,0,0
2015-05-02,89,5552,550,1
2015-06-16,76,10496,995,1
2015-05-02,30,5377,839,1
2015-02-28,70,6623,668,1
2015-05-16,3,4149,464,1
2015-05-18,93,7554,672,1
2015-06-11,22,3985,466,1
2015-06-19,34,8348,958,1
2015-03-10,80,6022,484,1
2015-03-06,95,7436,894,1
2015-05-10,82,0,0,0
2015-06-13,69,7483,961,1
2015-03-03,6,5872,655,1
2015-02-17,45,6244,410,1
2015-04-06,31,0,0,0
2015-03-21,50,4254,387,1
2015-04-07,64,9162,764,1
2015-06-23,82,7611,791,1
2015-05-22,44,5615,681,1
2015-07-06,34,8650,1059,1
2015-05-08,44,6260,690,1
2015-06-03,18,7966,796,1
2015-04-15,90,8305,1053,1
2015-04-21,10,5443,592,1
2015-07-13,14,7202,751,1
2015-06-30,87,7543,859,1
2015-07-14,13,6422,438,1
2015-01-17,80,8038,648,1
2015-06-11,78,2829,382,1
2015-03-08,38,0,0,0
2015-03-22,41,0,0,0
2015-01-18,44,0,0,0
2015-04-12,75,0,0,0
2015-01-13,71,10089,761,1
2015-02-18,34,7269,948,1
2015-01-01,85,4576,703,1
2015-05-12,49,6337,496,1
2015-03-12,5,3580,481,1
2015-06-30,71,13171,862,1
2015-05-28,17,5778,769,1
2015-03-12,12,6688,823,1
