date,Value
1993-10-01,130.321
1993-11-01,131.799
1993-12-01,143.919
1994-01-01,153.119
1994-02-01,131.25
1994-03-01,132.54
1994-04-01,120.392
1994-05-01,126.496
1994-06-01,146.639
1994-07-01,153.375
1994-08-01,151.757
1994-09-01,133.235
1994-10-01,129.229
1994-11-01,124.074
1994-12-01,136.675
1995-01-01,143.097
1995-02-01,127.774
1995-03-01,127.348
1995-04-01,118.414
1995-05-01,125.516
1995-06-01,138.913
1995-07-01,159.638
1995-08-01,167.717
1995-09-01,137.474
1995-10-01,132.871
1995-11-01,134.591
1995-12-01,147.39
1996-01-01,153.915
1996-02-01,138.446
1996-03-01,138.362
1996-04-01,124.885
1996-05-01,135.014
1996-06-01,147.23
1996-07-01,160.939
1996-08-01,162.998
1996-09-01,144.095
1996-10-01,143.399
1996-11-01,147.318
1996-12-01,155.809
1997-01-01,162.245
1997-02-01,135.873
1997-03-01,138.495
1997-04-01,130.325
1997-05-01,136.525
1997-06-01,147.624
1997-07-01,169.108
1997-08-01,164.925
1997-09-01,152.353
1997-10-01,152.153
1997-11-01,146.425
1997-12-01,160.993
1998-01-01,159.602
1998-02-01,138.682
1998-03-01,144.143
1998-04-01,133.418
1998-05-01,146.249
1998-06-01,158.591
1998-07-01,174.995
1998-08-01,174.745
1998-09-01,156.709
1998-10-01,147.334
1998-11-01,139.397
1998-12-01,154.318
1999-01-01,161.387
1999-02-01,138.081
1999-03-01,145.169
1999-04-01,137.504
1999-05-01,144.891
1999-06-01,157.377
1999-07-01,179.42
1999-08-01,173.707
1999-09-01,154.874
1999-10-01,147.523
1999-11-01,142.095
1999-12-01,154.387
2000-01-01,172.903
2000-02-01,155.75
2000-03-01,152.347
2000-04-01,137.295
2000-05-01,151.232
2000-06-01,165.771
2000-07-01,172.816
2000-08-01,179.476
2000-09-01,158.627
2000-10-01,156.631
2000-11-01,155.015
2000-12-01,169.514
2001-01-01,171.379
2001-02-01,146.187
2001-03-01,151.068
2001-04-01,136.46
2001-05-01,148.784
2001-06-01,159.457
2001-07-01,176.898
2001-08-01,180.673
2001-09-01,153.202
2001-10-01,146.64
2001-11-01,142.367
2001-12-01,156.713
2002-01-01,159.356
2002-02-01,139.482
2002-03-01,146.594
2002-04-01,138.353
2002-05-01,147.956
2002-06-01,161.561
2002-07-01,179.351
2002-08-01,177.391
2002-09-01,162.681
2002-10-01,156.051
2002-11-01,153.318
2002-12-01,167.785
2003-01-01,175.518
2003-02-01,152.63
2003-03-01,150.919
2003-04-01,138.322
2003-05-01,147.491
2003-06-01,160.056
2003-07-01,178.656
2003-08-01,181.673
2003-09-01,161.942
2003-10-01,155.337
2003-11-01,156.001
2003-12-01,172.427
2004-01-01,175.35
2004-02-01,157.548
2004-03-01,149.42
2004-04-01,138.155
2004-05-01,153.824
2004-06-01,164.022
2004-07-01,178.541
2004-08-01,175.913
2004-09-01,163.182
2004-10-01,155.596
2004-11-01,156.598
2004-12-01,174.92
2005-01-01,175.514
2005-02-01,153.555
2005-03-01,159.857
2005-04-01,140.548
2005-05-01,151.645
2005-06-01,171.133
2005-07-01,184.087
2005-08-01,186.022
2005-09-01,169.222
2005-10-01,160.682
2005-11-01,155.899
2005-12-01,175.664
2006-01-01,166.165
2006-02-01,154.226
2006-03-01,156.997
2006-04-01,138.082
2006-05-01,153.221
2006-06-01,166.169
2006-07-01,184.807
2006-08-01,186.844
2006-09-01,160.475
2006-10-01,159.328
2006-11-01,156.604
2006-12-01,170.779
2007-01-01,174.337
2007-02-01,159.772
2007-03-01,155.545
2007-04-01,144.038
2007-05-01,154.284
2007-06-01,170.559
2007-07-01,183.582
2007-08-01,188.407
2007-09-01,167.18
2007-10-01,159.36
2007-11-01,156.666
2007-12-01,173.557
2008-01-01,177.865
2008-02-01,163.114
2008-03-01,156.693
2008-04-01,144.524
2008-05-01,152.626
2008-06-01,168.239
2008-07-01,184.592
2008-08-01,179.993
2008-09-01,160.76
2008-10-01,150.605
2008-11-01,152.302
2008-12-01,168.073
2009-01-01,169.01
2009-02-01,138.457
2009-03-01,134.157
2009-04-01,125.161
2009-05-01,131.317
2009-06-01,147.22
2009-07-01,157.083
2009-08-01,161.543
2009-09-01,137.175
2009-10-01,138.952
2009-11-01,136.236
2009-12-01,164.564
2010-01-01,169.541
2010-02-01,149.732
2010-03-01,142.659
2010-04-01,125.288
2010-05-01,141.697
2010-06-01,163.128
2010-07-01,177.165
2010-08-01,176.655
2010-09-01,148.406
2010-10-01,132.129
2010-11-01,135.919
2010-12-01,165.3
2011-01-01,166.309
2011-02-01,135.738
2011-03-01,133.862
2011-04-01,123.65
2011-05-01,135.488
2011-06-01,155.016
2011-07-01,173.728
2011-08-01,169.987
2011-09-01,141.456
2011-10-01,128.32
2011-11-01,123.628
2011-12-01,135.527
2012-01-01,129.542
2012-02-01,115.247
2012-03-01,105.084
2012-04-01,94.674
2012-05-01,114.96
2012-06-01,131.167
2012-07-01,158.331
2012-08-01,151.36
2012-09-01,127.184
2012-10-01,121.741
2012-11-01,127.974
2012-12-01,133.974
2013-01-01,137.055
2013-02-01,122.562
2013-03-01,128.606
2013-04-01,110.959
2013-05-01,118.029
2013-06-01,137.026
2013-07-01,151.952
2013-08-01,149.701
2013-09-01,132.785
2013-10-01,121.075
2013-11-01,120.445
2013-12-01,141.155
2014-01-01,153.85
2014-02-01,140.102
2014-03-01,132.664
2014-04-01,106.751
2014-05-01,117.672
2014-06-01,136.577
2014-07-01,149.776
2014-08-01,148.995
2014-09-01,126.983
2014-10-01,112.3
2014-11-01,118.837
2014-12-01,124.629
2015-01-01,130.232
2015-02-01,122.417
2015-03-01,106.412
2015-04-01,88.646
2015-05-01,104.498
2015-06-01,126.28
2015-07-01,140.283
2015-08-01,135.156
2015-09-01,118.653
2015-10-01,98.469
2015-11-01,90.263
2015-12-01,91.658
2016-01-01,113.495
2016-02-01,92.416
2016-03-01,72.84
2016-04-01,71.41
2016-05-01,82.51
2016-06-01,115.772
2016-07-01,135.958
,811.791
,800.131
,823.74
,911.346
,962.143
,959.916
,1055.704
,1136.594
,1180.367
,1181.956
,1241.778
,1317.614
,1367.401
,1357.485
,1426.753
,1491.807
,1518.844
,1547.564
,1548.18
,1569.566
,1632.52
,1638.781
,1660.744
,1752.41
,1797.045
,1828.184
,1836.415
,1927.376
,1869.826
,1889.879
,1930.971
,1943.069
,1983.829
,1953.699
,1987.288
,1959.387
,1740.874
,1827.618
,1722.711
,1511.237
,1571.349
,1569.137
,1352.967
