Year,State,Producer Type,Energy Source,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)"
1990,AR,Commercial Cogen,Petroleum,2 845,2,3
1990,AR,Electric Utility,All Sources,21 900 923,62 774,101 992
1990,AR,Electric Utility,Coal,20 100 009,62 609,97 849
1990,AR,Electric Utility,Natural Gas,1 734 286,8,4 072
1990,AR,Electric Utility,Petroleum,66 628,157,71
1990,AR,Industrial Cogen,All Sources,1 500 892,14 688,6 675
1990,AR,Industrial Cogen,Coal,250 873,3 930,910
1990,AR,Industrial Cogen,Natural Gas,1 222 896,5,2 578
1990,AR,Industrial Cogen,Other,15 961,10 659,3 169
1990,AR,Industrial Cogen,Petroleum,11 162,94,18
1990,AR,Industrial Non-Cogen,All Sources,0,1,592
1990,AR,Industrial Non-Cogen,Natural Gas,0,1,592
1990,AR,Industrial Non-Cogen,Petroleum,0,0,0
1990,AR,Total Electric Power Industry,All Sources,23 425 802,77 465,109 397
1990,AR,Total Electric Power Industry,Coal,20 350 882,66 538,98 759
1990,AR,Total Electric Power Industry,Natural Gas,2 978 324,15,7 335
1990,AR,Total Electric Power Industry,Other,15 961,10 659,3 212
1990,AR,Total Electric Power Industry,Petroleum,80 635,253,92
1990,AZ,Commercial Cogen,All Sources,19 680,4,44
1990,AZ,Commercial Cogen,Natural Gas,18 476,0,44
1990,AZ,Commercial Cogen,Petroleum,1 204,4,1
1990,AZ,Electric Utility,All Sources,32 320 915,107 051,145 711
1990,AZ,Electric Utility,Coal,31 017 960,106 869,142 297
1990,AZ,Electric Utility,Natural Gas,1 212 363,6,3 309
1990,AZ,Electric Utility,Petroleum,90 592,175,105
1990,AZ,Industrial Cogen,All Sources,761 033,7 630,3 303
1990,AZ,Industrial Cogen,Coal,709 836,6 562,3 038
1990,AZ,Industrial Cogen,Natural Gas,31 524,0,59
1990,AZ,Industrial Cogen,Other,0,844,145
1990,AZ,Industrial Cogen,Petroleum,19 673,225,61
1990,AZ,Industrial Non-Cogen,All Sources,9 585,3,21
1990,AZ,Industrial Non-Cogen,Natural Gas,8 551,0,20
1990,AZ,Industrial Non-Cogen,Petroleum,1 034,3,1
1990,AZ,Total Electric Power Industry,All Sources,33 111 213,114 687,149 080
1990,AZ,Total Electric Power Industry,Coal,31 727 796,113 431,145 335
1990,AZ,Total Electric Power Industry,Natural Gas,1 270 914,6,3 432
1990,AZ,Total Electric Power Industry,Other,0,844,145
1990,AZ,Total Electric Power Industry,Petroleum,112 503,406,168
1990,CA,Commercial Cogen,All Sources,898 495,30,2 100
1990,CA,Commercial Cogen,Natural Gas,887 033,4,2 077
1990,CA,Commercial Cogen,Other,0,0,14
1990,CA,Commercial Cogen,Petroleum,11 462,26,10
1990,CA,Commercial Non-Cogen,All Sources,144,0,219
1990,CA,Commercial Non-Cogen,Natural Gas,144,0,69
1990,CA,Commercial Non-Cogen,Other,0,0,150
1990,CA,Commercial Non-Cogen,Petroleum,0,0,0
1990,CA,Electric Utility,All Sources,28 790 382,7 378,62 440
1990,CA,Electric Utility,Geothermal,205 533,0,0
1990,CA,Electric Utility,Natural Gas,25 026 594,124,56 258
1990,CA,Electric Utility,Petroleum,3 558 255,7 254,6 182
1990,CA,Industrial Cogen,All Sources,11 088 867,63 790,28 941
1990,CA,Industrial Cogen,Coal,2 406 134,24 304,9 528
1990,CA,Industrial Cogen,Natural Gas,7 703 680,33,15 263
1990,CA,Industrial Cogen,Other,0,3 134,2 593
1990,CA,Industrial Cogen,Petroleum,979 053,36 318,1 557
1990,CA,Industrial Non-Cogen,All Sources,61 435,5,359
1990,CA,Industrial Non-Cogen,Natural Gas,61 435,0,206
1990,CA,Industrial Non-Cogen,Other,0,5,153
1990,CA,IPP NAICS-22 Cogen,All Sources,10 549 710,7 326,23 288
1990,CA,IPP NAICS-22 Cogen,Coal,1 448 676,7 254,6 030
1990,CA,IPP NAICS-22 Cogen,Natural Gas,8 979 872,45,17 189
1990,CA,IPP NAICS-22 Cogen,Other,112 790,5,64
1990,CA,IPP NAICS-22 Cogen,Petroleum,8 372,21,5
1990,CA,IPP NAICS-22 Non-Cogen,All Sources,1 266 610,3 258,10 605
1990,CA,IPP NAICS-22 Non-Cogen,Coal,0,309,420
1990,CA,IPP NAICS-22 Non-Cogen,Geothermal,155 136,0,0
1990,CA,IPP NAICS-22 Non-Cogen,Natural Gas,234 572,0,425
1990,CA,IPP NAICS-22 Non-Cogen,Other,369 283,212,8 738
1990,CA,IPP NAICS-22 Non-Cogen,Petroleum,507 619,2 737,1 021
1990,CA,Total Electric Power Industry,All Sources,52 655 643,81 786,127 952
1990,CA,Total Electric Power Industry,Coal,3 854 810,31 859,16 168
1990,CA,Total Electric Power Industry,Geothermal,360 669,0,0
1990,CA,Total Electric Power Industry,Natural Gas,42 893 330,206,91 002
1990,CA,Total Electric Power Industry,Other,482 073,3 358,12 014
1990,CA,Total Electric Power Industry,Petroleum,5 064 761,46 364,8 768
1990,CO,Commercial Non-Cogen,All Sources,0,0,132
1990,CO,Commercial Non-Cogen,Other,0,0,132
1990,CO,Electric Utility,All Sources,30 168 377,79 608,141 552
1990,CO,Electric Utility,Coal,29 859 399,79 557,140 897
1990,CO,Electric Utility,Natural Gas,287 943,0,630
1990,CO,Electric Utility,Petroleum,21 035,51,24
1990,CO,Industrial Cogen,All Sources,167 326,2,396
1990,CO,Industrial Cogen,Natural Gas,164 682,0,394
1990,CO,Industrial Cogen,Petroleum,2 644,2,3
1990,CO,Industrial Non-Cogen,All Sources,6 479,0,15
1990,CO,Industrial Non-Cogen,Natural Gas,6 479,0,15
1990,CO,IPP NAICS-22 Cogen,All Sources,1 106 563,13 555,3 825
1990,CO,IPP NAICS-22 Cogen,Coal,754 529,13 502,3 127
1990,CO,IPP NAICS-22 Cogen,Natural Gas,350 904,1,629
1990,CO,IPP NAICS-22 Cogen,Other,1 130,53,69
1990,CO,IPP NAICS-22 Non-Cogen,All Sources,68 340,0,123
1990,CO,IPP NAICS-22 Non-Cogen,Natural Gas,68 340,0,123
1990,CO,Total Electric Power Industry,All Sources,31 517 085,93 165,146 044
1990,CO,Total Electric Power Industry,Coal,30 613 928,93 059,144 024
1990,CO,Total Electric Power Industry,Natural Gas,878 348,1,1 792
1990,CO,Total Electric Power Industry,Other,1 130,53,201
1990,CO,Total Electric Power Industry,Petroleum,23 679,53,27
1990,CT,Commercial Cogen,All Sources,64 098,179,239
1990,CT,Commercial Cogen,Natural Gas,59 131,0,174
1990,CT,Commercial Cogen,Petroleum,4 967,179,65
1990,CT,Electric Utility,All Sources,9 640 606,47 950,24 492
1990,CT,Electric Utility,Coal,2 363 360,9 329,10 122
1990,CT,Electric Utility,Natural Gas,265 710,2,616
1990,CT,Electric Utility,Other,0,543,1 161
1990,CT,Electric Utility,Petroleum,7 011 536,38 076,12 593
1990,CT,Industrial Cogen,All Sources,339 146,2 018,612
1990,CT,Industrial Cogen,Natural Gas,3 774,0,9
1990,CT,Industrial Cogen,Petroleum,335 372,2 018,603
1990,CT,IPP NAICS-22 Cogen,All Sources,1 651 078,2 001,5 221
1990,CT,IPP NAICS-22 Cogen,Coal,1 197 109,1 798,4 167
1990,CT,IPP NAICS-22 Cogen,Natural Gas,369 028,2,809
1990,CT,IPP NAICS-22 Cogen,Other,54 423,45,201
1990,CT,IPP NAICS-22 Cogen,Petroleum,30 518,156,44
1990,CT,IPP NAICS-22 Non-Cogen,All Sources,408 340,86,948
1990,CT,IPP NAICS-22 Non-Cogen,Other,408 340,86,948
1990,CT,Total Electric Power Industry,All Sources,12 103 268,52 235,31 512
1990,CT,Total Electric Power Industry,Coal,3 560 469,11 127,14 288
1990,CT,Total Electric Power Industry,Natural Gas,697 643,4,1 608
1990,CT,Total Electric Power Industry,Other,462 763,675,2 310
1990,CT,Total Electric Power Industry,Petroleum,7 382 393,40 429,13 306
1990,DC,Electric Utility,All Sources,409 724,2 303,425
1990,DC,Electric Utility,Petroleum,409 724,2 303,425
1990,DC,Total Electric Power Industry,All Sources,409 724,2 303,425
1990,DC,Total Electric Power Industry,Petroleum,409 724,2 303,425
1990,DE,Electric Utility,All Sources,7 486 107,41 301,23 215
1990,DE,Electric Utility,Coal,4 997 616,33 742,19 891
1990,DE,Electric Utility,Natural Gas,619 690,2,960
1990,DE,Electric Utility,Petroleum,1 868 801,7 557,2 364
1990,DE,Industrial Cogen,All Sources,1 398 772,38 750,3 992
1990,DE,Industrial Cogen,Coal,431 208,4 748,1 813
1990,DE,Industrial Cogen,Natural Gas,0,0,41
1990,DE,Industrial Cogen,Other,0,162,0
1990,DE,Industrial Cogen,Petroleum,967 564,33 839,2 138
1990,DE,Total Electric Power Industry,All Sources,8 884 879,80 050,27 206
1990,DE,Total Electric Power Industry,Coal,5 428 824,38 490,21 703
1990,DE,Total Electric Power Industry,Natural Gas,619 690,2,1 001
1990,DE,Total Electric Power Industry,Other,0,162,0
1990,DE,Total Electric Power Industry,Petroleum,2 836 365,41 396,4 503
1990,FL,Commercial Cogen,All Sources,134 135,220,390
1990,FL,Commercial Cogen,Natural Gas,134 081,0,324
1990,FL,Commercial Cogen,Petroleum,54,220,66
1990,FL,Commercial Non-Cogen,All Sources,0,0,164
1990,FL,Commercial Non-Cogen,Other,0,0,164
1990,FL,Electric Utility,All Sources,85 943 458,573 795,268 450
1990,FL,Electric Utility,Coal,55 588 010,425 438,209 876
1990,FL,Electric Utility,Natural Gas,10 153 655,53,23 103
1990,FL,Electric Utility,Other,0,6,38
1990,FL,Electric Utility,Petroleum,20 201 793,148 297,35 433
1990,FL,Industrial Cogen,All Sources,3 681 228,56 619,14 907
1990,FL,Industrial Cogen,Coal,1 218 404,10 612,4 764
1990,FL,Industrial Cogen,Natural Gas,943 425,4,2 094
1990,FL,Industrial Cogen,Other,230 494,26 378,5 603
1990,FL,Industrial Cogen,Petroleum,1 288 905,19 625,2 446
1990,FL,Industrial Non-Cogen,All Sources,33 192,0,213
1990,FL,Industrial Non-Cogen,Natural Gas,33 192,0,213
1990,FL,IPP NAICS-22 Cogen,All Sources,653 044,482,2 230
1990,FL,IPP NAICS-22 Cogen,Coal,649 880,481,2 228
1990,FL,IPP NAICS-22 Cogen,Petroleum,3 164,1,2
1990,FL,IPP NAICS-22 Non-Cogen,All Sources,1 110 180,1 646,3 275
1990,FL,IPP NAICS-22 Non-Cogen,Natural Gas,919,0,2
1990,FL,IPP NAICS-22 Non-Cogen,Other,1 107 836,1 646,3 272
1990,FL,IPP NAICS-22 Non-Cogen,Petroleum,1 425,0,1
1990,FL,Total Electric Power Industry,All Sources,91 555 237,632 761,289 629
1990,FL,Total Electric Power Industry,Coal,57 456 294,436 233,216 727
1990,FL,Total Electric Power Industry,Natural Gas,11 265 272,56,25 719
1990,FL,Total Electric Power Industry,Other,1 338 330,28 285,9 258
1990,FL,Total Electric Power Industry,Petroleum,21 495 341,168 186,37 924
1990,GA,Commercial Cogen,All Sources,0,0,0
1990,GA,Commercial Cogen,Petroleum,0,0,0
1990,GA,Commercial Non-Cogen,All Sources,1 637,5,1
1990,GA,Commercial Non-Cogen,Natural Gas,0,0,0
1990,GA,Commercial Non-Cogen,Petroleum,1 637,5,1
1990,GA,Electric Utility,All Sources,62 043 023,774 340,279 312
1990,GA,Electric Utility,Coal,61 789 229,773 402,278 851
1990,GA,Electric Utility,Natural Gas,105 082,0,244
1990,GA,Electric Utility,Petroleum,148 712,938,218
1990,GA,Industrial Cogen,All Sources,5 807 929,74 161,26 946
1990,GA,Industrial Cogen,Coal,3 382 350,31 609,13 129
1990,GA,Industrial Cogen,Natural Gas,975 050,4,1 978
1990,GA,Industrial Cogen,Other,310 556,30 285,10 044
1990,GA,Industrial Cogen,Petroleum,1 139 973,12 263,1 795
1990,GA,Industrial Non-Cogen,All Sources,90,1,5
1990,GA,Industrial Non-Cogen,Natural Gas,0,0,5
1990,GA,Industrial Non-Cogen,Petroleum,90,1,0
1990,GA,IPP NAICS-22 Non-Cogen,All Sources,14,0,0
1990,GA,IPP NAICS-22 Non-Cogen,Natural Gas,0,0,0
1990,GA,IPP NAICS-22 Non-Cogen,Petroleum,14,0,0
1990,GA,Total Electric Power Industry,All Sources,67 852 693,848 506,306 264
1990,GA,Total Electric Power Industry,Coal,65 171 579,805 011,291 981
1990,GA,Total Electric Power Industry,Natural Gas,1 080 132,4,2 225
1990,GA,Total Electric Power Industry,Other,310 556,30 285,10 044
1990,GA,Total Electric Power Industry,Petroleum,1 290 426,13 207,2 014
1990,HI,Electric Utility,All Sources,6 694 792,27 310,12 013
1990,HI,Electric Utility,Petroleum,6 694 792,27 310,12 013
1990,HI,Industrial Cogen,All Sources,258 050,2 464,597
1990,HI,Industrial Cogen,Coal,3 860,31,18
1990,HI,Industrial Cogen,Other,0,0,0
1990,HI,Industrial Cogen,Petroleum,254 190,2 433,579
1990,HI,IPP NAICS-22 Cogen,All Sources,874 302,5 350,1 592
1990,HI,IPP NAICS-22 Cogen,Coal,2 485,47,8
1990,HI,IPP NAICS-22 Cogen,Petroleum,871 817,5 302,1 584
1990,HI,IPP NAICS-22 Non-Cogen,All Sources,236 361,91,686
1990,HI,IPP NAICS-22 Non-Cogen,Other,236 361,44,672
1990,HI,IPP NAICS-22 Non-Cogen,Petroleum,0,47,14
1990,HI,Total Electric Power Industry,All Sources,8 063 505,35 214,14 888
1990,HI,Total Electric Power Industry,Coal,6 345,78,26
1990,HI,Total Electric Power Industry,Other,236 361,44,672
1990,HI,Total Electric Power Industry,Petroleum,7 820 799,35 093,14 189
1990,IA,Commercial Cogen,All Sources,68 989,175,274
1990,IA,Commercial Cogen,Coal,59 262,174,252
1990,IA,Commercial Cogen,Natural Gas,8 774,0,21
1990,IA,Commercial Cogen,Petroleum,953,1,1
1990,IA,Electric Utility,All Sources,26 505 364,155 102,138 039
1990,IA,Electric Utility,Coal,26 267 482,154 868,137 453
1990,IA,Electric Utility,Natural Gas,185 870,0,467
1990,IA,Electric Utility,Other,0,50,45
1990,IA,Electric Utility,Petroleum,52 012,184,73
1990,IA,Industrial Cogen,All Sources,3 059 190,22 281,12 513
1990,IA,Industrial Cogen,Coal,2 764 444,22 209,11 839
1990,IA,Industrial Cogen,Natural Gas,285 069,1,660
1990,IA,Industrial Cogen,Other,1 212,0,2
1990,IA,Industrial Cogen,Petroleum,8 465,72,13
1990,IA,IPP NAICS-22 Cogen,All Sources,320 410,5 207,1 269
1990,IA,IPP NAICS-22 Cogen,Coal,287 334,5 207,1 206
1990,IA,IPP NAICS-22 Cogen,Natural Gas,33 076,0,64
1990,IA,IPP NAICS-22 Non-Cogen,All Sources,152,0,5
1990,IA,IPP NAICS-22 Non-Cogen,Natural Gas,0,0,5
1990,IA,IPP NAICS-22 Non-Cogen,Petroleum,152,0,0
1990,IA,Total Electric Power Industry,All Sources,29 954 105,182 766,152 100
1990,IA,Total Electric Power Industry,Coal,29 378 522,182 458,150 750
1990,IA,Total Electric Power Industry,Natural Gas,512 789,1,1 216
1990,IA,Total Electric Power Industry,Other,1 212,50,47
1990,IA,Total Electric Power Industry,Petroleum,61 582,257,87
1990,ID,Electric Utility,All Sources,96,4,1
1990,ID,Electric Utility,Petroleum,96,4,1
1990,ID,Industrial Cogen,All Sources,488 947,8 651,2 676
1990,ID,Industrial Cogen,Coal,316 004,5 544,1 608
1990,ID,Industrial Cogen,Natural Gas,171 264,1,320
1990,ID,Industrial Cogen,Other,0,3 088,746
1990,ID,Industrial Cogen,Petroleum,1 679,19,3
1990,ID,IPP NAICS-22 Cogen,Other,0,0,0
1990,ID,Total Electric Power Industry,All Sources,489 043,8 655,2 677
1990,ID,Total Electric Power Industry,Coal,316 004,5 540,1 547
1990,ID,Total Electric Power Industry,Natural Gas,171 264,1,307
1990,ID,Total Electric Power Industry,Other,0,3 092,820
1990,ID,Total Electric Power Industry,Petroleum,1 775,22,3
1990,IL,Commercial Cogen,All Sources,54 495,0,129
1990,IL,Commercial Cogen,Natural Gas,54 495,0,129
1990,IL,Electric Utility,All Sources,57 153 126,813 488,318 872
1990,IL,Electric Utility,Coal,55 637 070,809 753,316 412
1990,IL,Electric Utility,Natural Gas,492 352,1,1 160
1990,IL,Electric Utility,Petroleum,1 023 704,3 734,1 300
1990,IL,Industrial Cogen,All Sources,3 547 108,35 683,15 571
1990,IL,Industrial Cogen,Coal,2 699 554,35 479,13 593
1990,IL,Industrial Cogen,Natural Gas,796 971,3,1 890
1990,IL,Industrial Cogen,Petroleum,50 583,201,88
1990,IL,Industrial Non-Cogen,All Sources,375,2,308
1990,IL,Industrial Non-Cogen,Natural Gas,53,1,308
1990,IL,Industrial Non-Cogen,Petroleum,322,1,0
1990,IL,IPP NAICS-22 Cogen,All Sources,6 511,0,217
1990,IL,IPP NAICS-22 Cogen,Natural Gas,6 511,0,15
1990,IL,IPP NAICS-22 Cogen,Other,0,0,201
1990,IL,IPP NAICS-22 Non-Cogen,All Sources,0,0,712
1990,IL,IPP NAICS-22 Non-Cogen,Other,0,0,712
1990,IL,IPP NAICS-22 Non-Cogen,Petroleum,0,0,0
1990,IL,Total Electric Power Industry,All Sources,60 761 615,849 173,335 809
1990,IL,Total Electric Power Industry,Coal,58 336 624,845 232,330 004
1990,IL,Total Electric Power Industry,Natural Gas,1 350 382,5,3 503
1990,IL,Total Electric Power Industry,Other,0,0,914
1990,IL,Total Electric Power Industry,Petroleum,1 074 609,3 936,1 388
1990,IN,Commercial Cogen,All Sources,556 349,4 072,2 074
1990,IN,Commercial Cogen,Coal,245 976,3 952,1 143
1990,IN,Commercial Cogen,Natural Gas,9 194,0,22
1990,IN,Commercial Cogen,Other,299 535,114,907
1990,IN,Commercial Cogen,Petroleum,1 644,6,2
1990,IN,Electric Utility,All Sources,94 833 181,1 256 161,477 731
1990,IN,Electric Utility,Coal,93 741 400,1 255 820,476 712
1990,IN,Electric Utility,Natural Gas,352 886,1,822
1990,IN,Electric Utility,Petroleum,738 895,340,197
1990,IN,Industrial Cogen,All Sources,3 647 827,16 533,9 779
1990,IN,Industrial Cogen,Coal,1 613 576,13 465,6 161
1990,IN,Industrial Cogen,Natural Gas,1 469 103,6,2 882
1990,IN,Industrial Cogen,Petroleum,565 148,3 062,736
1990,IN,Industrial Non-Cogen,All Sources,41 237,17,103
1990,IN,Industrial Non-Cogen,Natural Gas,40 680,0,97
1990,IN,Industrial Non-Cogen,Petroleum,557,17,5
1990,IN,Total Electric Power Industry,All Sources,99 078 594,1 276 784,489 687
1990,IN,Total Electric Power Industry,Coal,95 600 952,1 273 237,484 016
1990,IN,Total Electric Power Industry,Natural Gas,1 871 863,7,3 824
1990,IN,Total Electric Power Industry,Other,299 535,114,907
1990,IN,Total Electric Power Industry,Petroleum,1 306 244,3 426,940
1990,KS,Electric Utility,All Sources,27 264 808,78 331,123 942
1990,KS,Electric Utility,Coal,25 770 223,77 331,120 124
1990,KS,Electric Utility,Natural Gas,1 429 458,5,3 483
1990,KS,Electric Utility,Petroleum,65 127,994,336
1990,KS,Industrial Cogen,All Sources,252 238,167,737
1990,KS,Industrial Cogen,Natural Gas,241 099,1,687
1990,KS,Industrial Cogen,Petroleum,11 139,166,50
1990,KS,Total Electric Power Industry,All Sources,27 517 046,78 498,124 679
1990,KS,Total Electric Power Industry,Coal,25 770 223,77 331,120 126
1990,KS,Total Electric Power Industry,Natural Gas,1 670 557,6,4 168
1990,KS,Total Electric Power Industry,Petroleum,76 266,1 160,386
1990,KY,Electric Utility,All Sources,66 691 156,818 531,300 977
1990,KY,Electric Utility,Coal,66 585 266,818 339,300 852
1990,KY,Electric Utility,Natural Gas,15 310,0,36
1990,KY,Electric Utility,Petroleum,90 580,192,89
1990,KY,Total Electric Power Industry,All Sources,66 691 156,818 531,300 977
1990,KY,Total Electric Power Industry,Coal,66 585 266,818 339,300 852
1990,KY,Total Electric Power Industry,Natural Gas,15 310,0,36
1990,KY,Total Electric Power Industry,Petroleum,90 580,192,89
1990,LA,Commercial Cogen,All Sources,46 216,0,112
1990,LA,Commercial Cogen,Natural Gas,46 216,0,112
1990,LA,Electric Utility,All Sources,33 770 087,89 550,115 268
1990,LA,Electric Utility,Coal,18 737 548,89 106,82 109
1990,LA,Electric Utility,Natural Gas,14 926 261,73,33 016
1990,LA,Electric Utility,Petroleum,106 278,370,142
1990,LA,Industrial Cogen,All Sources,10 104 762,19 613,33 815
1990,LA,Industrial Cogen,Coal,210 180,1 554,719
1990,LA,Industrial Cogen,Natural Gas,9 871 006,50,19 722
1990,LA,Industrial Cogen,Other,0,17 821,13 340
1990,LA,Industrial Cogen,Petroleum,23 576,189,34
1990,LA,Industrial Non-Cogen,All Sources,41 882,0,98
1990,LA,Industrial Non-Cogen,Natural Gas,41 882,0,98
1990,LA,IPP NAICS-22 Cogen,All Sources,933 897,5,2 147
1990,LA,IPP NAICS-22 Cogen,Natural Gas,933 897,5,2 147
1990,LA,IPP NAICS-22 Non-Cogen,All Sources,86 071,2 654,187
1990,LA,IPP NAICS-22 Non-Cogen,Natural Gas,12 035,0,28
1990,LA,IPP NAICS-22 Non-Cogen,Petroleum,74 036,2 654,159
1990,LA,Total Electric Power Industry,All Sources,44 982 915,111 821,151 628
1990,LA,Total Electric Power Industry,Coal,18 947 728,90 659,82 828
1990,LA,Total Electric Power Industry,Natural Gas,25 831 297,128,55 124
1990,LA,Total Electric Power Industry,Other,0,17 822,13 341
1990,LA,Total Electric Power Industry,Petroleum,203 890,3 212,335
1990,MA,Commercial Cogen,All Sources,344 862,1 310,381
1990,MA,Commercial Cogen,Natural Gas,18 455,0,67
1990,MA,Commercial Cogen,Petroleum,326 407,1 310,314
1990,MA,Commercial Non-Cogen,All Sources,19 150,59,16
1990,MA,Commercial Non-Cogen,Petroleum,19 150,59,16
1990,MA,Electric Utility,All Sources,25 153 214,205 186,70 334
1990,MA,Electric Utility,Coal,10 233 265,89 666,42 845
1990,MA,Electric Utility,Natural Gas,3 051 668,14,6 897
1990,MA,Electric Utility,Petroleum,11 868 281,115 507,20 592
1990,MA,Industrial Cogen,All Sources,836 127,4 257,2 293
1990,MA,Industrial Cogen,Coal,160 760,859,648
1990,MA,Industrial Cogen,Natural Gas,276 661,1,678
1990,MA,Industrial Cogen,Other,1 858,131,177
1990,MA,Industrial Cogen,Petroleum,396 848,3 267,790
1990,MA,Industrial Non-Cogen,All Sources,39,0,0
1990,MA,Industrial Non-Cogen,Petroleum,39,0,0
1990,MA,IPP NAICS-22 Cogen,All Sources,473 051,386,1 062
1990,MA,IPP NAICS-22 Cogen,Coal,80 776,231,323
1990,MA,IPP NAICS-22 Cogen,Natural Gas,307 176,2,571
1990,MA,IPP NAICS-22 Cogen,Other,40 298,16,132
1990,MA,IPP NAICS-22 Cogen,Petroleum,44 801,137,36
1990,MA,IPP NAICS-22 Non-Cogen,All Sources,989 489,695,2 392
1990,MA,IPP NAICS-22 Non-Cogen,Natural Gas,2 771,0,6
1990,MA,IPP NAICS-22 Non-Cogen,Other,977 635,687,2 371
1990,MA,IPP NAICS-22 Non-Cogen,Petroleum,9 083,8,15
1990,MA,Total Electric Power Industry,All Sources,27 815 932,211 894,76 479
1990,MA,Total Electric Power Industry,Coal,10 474 801,90 756,43 816
1990,MA,Total Electric Power Industry,Natural Gas,3 656 731,16,8 219
1990,MA,Total Electric Power Industry,Other,1 019 791,833,2 681
1990,MA,Total Electric Power Industry,Petroleum,12 664 609,120 289,21 763
1990,MD,Commercial Cogen,All Sources,1 338,1 604,503
1990,MD,Commercial Cogen,Coal,0,1 437,417
1990,MD,Commercial Cogen,Other,0,2,36
1990,MD,Commercial Cogen,Petroleum,1 338,165,49
1990,MD,Commercial Non-Cogen,All Sources,0,0,90
1990,MD,Commercial Non-Cogen,Other,0,0,90
1990,MD,Electric Utility,All Sources,25 573 355,250 963,95 659
1990,MD,Electric Utility,Coal,21 251 216,226 872,87 408
1990,MD,Electric Utility,Natural Gas,970 367,5,2 226
1990,MD,Electric Utility,Petroleum,3 351 772,24 086,6 025
1990,MD,Industrial Cogen,All Sources,946 327,14 408,4 210
1990,MD,Industrial Cogen,Coal,855 500,12 542,3 631
1990,MD,Industrial Cogen,Natural Gas,75 454,0,175
1990,MD,Industrial Cogen,Other,0,1 804,386
1990,MD,Industrial Cogen,Petroleum,15 373,63,18
1990,MD,IPP NAICS-22 Cogen,All Sources,828 645,2 672,1 758
1990,MD,IPP NAICS-22 Cogen,Natural Gas,180 832,1,433
1990,MD,IPP NAICS-22 Cogen,Other,294 471,544,689
1990,MD,IPP NAICS-22 Cogen,Petroleum,353 342,2 126,637
1990,MD,IPP NAICS-22 Non-Cogen,All Sources,0,0,148
1990,MD,IPP NAICS-22 Non-Cogen,Other,0,0,148
1990,MD,Total Electric Power Industry,All Sources,27 349 665,269 646,102 368
