,loc^ation,rat^e,agency_id,house_id,ho~use_type,rent,contract_id,year
360,"Rome, Italy",2,11,163,apartment,700,424,2019
359,"Paris, France",4,10,93,apartment,500,453,2018
343,"Paris, France",5,19,352,apartment,700,406,2018
286,"Lisbon, Portugal",2,12,210,apartment,800,33,2019
340,"Berlin, Germany",3,16,241,apartment,400,303,2019
181,"Madrid, Spain",1,7,292,unknown,600,95,2018
12,"Paris, France",2,13,3,apartment,700,85,2019
202,"Lisbon, Portugal",5,3,316,apartment,800,208,2019
319,"Lisbon, Portugal",2,20,89,apartment,600,401,2018
256,"Madrid, Spain",1,7,330,apartment,800,372,2019
239,"Berlin, Germany",3,15,176,apartment,800,200,2019
94,"Lisbon, Portugal",2,20,54,apartment,900,326,2019
337,"Paris, France",2,13,115,apartment,800,270,2019
63,"Lisbon, Portugal",4,14,358,apartment,900,12,2019
324,"Berlin, Germany",1,25,51,house,300,230,2019
356,"Madrid, Spain",1,7,374,apartment,1100,397,2018
155,"Madrid, Spain",3,6,14,apartment,500,188,2018
157,"Rome, Italy",3,8,361,apartment,600,62,2019
337,"Paris, France",2,13,115,apartment,800,32,2019
191,"Rome, Italy",3,17,46,apartment,400,103,2018
206,"Madrid, Spain",1,7,268,apartment,700,254,2019
342,"Paris, France",2,18,12,apartment,600,163,2018
102,"Lisbon, Portugal",5,3,2,apartment,700,190,2019
180,"Madrid, Spain",3,6,78,apartment,100,14,2019
347,"Madrid, Spain",2,23,43,apartment,700,39,2019
275,"Berlin, Germany",2,1,366,apartment,700,93,2018
83,"Paris, France",0,9,95,apartment,700,2,2019
3,"Paris, France",3,4,278,apartment,800,192,2019
154,"Rome, Italy",3,5,252,apartment,1100,204,2019
291,"Rome, Italy",3,17,75,apartment,600,493,2019
18,"Paris, France",5,19,167,apartment,700,130,2018
276,"Rome, Italy",1,2,103,apartment,700,28,2019
111,"Lisbon, Portugal",2,12,219,apartment,600,24,2018
251,"Rome, Italy",1,2,86,apartment,700,407,2019
16,"Rome, Italy",3,17,123,apartment,600,67,2019
128,"Paris, France",3,4,305,apartment,700,423,2019
79,"Rome, Italy",3,5,109,none,500,469,2019
325,"Berlin, Germany",2,1,38,none,0,364,2018
101,"Rome, Italy",1,2,77,apartment,600,63,2019
78,"Paris, France",3,4,125,apartment,700,322,2019
48,"Paris, France",3,24,303,apartment,800,441,2019
0,"Berlin, Germany",2,1,187,house,0,10,2018
42,"Paris, France",2,18,110,apartment,500,347,2018
263,"Lisbon, Portugal",4,14,64,house,700,274,2018
47,"Madrid, Spain",2,23,242,apartment,800,61,2019
93,"Paris, France",5,19,166,apartment,200,180,2019
224,"Berlin, Germany",1,25,131,unknown,1000,440,2018
247,"Madrid, Spain",2,23,250,apartment,800,94,2019
45,"Berlin, Germany",3,21,365,apartment,700,72,2019
11,"Lisbon, Portugal",2,12,237,apartment,500,16,2018
172,"Madrid, Spain",2,23,269,unknown,700,127,2019
150,"Berlin, Germany",2,1,188,apartment,600,489,2018
371,"Lisbon, Portugal",4,22,324,unknown,600,210,2019
44,"Lisbon, Portugal",2,20,179,none,0,473,2019
73,"Paris, France",3,24,124,apartment,500,172,2018
350,"Berlin, Germany",2,1,342,apartment,300,160,2018
353,"Paris, France",3,4,254,apartment,0,159,2019
40,"Berlin, Germany",3,16,297,apartment,900,70,2018
104,"Rome, Italy",3,5,107,unknown,600,431,2019
22,"Madrid, Spain",2,23,88,apartment,700,197,2019
325,"Berlin, Germany",2,1,38,none,0,461,2019
295,"Berlin, Germany",3,21,220,apartment,500,276,2019
309,"Paris, France",0,10,102,house,0,5,2018
297,"Madrid, Spain",2,23,20,apartment,600,131,2019
166,"Rome, Italy",3,17,296,apartment,700,175,2019
37,"Paris, France",2,13,184,apartment,800,26,2018
10,"Rome, Italy",2,11,228,apartment,300,89,2018
178,"Paris, France",3,4,119,apartment,400,272,2019
68,"Paris, France",0,19,354,apartment,600,6,2019
137,"Paris, France",2,13,122,apartment,600,203,2019
282,"Rome, Italy",3,8,111,apartment,800,371,2018
307,"Rome, Italy",3,8,137,apartment,500,476,2018
341,"Rome, Italy",3,17,246,apartment,800,281,2019
162,"Paris, France",2,13,290,apartment,0,307,2019
362,"Paris, France",2,13,329,apartment,500,45,2018
233,"Paris, France",5,9,226,unknown,300,223,2019
309,"Paris, France",0,10,102,house,0,5,2018
274,"Berlin, Germany",1,25,80,apartment,600,74,2019
69,"Lisbon, Portugal",2,20,323,apartment,900,231,2018
333,"Paris, France",5,9,170,apartment,600,19,2019
253,"Paris, France",3,4,212,apartment,600,176,2018
136,"Lisbon, Portugal",2,12,151,apartment,700,445,2018
26,"Rome, Italy",1,2,135,apartment,400,374,2019
192,"Paris, France",2,18,258,house,1000,206,2019
336,"Lisbon, Portugal",2,12,248,none,800,385,2018
5,"Madrid, Spain",3,6,113,none,500,377,2019
212,"Paris, France",2,13,363,apartment,200,300,2019
132,"Rome, Italy",3,8,240,apartment,800,335,2019
21,"Lisbon, Portugal",4,22,30,apartment,500,88,2018
330,"Madrid, Spain",3,6,231,house,800,343,2019
183,"Paris, France",5,9,182,apartment,800,458,2018
294,"Lisbon, Portugal",2,20,289,apartment,900,277,2018
366,"Rome, Italy",3,17,11,apartment,700,105,2019
74,"Berlin, Germany",1,25,315,apartment,1000,351,2019
326,"Rome, Italy",1,2,19,apartment,400,169,2018
261,"Lisbon, Portugal",2,12,104,house,700,46,2019
24,"Berlin, Germany",1,25,97,unknown,400,464,2018
83,"Paris, France",0,9,95,apartment,700,2,2019
278,"Paris, France",3,4,92,apartment,700,258,2019
374,"Berlin, Germany",1,25,306,house,600,333,2019
58,"Paris, France",5,9,99,unknown,900,353,2019
105,"Madrid, Spain",3,6,47,apartment,700,290,2019
131,"Madrid, Spain",1,7,81,unknown,700,357,2019
138,"Lisbon, Portugal",4,14,169,house,800,384,2019
217,"Paris, France",2,18,146,apartment,1000,80,2019
97,"Madrid, Spain",2,23,344,none,0,186,2019
345,"Berlin, Germany",3,21,243,apartment,500,126,2018
1,"Rome, Italy",1,2,360,apartment,500,143,2019
334,"Paris, France",4,10,42,apartment,500,479,2019
107,"Rome, Italy",3,8,195,apartment,800,8,2019
119,"Lisbon, Portugal",2,20,318,none,0,496,2019
312,"Paris, France",2,13,333,none,500,284,2018
180,"Madrid, Spain",3,6,78,apartment,100,266,2019
310,"Rome, Italy",2,11,44,house,500,294,2019
282,"Rome, Italy",3,8,111,apartment,800,308,2019
100,"Berlin, Germany",2,1,215,apartment,200,138,2018
53,"Paris, France",3,4,339,apartment,1100,122,2019
243,"Paris, France",5,19,320,house,900,20,2019
197,"Madrid, Spain",2,23,328,house,900,36,2018
22,"Madrid, Spain",2,23,88,apartment,700,101,2018
125,"Berlin, Germany",2,1,25,apartment,700,365,2019
198,"Paris, France",3,24,130,apartment,10000000,27,2019
193,"Paris, France",5,19,345,apartment,800,477,2018
284,"Paris, France",4,10,194,house,500,151,2019
237,"Paris, France",2,13,58,apartment,800,363,2018
153,"Paris, France",3,4,71,unknown,100,375,2018
7,"Rome, Italy",3,8,112,apartment,400,111,2018
12,"Paris, France",2,13,3,apartment,700,129,2018
68,"Paris, France",0,19,354,apartment,600,6,2019
84,"Paris, France",4,10,40,house,700,225,2018
344,"Lisbon, Portugal",2,20,87,apartment,400,460,2019
328,"Paris, France",3,4,117,none,700,13,2018
83,"Paris, France",5,9,95,apartment,700,436,2019
11,"Lisbon, Portugal",2,12,237,apartment,500,16,2018
222,"Madrid, Spain",2,23,7,apartment,0,373,2019
32,"Rome, Italy",3,8,298,apartment,900,81,2018
185,"Rome, Italy",2,11,275,apartment,800,64,2019
30,"Madrid, Spain",3,6,286,apartment,900,238,2019
238,"Lisbon, Portugal",4,14,56,apartment,900,125,2019
317,"Paris, France",2,18,8,apartment,800,184,2018
73,"Paris, France",3,24,124,apartment,500,358,2018
34,"Paris, France",4,10,216,apartment,700,171,2019
288,"Lisbon, Portugal",4,14,62,apartment,400,189,2018
229,"Rome, Italy",3,5,17,apartment,500,229,2018
143,"Paris, France",5,19,204,apartment,400,240,2018
24,"Berlin, Germany",1,25,97,unknown,400,387,2019
151,"Rome, Italy",1,2,32,none,100,215,2018
210,"Rome, Italy",2,11,321,apartment,600,141,2019
365,"Berlin, Germany",3,16,59,apartment,0,405,2018
21,"Lisbon, Portugal",4,22,30,apartment,500,114,2018
99,"Berlin, Germany",1,25,63,apartment,400,292,2019
57,"Rome, Italy",3,8,48,none,400,183,2019
351,"Rome, Italy",1,2,157,apartment,400,345,2019
244,"Lisbon, Portugal",2,20,223,apartment,800,117,2019
263,"Lisbon, Portugal",4,14,64,house,700,220,2019
180,"Madrid, Spain",3,6,78,apartment,100,14,2019
14,"Berlin, Germany",3,15,314,unknown,400,475,2019
231,"Madrid, Spain",1,7,22,apartment,0,42,2018
71,"Lisbon, Portugal",4,22,100,apartment,200,337,2018
84,"Paris, France",4,10,40,house,700,227,2019
361,"Lisbon, Portugal",2,12,6,apartment,500,222,2018
127,"Lisbon, Portugal",5,3,138,apartment,700,50,2019
328,"Paris, France",3,4,117,none,700,482,2018
367,"Paris, France",2,18,213,none,500,237,2018
304,"Rome, Italy",3,5,373,apartment,0,115,2019
349,"Berlin, Germany",1,25,128,apartment,600,261,2018
92,"Paris, France",2,18,308,apartment,500,485,2019
309,"Paris, France",4,10,102,house,0,55,2019
46,"Lisbon, Portugal",4,22,276,apartment,500,470,2019
122,"Madrid, Spain",2,23,65,unknown,600,262,2019
187,"Paris, France",0,13,312,unknown,600,7,2019
70,"Berlin, Germany",3,21,26,apartment,700,420,2018
173,"Paris, France",3,24,257,apartment,800,226,2019
142,"Paris, France",2,18,33,apartment,300,434,2018
103,"Paris, France",3,4,371,apartment,400,9,2018
15,"Berlin, Germany",3,16,267,none,10000000,145,2018
174,"Berlin, Germany",1,25,294,apartment,0,317,2019
107,"Rome, Italy",3,8,195,apartment,800,8,2019
352,"Lisbon, Portugal",5,3,5,apartment,800,316,2019
59,"Paris, France",4,10,283,apartment,0,214,2019
194,"Lisbon, Portugal",2,20,98,apartment,700,442,2018
122,"Madrid, Spain",2,23,65,unknown,600,182,2018
276,"Rome, Italy",1,2,103,apartment,700,395,2019
65,"Berlin, Germany",3,16,307,apartment,900,235,2019
323,"Paris, France",3,24,168,apartment,500,216,2019
38,"Lisbon, Portugal",4,14,214,apartment,800,128,2018
211,"Lisbon, Portugal",2,12,273,house,600,118,2018
243,"Paris, France",5,19,320,house,900,20,2019
338,"Lisbon, Portugal",4,14,121,apartment,10000000,293,2019
264,"Berlin, Germany",3,15,326,apartment,700,170,2019
226,"Rome, Italy",1,2,175,apartment,800,368,2019
155,"Madrid, Spain",3,6,14,apartment,500,389,2019
7,"Rome, Italy",3,8,112,apartment,400,243,2019
257,"Rome, Italy",3,8,349,apartment,500,251,2019
293,"Paris, France",5,19,150,none,500,450,2019
20,"Berlin, Germany",3,21,41,apartment,1000,155,2018
58,"Paris, France",5,9,99,unknown,900,44,2018
204,"Rome, Italy",3,5,4,house,800,336,2018
332,"Rome, Italy",3,8,199,none,1000,17,2018
129,"Rome, Italy",3,5,74,apartment,500,341,2018
31,"Madrid, Spain",1,7,28,house,700,370,2019
285,"Rome, Italy",2,11,82,unknown,500,146,2018
134,"Paris, France",4,10,284,apartment,600,419,2018
152,"Lisbon, Portugal",0,3,193,apartment,400,3,2018
214,"Berlin, Germany",3,15,304,apartment,500,356,2019
315,"Berlin, Germany",3,16,18,none,900,288,2019
352,"Lisbon, Portugal",5,3,5,apartment,800,66,2018
315,"Berlin, Germany",3,16,18,none,900,134,2018
17,"Paris, France",2,18,190,none,700,403,2018
196,"Lisbon, Portugal",4,22,313,apartment,600,271,2019
159,"Paris, France",4,10,309,none,400,68,2018
249,"Berlin, Germany",1,25,162,apartment,900,278,2019
78,"Paris, France",3,4,125,apartment,700,57,2018
66,"Rome, Italy",3,17,120,apartment,600,418,2018
36,"Lisbon, Portugal",2,12,264,unknown,800,211,2019
245,"Berlin, Germany",3,21,57,apartment,900,123,2019
16,"Rome, Italy",3,17,123,apartment,600,113,2019
190,"Berlin, Germany",3,16,149,none,500,391,2019
289,"Berlin, Germany",3,15,36,apartment,700,193,2019
318,"Paris, France",5,19,84,none,700,109,2019
229,"Rome, Italy",3,5,17,apartment,500,352,2019
27,"Lisbon, Portugal",5,3,244,house,600,263,2018
246,"Lisbon, Portugal",4,22,350,apartment,400,500,2019
225,"Berlin, Germany",2,1,37,apartment,500,430,2019
43,"Paris, France",5,19,347,apartment,0,314,2019
129,"Rome, Italy",3,5,74,apartment,500,250,2018
289,"Berlin, Germany",3,15,36,apartment,700,49,2019
260,"Rome, Italy",2,11,106,apartment,900,480,2018
49,"Berlin, Germany",1,25,39,apartment,900,325,2019
221,"Lisbon, Portugal",4,22,29,apartment,600,349,2018
339,"Berlin, Germany",3,15,83,apartment,900,435,2019
114,"Berlin, Germany",3,15,116,apartment,500,178,2019
308,"Paris, France",5,9,351,house,700,168,2018
111,"Lisbon, Portugal",2,12,219,apartment,600,24,2018
270,"Berlin, Germany",3,21,259,apartment,700,218,2019
186,"Lisbon, Portugal",2,12,335,none,300,154,2018
113,"Lisbon, Portugal",4,14,270,unknown,500,246,2019
245,"Berlin, Germany",3,21,57,apartment,900,91,2019
55,"Madrid, Spain",3,6,152,house,600,438,2018
25,"Berlin, Germany",2,1,21,unknown,10000000,455,2018
28,"Paris, France",3,4,27,apartment,600,120,2019
33,"Paris, France",5,9,73,apartment,700,133,2019
321,"Lisbon, Portugal",4,22,375,unknown,800,309,2019
109,"Paris, France",4,10,274,apartment,900,366,2019
316,"Rome, Italy",3,17,348,apartment,400,449,2019
57,"Rome, Italy",3,8,48,none,400,228,2018
241,"Rome, Italy",3,17,132,none,900,275,2018
76,"Rome, Italy",1,2,291,house,200,379,2019
209,"Paris, France",4,10,180,apartment,900,234,2018
135,"Rome, Italy",2,11,221,unknown,700,187,2019
170,"Berlin, Germany",3,21,233,none,10000000,339,2018
259,"Paris, France",4,10,225,apartment,600,344,2019
370,"Berlin, Germany",3,21,261,apartment,900,162,2019
346,"Lisbon, Portugal",4,22,9,apartment,600,297,2019
222,"Madrid, Spain",2,23,7,apartment,0,346,2019
88,"Lisbon, Portugal",4,14,263,apartment,800,474,2019
178,"Paris, France",3,4,119,apartment,400,132,2019
204,"Rome, Italy",3,5,4,house,800,259,2019
60,"Rome, Italy",2,11,76,apartment,800,452,2018
6,"Madrid, Spain",1,7,285,apartment,800,23,2018
152,"Lisbon, Portugal",0,3,193,apartment,400,3,2018
213,"Lisbon, Portugal",4,14,334,apartment,700,448,2019
344,"Lisbon, Portugal",0,20,87,apartment,400,1,2019
232,"Rome, Italy",3,8,209,unknown,900,323,2018
279,"Rome, Italy",3,5,271,unknown,300,221,2019
41,"Rome, Italy",3,17,24,apartment,500,51,2019
333,"Paris, France",5,9,170,apartment,600,19,2019
359,"Paris, France",4,10,93,apartment,500,381,2018
302,"Lisbon, Portugal",5,3,227,apartment,400,179,2018
151,"Rome, Italy",1,2,32,none,100,156,2019
182,"Rome, Italy",3,8,201,apartment,700,92,2019
146,"Lisbon, Portugal",4,22,134,apartment,0,361,2019
112,"Paris, France",2,13,66,unknown,700,328,2019
219,"Lisbon, Portugal",2,20,154,apartment,500,257,2019
6,"Madrid, Spain",1,7,285,apartment,800,23,2018
60,"Rome, Italy",2,11,76,apartment,800,84,2018
108,"Paris, France",5,9,1,apartment,700,402,2019
75,"Berlin, Germany",2,1,217,apartment,300,38,2019
25,"Berlin, Germany",2,1,21,unknown,10000000,177,2019
267,"Paris, France",2,18,325,apartment,600,11,2019
23,"Paris, France",3,24,67,apartment,1000,166,2018
326,"Rome, Italy",1,2,19,apartment,400,21,2019
70,"Berlin, Germany",3,21,26,apartment,700,378,2019
23,"Paris, France",3,24,67,apartment,1000,287,2018
283,"Paris, France",5,9,311,house,400,268,2019
110,"Rome, Italy",2,11,108,apartment,600,15,2019
167,"Paris, France",2,18,337,apartment,1000,43,2018
126,"Rome, Italy",1,2,136,apartment,300,280,2019
121,"Lisbon, Portugal",4,22,172,none,600,354,2018
328,"Paris, France",3,4,117,none,700,13,2018
317,"Paris, France",2,18,8,apartment,800,324,2019
265,"Berlin, Germany",3,16,372,apartment,600,416,2018
163,"Lisbon, Portugal",4,14,341,apartment,300,245,2018
130,"Madrid, Spain",3,6,141,apartment,400,244,2018
147,"Madrid, Spain",2,23,148,house,600,265,2018
266,"Rome, Italy",3,17,140,apartment,600,153,2019
311,"Lisbon, Portugal",2,12,139,apartment,500,439,2019
199,"Berlin, Germany",1,25,165,apartment,800,108,2019
90,"Berlin, Germany",3,16,245,house,500,408,2019
133,"Paris, France",5,9,55,unknown,500,198,2019
49,"Berlin, Germany",1,25,39,apartment,900,302,2019
51,"Rome, Italy",1,2,200,none,900,194,2018
102,"Lisbon, Portugal",5,3,2,apartment,700,457,2019
85,"Rome, Italy",2,11,53,apartment,700,174,2019
355,"Madrid, Spain",3,6,61,none,700,195,2018
348,"Paris, France",3,24,196,apartment,200,52,2019
120,"Berlin, Germany",3,21,91,apartment,600,299,2018
104,"Rome, Italy",3,5,107,unknown,600,252,2018
105,"Madrid, Spain",3,6,47,apartment,700,414,2019
372,"Madrid, Spain",2,23,249,house,600,313,2018
5,"Madrid, Spain",3,6,113,none,500,87,2019
260,"Rome, Italy",2,11,106,apartment,900,486,2018
368,"Paris, France",5,19,357,unknown,400,40,2019
99,"Berlin, Germany",1,25,63,apartment,400,380,2019
254,"Rome, Italy",3,5,79,house,900,425,2018
4,"Rome, Italy",3,5,45,apartment,500,466,2018
153,"Paris, France",3,4,71,unknown,100,490,2018
86,"Lisbon, Portugal",2,12,147,apartment,700,279,2019
116,"Rome, Italy",3,17,105,none,300,348,2019
101,"Rome, Italy",1,2,77,apartment,600,18,2018
169,"Lisbon, Portugal",2,20,72,apartment,900,98,2018
54,"Rome, Italy",3,5,118,apartment,800,286,2019
87,"Paris, France",2,13,85,apartment,1000,392,2018
89,"Berlin, Germany",3,15,35,none,700,37,2019
299,"Berlin, Germany",1,25,295,apartment,600,260,2019
79,"Rome, Italy",3,5,109,none,500,112,2018
187,"Paris, France",0,13,312,unknown,600,7,2019
89,"Berlin, Germany",3,15,35,none,700,41,2019
357,"Rome, Italy",3,8,239,apartment,900,48,2019
334,"Paris, France",4,10,42,apartment,500,494,2018
363,"Lisbon, Portugal",4,14,340,apartment,700,497,2019
339,"Berlin, Germany",3,15,83,apartment,900,487,2019
327,"Lisbon, Portugal",5,3,235,house,900,236,2018
29,"Rome, Italy",3,5,232,house,800,56,2019
35,"Rome, Italy",2,11,142,apartment,600,447,2018
8,"Paris, France",5,9,288,apartment,800,488,2018
326,"Rome, Italy",1,2,19,apartment,400,21,2019
354,"Rome, Italy",3,5,229,apartment,700,399,2018
123,"Paris, France",3,24,34,apartment,700,444,2019
56,"Madrid, Spain",1,7,158,apartment,400,426,2019
156,"Madrid, Spain",1,7,16,apartment,0,110,2019
158,"Paris, France",5,9,301,apartment,500,360,2019
332,"Rome, Italy",3,8,199,none,1000,17,2018
139,"Berlin, Germany",3,15,260,apartment,0,121,2018
194,"Lisbon, Portugal",2,20,98,apartment,700,267,2018
13,"Lisbon, Portugal",4,14,338,apartment,0,34,2018
300,"Berlin, Germany",2,1,68,apartment,700,164,2019
322,"Madrid, Spain",2,23,114,apartment,1000,199,2018
116,"Rome, Italy",3,17,105,none,300,76,2019
335,"Rome, Italy",2,11,186,apartment,800,239,2018
133,"Paris, France",5,9,55,unknown,500,468,2018
292,"Paris, France",2,18,332,apartment,800,78,2019
110,"Rome, Italy",2,11,108,apartment,600,15,2019
114,"Berlin, Germany",3,15,116,apartment,500,467,2018
52,"Lisbon, Portugal",5,3,343,apartment,600,202,2019
142,"Paris, France",2,18,33,apartment,300,82,2019
149,"Berlin, Germany",1,25,31,house,800,116,2018
272,"Madrid, Spain",2,23,319,apartment,600,296,2019
347,"Madrid, Spain",2,23,43,apartment,700,181,2018
218,"Paris, France",5,19,70,apartment,500,25,2019
50,"Berlin, Germany",2,1,218,none,600,491,2018
324,"Berlin, Germany",1,25,51,house,300,443,2018
19,"Lisbon, Portugal",2,20,359,apartment,400,102,2019
364,"Berlin, Germany",3,15,281,apartment,500,334,2018
242,"Paris, France",2,18,69,none,400,342,2019
227,"Lisbon, Portugal",5,3,222,apartment,600,465,2019
176,"Rome, Italy",1,2,50,none,700,446,2018
171,"Lisbon, Portugal",4,22,247,apartment,700,224,2019
365,"Berlin, Germany",3,16,59,apartment,0,310,2019
41,"Rome, Italy",3,17,24,apartment,500,99,2019
366,"Rome, Italy",3,17,11,apartment,700,456,2018
33,"Paris, France",5,9,73,apartment,700,388,2018
342,"Paris, France",2,18,12,apartment,600,30,2018
298,"Paris, France",3,24,224,apartment,900,31,2018
322,"Madrid, Spain",2,23,114,apartment,1000,471,2018
338,"Lisbon, Portugal",4,14,121,apartment,10000000,205,2019
165,"Berlin, Germany",3,16,299,none,700,329,2018
203,"Paris, France",3,4,370,none,600,459,2019
103,"Paris, France",3,4,371,apartment,400,9,2018
369,"Lisbon, Portugal",2,20,15,apartment,800,150,2018
4,"Rome, Italy",3,5,45,apartment,500,96,2018
242,"Paris, France",2,18,69,none,400,248,2019
39,"Berlin, Germany",3,15,10,house,700,152,2018
280,"Madrid, Spain",3,6,52,none,600,142,2018
248,"Paris, France",3,24,164,apartment,600,451,2019
141,"Rome, Italy",3,17,94,apartment,500,483,2018
96,"Lisbon, Portugal",4,22,202,apartment,300,79,2018
361,"Lisbon, Portugal",2,12,6,apartment,500,59,2018
120,"Berlin, Germany",3,21,91,apartment,600,291,2019
124,"Berlin, Germany",1,25,206,apartment,400,71,2019
82,"Rome, Italy",3,8,13,apartment,700,396,2018
255,"Madrid, Spain",3,6,255,apartment,900,54,2018
291,"Rome, Italy",3,17,75,apartment,600,136,2019
313,"Lisbon, Portugal",4,14,101,apartment,500,149,2019
303,"Paris, France",3,4,272,apartment,900,331,2019
269,"Lisbon, Portugal",2,20,49,apartment,900,492,2019
373,"Paris, France",3,24,183,apartment,600,256,2018
267,"Paris, France",2,18,325,apartment,600,11,2019
31,"Madrid, Spain",1,7,28,house,700,253,2018
61,"Lisbon, Portugal",2,12,234,apartment,400,412,2018
220,"Berlin, Germany",3,21,171,apartment,700,409,2019
175,"Berlin, Germany",2,1,322,apartment,600,390,2019
77,"Lisbon, Portugal",5,3,282,house,600,35,2018
179,"Rome, Italy",3,5,60,apartment,700,422,2018
201,"Rome, Italy",1,2,191,apartment,0,415,2019
169,"Lisbon, Portugal",2,20,72,apartment,900,394,2019
141,"Rome, Italy",3,17,94,apartment,500,321,2019
358,"Paris, France",5,9,266,none,700,75,2019
20,"Berlin, Germany",3,21,41,apartment,1000,86,2019
115,"Berlin, Germany",3,16,353,apartment,600,69,2018
117,"Paris, France",0,18,90,apartment,600,4,2019
344,"Lisbon, Portugal",0,20,87,apartment,400,1,2019
269,"Lisbon, Portugal",2,20,49,apartment,900,249,2019
176,"Rome, Italy",1,2,50,none,700,315,2018
296,"Lisbon, Portugal",4,22,300,apartment,700,330,2018
258,"Paris, France",5,9,159,apartment,500,209,2018
329,"Rome, Italy",3,5,230,apartment,900,107,2018
310,"Rome, Italy",2,11,44,house,500,77,2018
346,"Lisbon, Portugal",4,22,9,apartment,600,437,2019
318,"Paris, France",5,19,84,none,700,144,2019
148,"Paris, France",3,24,96,apartment,0,367,2019
240,"Berlin, Germany",3,16,251,apartment,600,427,2018
300,"Berlin, Germany",2,1,68,apartment,700,165,2018
218,"Paris, France",5,19,70,apartment,500,298,2018
164,"Berlin, Germany",3,15,302,apartment,600,65,2018
189,"Berlin, Germany",3,15,293,none,1000,429,2018
161,"Lisbon, Portugal",2,12,189,apartment,700,285,2019
112,"Paris, France",2,13,66,unknown,700,383,2018
287,"Paris, France",2,13,327,apartment,1100,319,2019
200,"Berlin, Germany",2,1,126,apartment,700,355,2019
216,"Rome, Italy",3,17,129,none,600,135,2019
278,"Paris, France",3,4,92,apartment,700,207,2019
288,"Lisbon, Portugal",4,14,62,apartment,400,73,2018
274,"Berlin, Germany",1,25,80,apartment,600,148,2019
191,"Rome, Italy",3,17,46,apartment,400,327,2019
280,"Madrid, Spain",3,6,52,none,600,481,2018
207,"Rome, Italy",3,8,181,apartment,600,196,2019
208,"Paris, France",5,9,133,apartment,600,157,2019
268,"Paris, France",5,19,368,apartment,400,498,2019
305,"Madrid, Spain",3,6,317,apartment,400,386,2018
223,"Paris, France",3,24,211,apartment,500,269,2019
140,"Berlin, Germany",3,16,185,house,600,369,2018
225,"Berlin, Germany",2,1,37,apartment,500,428,2018
314,"Berlin, Germany",3,15,155,apartment,600,22,2018
39,"Berlin, Germany",3,15,10,house,700,53,2018
71,"Lisbon, Portugal",4,22,100,apartment,200,104,2019
145,"Berlin, Germany",3,21,310,apartment,800,242,2019
106,"Madrid, Spain",1,7,23,apartment,700,398,2019
2,"Lisbon, Portugal",5,3,364,house,200,58,2019
281,"Madrid, Spain",1,7,331,unknown,900,60,2019
238,"Lisbon, Portugal",4,14,56,apartment,900,264,2019
148,"Paris, France",3,24,96,apartment,0,213,2019
42,"Paris, France",2,18,110,apartment,500,382,2019
177,"Lisbon, Portugal",5,3,362,apartment,500,312,2019
230,"Madrid, Spain",3,6,205,apartment,800,400,2018
251,"Rome, Italy",1,2,86,apartment,700,362,2018
87,"Paris, France",2,13,85,apartment,1000,90,2018
144,"Lisbon, Portugal",2,20,356,apartment,1000,393,2018
0,"Berlin, Germany",2,1,187,house,0,10,2018
101,"Rome, Italy",1,2,77,apartment,600,18,2018
