date,customers
2013-10-13,1403
2013-10-14,1432
2013-10-15,1274
2013-10-16,1483
2013-10-17,1303
2013-10-18,1319
2013-10-19,1503
2013-10-20,1441
2013-10-21,1444
2013-10-22,1266
2013-10-23,1306
2013-10-24,1227
2013-10-25,1282
2013-10-26,1391
2013-10-27,1239
2013-10-28,1418
2013-10-29,1330
2013-10-30,1318
2013-10-31,1419
2013-11-01,1459
2013-11-02,1562
2013-11-03,1479
2013-11-04,1502
2013-11-05,1375
2013-11-06,1400
2013-11-07,1356
2013-11-08,1420
2013-11-09,1560
2013-11-10,1478
2013-11-11,1475
2013-11-12,1387
2013-11-13,1387
2013-11-14,1221
2013-11-15,1404
2013-11-16,1612
2013-11-17,1532
2013-11-18,1476
2013-11-19,1362
2013-11-20,1440
2013-11-21,1279
2013-11-22,1375
2013-11-23,1530
2013-11-24,1476
2013-11-25,1310
2013-11-26,1254
2013-11-27,1098
2013-11-28,1152
2013-11-29,1290
2013-11-30,1454
2013-12-01,1614
2013-12-02,1441
2013-12-03,1354
2013-12-04,1362
2013-12-05,1371
2013-12-06,1519
2013-12-07,1605
2013-12-08,1531
2013-12-09,1463
2013-12-10,1370
2013-12-11,1408
2013-12-12,1410
2013-12-13,1623
2013-12-14,1720
2013-12-15,1633
2013-12-16,1793
2013-12-17,1727
2013-12-18,1996
2013-12-19,1986
2013-12-20,2059
2013-12-21,2222
2013-12-22,2086
2013-12-23,3045
2013-12-24,3316
2013-12-26,1745
2013-12-27,2068
2013-12-28,1983
2013-12-29,1642
2013-12-30,2453
2013-12-31,2602
2014-01-02,1807
2014-01-03,1709
2014-01-04,1783
2014-01-05,1669
2014-01-06,1440
2014-01-07,1432
2014-01-08,1414
2014-01-09,1340
2014-01-10,1359
2014-01-11,1579
2014-01-12,1463
2014-01-13,1373
2014-01-14,1374
2014-01-15,1374
2014-01-16,1379
2014-01-17,1447
2014-01-18,1544
2014-01-19,1468
2014-01-20,1497
2014-01-21,1372
2014-01-22,1303
2014-01-23,1355
2014-01-24,1369
2014-01-25,1478
2014-01-26,1400
2014-01-27,1470
2014-01-28,1315
2014-01-29,1371
2014-01-30,1257
2014-01-31,1420
2014-02-01,1778
2014-02-02,1640
2014-02-03,1507
2014-02-04,1524
2014-02-05,1523
2014-02-06,1385
2014-02-07,1465
2014-02-08,1654
2014-02-09,1497
2014-02-10,1523
2014-02-11,1422
2014-02-12,1444
2014-02-13,1584
2014-02-14,2093
2014-02-15,1530
2014-02-16,1465
2014-02-17,1526
2014-02-18,1413
2014-02-19,1355
2014-02-20,1286
2014-02-21,1412
2014-02-22,1483
2014-02-23,1333
2014-02-24,1517
2014-02-25,1283
2014-02-26,1399
2014-02-27,1358
2014-02-28,1448
2014-03-01,1713
2014-03-02,1265
2014-03-03,1052
2014-03-04,994
2014-03-05,1771
2014-03-06,1618
2014-03-07,1563
2014-03-08,1628
2014-03-09,1439
2014-03-10,1488
2014-03-11,1417
2014-03-12,1429
2014-03-13,1506
2014-03-14,1485
2014-03-15,1574
2014-03-16,1435
2014-03-17,1626
2014-03-18,1434
2014-03-19,1466
2014-03-20,1379
2014-03-21,1445
2014-03-22,1509
2014-03-23,1327
2014-03-24,1329
2014-03-25,1407
2014-03-26,1433
2014-03-27,1329
2014-03-28,1400
2014-03-29,1540
2014-03-30,1446
2014-03-31,1542
2014-04-01,1433
2014-04-02,1468
2014-04-03,1486
2014-04-04,1319
2014-04-05,1415
2014-04-06,1469
2014-04-07,1363
2014-04-08,1285
2014-04-09,1288
2014-04-10,1265
2014-04-11,1323
2014-04-12,1426
2014-04-13,1260
2014-04-14,1440
2014-04-15,1377
2014-04-16,1533
2014-04-17,1710
2014-04-18,1306
2014-04-19,1483
2014-04-20,1356
2014-04-21,1509
2014-04-22,1372
2014-04-23,1553
2014-04-24,1274
2014-04-25,1277
2014-04-26,1511
2014-04-27,1224
2014-04-28,1314
2014-04-29,1278
2014-04-30,1467
2014-05-01,1441
2014-05-02,1525
2014-05-03,1709
2014-05-04,1516
2014-05-05,1586
2014-05-06,1553
2014-05-07,1460
2014-05-08,1403
2014-05-09,1469
2014-05-10,2059
2014-05-11,1788
2014-05-12,1561
2014-05-13,1359
2014-05-14,1409
2014-05-15,1342
2014-05-16,1444
2014-05-17,1638
2014-05-18,1622
2014-05-19,1417
2014-05-20,1336
2014-05-21,1312
2014-05-22,1303
2014-05-23,1358
2014-05-24,1510
2014-05-25,1587
2014-05-26,1291
2014-05-27,1306
2014-05-28,1425
2014-05-29,1461
2014-05-30,1410
2014-05-31,1670
2014-06-01,1832
2014-06-02,1666
2014-06-03,1519
2014-06-04,1503
2014-06-05,1362
2014-06-06,1438
2014-06-07,1671
2014-06-08,1543
2014-06-09,1504
2014-06-10,1325
2014-06-11,1448
2014-06-12,1319
2014-06-13,1457
2014-06-14,1797
2014-06-15,1406
2014-06-16,1480
2014-06-17,1445
2014-06-18,1431
2014-06-19,1255
2014-06-20,1393
2014-06-21,1374
2014-06-22,1455
2014-06-23,1433
2014-06-24,1344
2014-06-25,1370
2014-06-26,1266
2014-06-27,1266
2014-06-28,1410
2014-06-29,1282
2014-06-30,1452
2014-07-01,1480
2014-07-02,1450
2014-07-03,1142
2014-07-04,1484
2014-07-05,1610
2014-07-06,1508
2014-07-07,1643
2014-07-08,1394
2014-07-09,1408
2014-07-10,1355
2014-07-11,1526
2014-07-12,1627
2014-07-13,1421
2014-07-14,1466
2014-07-15,1503
2014-07-16,1449
2014-07-17,1338
2014-07-18,1514
2014-07-19,1502
2014-07-20,1385
2014-07-21,1472
2014-07-22,1378
2014-07-23,1392
2014-07-24,1395
2014-07-25,1453
2014-07-26,1568
2014-07-27,1398
2014-07-28,1464
2014-07-29,1344
2014-07-30,1423
2014-07-31,1409
2014-08-01,1666
2014-08-02,1756
2014-08-03,1586
2014-08-04,1552
2014-08-05,1468
2014-08-06,1542
2014-08-07,1330
2014-08-08,1540
2014-08-09,1586
2014-08-10,1474
2014-08-11,1598
2014-08-12,1483
2014-08-13,1466
2014-08-14,1439
2014-08-15,1548
2014-08-16,1595
2014-08-17,1563
2014-08-18,1622
2014-08-19,1458
2014-08-20,1524
2014-08-21,1373
2014-08-22,1428
2014-08-23,1536
2014-08-24,1437
2014-08-25,1504
2014-08-26,1284
2014-08-27,1413
2014-08-28,1312
2014-08-29,1505
2014-08-30,1633
2014-08-31,1596
2014-09-01,1579
2014-09-02,1526
2014-09-03,1564
2014-09-04,1385
2014-09-05,1506
2014-09-06,1619
2014-09-07,1554
2014-09-08,1578
2014-09-09,1460
2014-09-10,1496
2014-09-11,1441
2014-09-12,1459
2014-09-13,1553
2014-09-14,1398
2014-09-15,1627
2014-09-16,1478
2014-09-17,1401
2014-09-18,1374
2014-09-19,1457
2014-09-20,1573
2014-09-21,1501
2014-09-22,1470
2014-09-23,1331
2014-09-24,1424
2014-09-25,1357
2014-09-26,1419
2014-09-27,1411
2014-09-28,1330
2014-09-29,1379
2014-09-30,1347
2014-10-01,1478
2014-10-02,1391
2014-10-03,1580
2014-10-04,1433
2014-10-05,1270
2014-10-06,1489
2014-10-07,1408
2014-10-08,1409
2014-10-09,1362
2014-10-10,1377
2014-10-11,1408
2014-10-12,1353
2014-10-13,1595
2014-10-14,1377
2014-10-15,1549
2014-10-16,1401
2014-10-17,1496
2014-10-18,1549
2014-10-19,1543
2014-10-20,1567
2014-10-21,1371
2014-10-22,1408
2014-10-23,1348
2014-10-24,1370
2014-10-25,1587
2014-10-26,1395
2014-10-27,1480
2014-10-28,1433
2014-10-29,1421
2014-10-30,1341
2014-10-31,1524
2014-11-01,1717
2014-11-02,1317
2014-11-03,1443
2014-11-04,1514
2014-11-05,1546
2014-11-06,1324
2014-11-07,1358
2014-11-08,1489
2014-11-09,1457
2014-11-10,1562
2014-11-11,1462
2014-11-12,1443
2014-11-13,1370
2014-11-14,1446
2014-11-15,1629
2014-11-16,1522
2014-11-17,1504
2014-11-18,1452
2014-11-19,1341
2014-11-20,1341
2014-11-21,1410
2014-11-22,1557
2014-11-23,1423
2014-11-24,1367
2014-11-25,1298
2014-11-26,1360
2014-11-27,1373
2014-11-28,1406
2014-11-29,1623
2014-11-30,1591
2014-12-01,1561
2014-12-02,1629
2014-12-03,1602
2014-12-04,1472
2014-12-05,1588
2014-12-06,1628
2014-12-07,1561
2014-12-08,1592
2014-12-09,1485
2014-12-10,1601
2014-12-11,1490
2014-12-12,1692
2014-12-13,1799
2014-12-14,1764
2014-12-15,1854
2014-12-16,1801
2014-12-17,1898
2014-12-18,1873
2014-12-19,1970
2014-12-20,2150
2014-12-21,2064
2014-12-22,2664
2014-12-23,3018
2014-12-24,3468
2014-12-26,2085
2014-12-27,1838
2014-12-28,1592
2014-12-29,2127
2014-12-30,2246
2014-12-31,2792
2015-01-02,1772
2015-01-03,1642
2015-01-04,1638
2015-01-05,1811
2015-01-06,1621
2015-01-07,1677
2015-01-08,1453
2015-01-09,1510
2015-01-10,1645
2015-01-11,1582
2015-01-12,1498
2015-01-13,1515
2015-01-14,1416
2015-01-15,1469
2015-01-16,1484
2015-01-17,1662
2015-01-18,1515
2015-01-19,1606
2015-01-20,1482
2015-01-21,1526
2015-01-22,1384
2015-01-23,1506
2015-01-24,1558
2015-01-25,1446
2015-01-26,1494
2015-01-27,1263
2015-01-28,1343
2015-01-29,1389
2015-01-30,1490
2015-01-31,1624
2015-02-01,1602
2015-02-02,1624
2015-02-03,1541
2015-02-04,1463
2015-02-05,1406
2015-02-06,1559
2015-02-07,1587
2015-02-08,1412
2015-02-09,1541
2015-02-10,1482
2015-02-11,1498
2015-02-12,1596
2015-02-13,1872
2015-02-14,2072
2015-02-15,1176
2015-02-16,979
2015-02-17,1030
2015-02-18,1783
2015-02-19,1525
2015-02-20,1655
2015-02-21,1463
2015-02-22,1522
2015-02-23,1499
2015-02-24,1329
2015-02-25,1386
2015-02-26,1271
2015-02-27,1578
2015-02-28,1632
2015-03-01,1560
2015-03-02,1608
2015-03-03,1550
2015-03-04,1592
2015-03-05,1435
2015-03-06,1535
2015-03-07,1639
2015-03-08,1425
2015-03-09,1638
2015-03-10,1579
2015-03-11,1546
2015-03-12,1380
2015-03-13,1564
2015-03-14,1567
2015-03-15,1390
2015-03-16,1652
2015-03-17,1460
2015-03-18,1501
2015-03-19,1419
2015-03-20,1496
2015-03-21,1499
2015-03-22,1322
2015-03-23,1481
2015-03-24,1365
2015-03-25,1444
2015-03-26,1332
2015-03-27,1465
2015-03-28,1498
2015-03-29,1339
2015-03-30,1501
2015-03-31,1447
2015-04-01,1496
2015-04-02,1675
2015-04-03,1207
2015-04-04,1505
2015-04-05,1350
2015-04-06,1695
2015-04-07,1484
2015-04-08,1576
2015-04-09,1327
2015-04-10,1477
2015-04-11,1366
2015-04-12,1350
2015-04-13,1460
2015-04-14,1335
2015-04-15,1449
2015-04-16,1329
2015-04-17,1347
2015-04-18,1461
2015-04-19,1417
2015-04-20,1521
2015-04-21,1317
2015-04-22,1367
2015-04-23,1297
2015-04-24,1418
2015-04-25,1453
2015-04-26,1187
2015-04-27,1393
2015-04-28,1313
2015-04-29,1305
2015-04-30,1327
2015-05-01,1518
2015-05-02,1660
2015-05-03,1486
2015-05-04,1526
2015-05-05,1517
2015-05-06,1551
2015-05-07,1434
2015-05-08,1641
2015-05-09,1986
2015-05-10,1775
2015-05-11,1579
2015-05-12,1438
2015-05-13,1334
2015-05-14,1230
2015-05-15,1444
2015-05-16,1536
2015-05-17,1508
2015-05-18,1469
2015-05-19,1418
2015-05-20,1461
2015-05-21,1385
2015-05-22,1411
2015-05-23,1568
2015-05-24,1429
2015-05-25,1456
2015-05-26,1334
2015-05-27,1397
2015-05-28,1287
2015-05-29,1510
2015-05-30,1671
2015-05-31,1792
2015-06-01,1688
2015-06-02,1549
2015-06-03,1596
2015-06-04,1406
2015-06-05,1508
2015-06-06,1569
2015-06-07,1534
2015-06-08,1570
2015-06-09,1488
2015-06-10,1524
2015-06-11,1363
2015-06-12,1490
2015-06-13,1529
2015-06-14,1412
2015-06-15,1502
2015-06-16,1394
2015-06-17,1485
2015-06-18,1450
2015-06-19,1456
2015-06-20,1788
2015-06-21,1539
2015-06-22,1482
2015-06-23,1398
2015-06-24,1408
2015-06-25,1248
2015-06-26,1311
2015-06-27,1566
2015-06-28,1179
2015-06-29,1403
2015-06-30,1393
2015-07-01,1517
2015-07-02,1357
2015-07-03,1197
2015-07-04,1518
2015-07-05,1400
2015-07-06,1655
2015-07-07,1404
2015-07-08,1530
2015-07-09,1498
2015-07-10,1496
2015-07-11,1569
2015-07-12,1526
2015-07-13,1506
2015-07-14,1455
2015-07-15,1479
2015-07-16,1441
2015-07-17,1474
2015-07-18,1568
2015-07-19,1436
2015-07-20,1527
2015-07-21,1410
2015-07-22,1446
2015-07-23,1330
2015-07-24,1282
2015-07-25,1342
2015-07-26,1249
2015-07-27,1204
2015-07-28,1188
2015-07-29,1303
2015-07-30,1159
2015-07-31,1368
2015-08-01,1538
2015-08-02,1348
2015-08-03,1454
2015-08-04,1319
2015-08-05,1476
2015-08-06,1248
2015-08-07,1419
2015-08-08,1455
2015-08-09,1104
2015-08-10,1126
2015-08-11,1342
2015-08-12,1365
2015-08-13,1217
2015-08-14,1452
2015-08-15,1468
2015-08-16,1299
2015-08-17,1427
2015-08-18,1316
2015-08-19,1399
2015-08-20,1325
2015-08-21,1398
2015-08-22,1316
2015-08-23,1153
2015-08-24,1419
2015-08-25,1246
2015-08-26,1322
2015-08-27,1192
2015-08-28,1338
2015-08-29,1462
2015-08-30,1195
2015-08-31,1359
2015-09-01,1303
2015-09-02,1408
2015-09-03,1335
2015-09-04,1373
2015-09-05,1483
2015-09-06,1124
2015-09-07,1388
2015-09-08,1388
2015-09-09,1311
2015-09-10,1259
2015-09-11,1281
2015-09-12,1401
2015-09-13,1135
2015-09-14,1405
2015-09-15,1231
2015-09-16,1312
2015-09-17,1279
2015-09-18,1353
2015-09-19,1332
2015-09-20,1162
2015-09-21,1297
2015-09-22,1247
2015-09-23,1335
2015-09-24,1152
2015-09-25,1251
2015-09-26,1398
2015-09-27,1183
2015-09-28,1282
2015-09-29,1175
2015-09-30,1266
2015-10-01,1437
2015-10-02,1474
2015-10-03,1370
2015-10-04,1299
2015-10-05,1377
2015-10-06,1216
2015-10-07,1301
2015-10-08,1295
2015-10-09,1233
2015-10-10,1275
2015-10-11,1092
2015-10-12,1314
2015-10-13,1184
2015-10-14,1296
2015-10-15,1188
2015-10-16,1354
2015-10-17,1309
2015-10-18,1138
2015-10-19,1406
2015-10-20,1229
2015-10-21,1316
2015-10-22,1165
2015-10-23,1248
2015-10-24,1260
2015-10-25,1244
2015-10-26,1244
2015-10-27,1120
2015-10-28,1196
2015-10-29,1193
2015-10-30,1356
2015-10-31,1418
2015-11-01,1143
2015-11-02,1118
2015-11-03,1249
2015-11-04,1478
2015-11-05,1303
2015-11-06,1242
2015-11-07,1180
2015-11-08,1218
2015-11-09,1372
2015-11-10,1214
2015-11-11,1294
2015-11-12,1179
2015-11-13,1308
2015-11-14,1277
2015-11-15,1256
2015-11-16,1365
2015-11-17,1142
2015-11-18,1357
2015-11-19,1263
2015-11-20,1432
2015-11-21,1277
2015-11-22,1234
2015-11-23,1264
2015-11-24,1215
2015-11-25,1254
2015-11-26,1177
2015-11-27,1424
2015-11-28,1363
2015-11-29,1202
2015-11-30,1304
2015-12-01,1386
2015-12-02,1420
2015-12-03,1336
2015-12-04,1450
2015-12-05,1473
2015-12-06,1312
2015-12-07,1446
2015-12-08,1297
2015-12-09,1296
2015-12-10,1334
2015-12-11,1461
2015-12-12,1383
2015-12-13,1328
2015-12-14,1441
2015-12-15,1132
2015-12-16,1441
2015-12-17,1529
2015-12-18,1615
2015-12-19,1903
2015-12-20,1657
2015-12-21,2017
2015-12-22,2348
2015-12-23,2727
2015-12-24,3069
2015-12-26,1661
2015-12-27,1290
2015-12-28,1746
2015-12-29,1712
2015-12-30,2188
2015-12-31,2185
