User-ID,Location,Age
559,"pulaski, virginia, usa",
566,"springfield, illinois, usa",
567,"spokane, washington, usa",
569,"lahore, punjab, pakistan",28.0
585,"milano, lombardia, italy",
595,"hollywood, florida, usa",17.0
596,"san francisco, california, usa",49.0
618,"providence, rhode island, usa",
619,"long beach, mississippi, usa",
620,"toronto, ontario, canada",45.0
625,"marseille, provence, france",41.0
626,"graz, steiermark, austria",41.0
628,"berlin, berlin, germany",
638,"san diego, california, usa",20.0
640,"scotch village, nova scotia, canada",
641,"portland, oregon, usa",
643,"grenoble, rhone-alpes, france",23.0
645,"ottawa, ontario, canada",
649,"san diego, california, usa",
650,"santa cruz, california, usa",
651,"interlachen, florida, usa",26.0
657,"chattanooga, tennessee, usa",
683,"union, illinois, usa",28.0
685,"stevens point, wisconsin, usa",21.0
695,"alphen aan den rijn, zuid holland, netherlands",
698,"palo alto, california, usa",
701,"mountain view, california, usa",31.0
707,"san antonio, texas, usa",
708,"duluth, minnesota, usa",
709,"roanoke, virginia, usa",14.0
711,"oxford, england, united kingdom",27.0
712,"pratteln, baselland, switzerland",29.0
714,"austin, texas, usa",
724,"jamestown, california, usa",
726,"eatontown, new jersey, usa",31.0
728,"welsh, louisiana, usa",
730,"albuquerque, new mexico,",69.0
735,"cortland, new york, usa",29.0
736,"trebur, hessen, germany",34.0
737,"albuquerque, new mexico, usa",
741,"novinger, missouri, usa",16.0
743,"moraga, california, usa",
744,"ocala, florida, usa",48.0
746,"longmont, colorado, usa",36.0
753,"stockton, california, usa",
757,"philadelphia, pennsylvania, usa",29.0
758,"duesseldorf, n/a, germany",
765,"york, pennsylvania, usa",
767,"omaha, nebr,",43.0
769,"birmingham, alabama, usa",
771,"ft. sill, oklahoma, usa",38.0
776,"auckland, n/a, new zealand",23.0
777,"portland, ,",13.0
778,"bradenton, florida, usa",
780,"woodland hills, california, usa",
786,"panhandle, texas, usa",48.0
790,"chilliwack, british columbia, canada",
805,"sonoma, california, usa",34.0
809,"commack, new york, usa",36.0
811,"zurich, n/a, switzerland",34.0
818,"selangor, southeast asia, malaysia",
819,"deer park, new york, usa",
824,"albuquerque, new mexico, usa",15.0
827,"mason city, iowa, usa",
828,"albuquerque, new mexico, usa",35.0
834,"rockville, maryland, usa",17.0
843,"deer lodge, tennessee, usa",25.0
850,"bremen, bremen, germany",22.0
853,"chesterfield, michigan, usa",24.0
861,"san francisco, california, usa",
876,"hanover, massachusetts, usa",33.0
878,"douglasville, georgia, usa",
882,"berkeley, california, usa",23.0
883,"brookfield, connecticut, usa",43.0
885,"jacksonville, texas, usa",
886,"bozeman, montana, usa",
887,"castaic, california, usa",30.0
899,"bielefeld, nordrhein-westfalen, germany",23.0
900,"scranton, pennsylvania, usa",25.0
901,"worcester, worcestershire, united kingdom",21.0
903,"los angeles, california, usa",19.0
914,"griesheim, hessen, germany",51.0
915,"humble, texas, usa",50.0
921,"osnabrück, niedersachsen, germany",
929,"king of prussia, ,",36.0
938,"calgary, alberta, canada",55.0
941,"bend, oregon, usa",
955,"harrisburg, ,",
965,"las cruces, new mexico, usa",24.0
969,"river forest, illinois, usa",13.0
970,"sydney, new south wales, australia",15.0
973,"eugene, oregon, usa",
981,"new york, new york, usa",
986,"alexandria, virginia, usa",
989,"san antonio, texas, usa",33.0
996,"bellefonte, pennsylvania, usa",
999,"newark, delaware, usa",21.0
1007,"schaumburg, illinois, usa",16.0
1008,"boston, massachusetts, usa",
1009,"delano, minnesota, usa",56.0
1011,"vancouver, british columbia, canada",52.0
1012,"covington, louisiana, usa",
1017,"lüneburg, niedersachsen, germany",35.0
1019,"san diego, california, usa",
1021,"rowland, north carolina, usa",
1022,"newport news, virginia, usa",
1024,"charles town, west virginia, usa",
1025,"maidstone, england, united kingdom",33.0
1031,"sparks, maryland, usa",52.0
1032,"lockhart, texas, usa",
1048,"oakville, ontario, canada",22.0
1054,"burnsville, minnesota, usa",37.0
1057,"norwich, norfolk, united kingdom",19.0
1063,"edmonton, alberta, canada",19.0
1075,"hurst, texas, usa",49.0
1082,"rochester, washington, usa",36.0
1083,"newport news, virginia, usa",
1084,"mt vernon, illinois, usa",
1087,"birmingham, alabama, usa",46.0
1093,"needham, massachusetts, usa",
1094,"largo, florida, usa",18.0
1095,"hennef, nrw, germany",
1096,"arvada, colorado, usa",18.0
1098,"astoria, new york, usa",
1100,"saskatoon, saskatchewan, canada",24.0
1111,"london, ontario, canada",
1113,"richmond, missouri, usa",22.0
1116,"calgary, alberta, canada",29.0
1118,"cleveland, , usa",
1123,"lasalle, quebec, canada",23.0
1124,"brooklyn, new york, usa",
1129,"bothell, washington, usa",53.0
1131,"berkeley, ,",22.0
1133,"kingswood, south australia, australia",46.0
1138,"ann arbor, michigan, usa",
1140,"bridgewater, new jersey, usa",19.0
1150,"jericho, vermont, usa",25.0
1155,"smyrna, georgia, usa",22.0
1161,"brier, washington, usa",
1164,"woburn, massachusetts, usa",35.0
1166,"nantes, loire-atlantique, france",22.0
1167,"milwaukee, wisconsin, usa",25.0
1168,"bergisch gladbach ( bensberg), nordrhein-westfalen, germany",20.0
1169,"olympia, washington, usa",27.0
1170,"wauwatosa, wisconsin, usa",17.0
1178,"heidelberg, baden-wuerttemberg, germany",9.0
1180,"storrs, connecticut, usa",23.0
1184,"la mirada, california, usa",38.0
1189,"nürnberg, bayern, germany",39.0
1192,"klang, selangor, malaysia",27.0
1200,"westfield, new jersey, usa",
1211,"rennes, bretagne, france",22.0
1214,"speicher, rheinland-pfalz, germany",30.0
1223,"orlando, florida, usa",
1231,"christchurch, n/a, new zealand",13.0
1233,"ravenna, emilia romagna, italy",27.0
1234,"barbera del valles, barcelona, spain",25.0
1235,"salt spring island, british columbia, canada",
1238,"christchurch, canterbury, new zealand",42.0
1248,"dixon, california, usa",
1249,"surrey, british columbia, canada",
1250,"arlington, virginia, usa",44.0
1252,"la, california, usa",
1254,"16605 bennington ct, indiana, usa",26.0
1258,"st. paul, minnesota, usa",18.0
1261,"el paso, texas, usa",46.0
1264,"antelope, california, usa",
1266,"island lake il., illinois, usa",19.0
1267,"salem, oregon, usa",
1270,"hartford, connecticut, usa",33.0
1279,"long beach, california, usa",
1293,"haddon twp, new jersey, usa",
1294,"victoria, british columbia, canada",
1296,"temple, new hampshire, usa",
1297,"los gatos, california, usa",30.0
1300,"wauwatosa, wisconsin, usa",37.0
1303,"troy, michigan, usa",56.0
1314,"monza, lombardia, italy",48.0
1331,"lisboa, n/a, portugal",32.0
1334,"birmingham, england, united kingdom",32.0
1343,"bishop auckland, england, united kingdom",33.0
1344,"new york, new york, usa",
1345,"tallahassee, florida, usa",
1348,"sacramento, california, usa",43.0
1355,"roseville, minnesota, usa",71.0
1359,"houston, texas, usa",14.0
1361,"wiesbaden, hessen, germany",
1368,"hopewell, virginia, usa",22.0
1369,"cobble hill, , canada",
1372,"frankfurt, hessen, germany",34.0
1375,"dinwiddie, virginia, usa",59.0
1376,"peoria, illinois, usa",
1377,"swansea, massachusetts, usa",20.0
1389,"trenton, michigan, usa",22.0
1395,"santa monica, california, usa",
1399,"york, maine, usa",41.0
1409,"farmington hills, michigan, usa",74.0
1410,"amherst, new york, usa",22.0
1412,"winston-salem, north carolina, usa",47.0
1417,"fort collins, colorado, usa",
1424,"north avoca, new south wales, australia",
1433,"woodbridge, california, usa",54.0
1435,"st. louis, missouri, usa",36.0
1436,"sault ste. marie, ontario, canada",
1442,"paris, ile de france, france",36.0
1455,"chehalis, washington, usa",
1461,"kolding, none, denmark",0.0
1466,"cologne, nordrhein-westfalen, germany",28.0
1467,"dallas, texas,",
1469,"santiago, santiago, chile",59.0
1473,"new york, new york, usa",
1485,"allendale, new jersey, usa",30.0
1486,"montmorency, victoria, australia",75.0
1487,"saint paul, minnesota, usa",23.0
1489,"somerville, massachusetts, usa",20.0
1491,"sheffield, england, united kingdom",22.0
1499,"lawrence, kansas, usa",
1500,"brighton, england, united kingdom",
1502,"sf, california, usa",
1504,"iowa city, iowa, usa",
1511,"cuyahoga falls, ohio, usa",25.0
1515,"bloomington, indiana, usa",27.0
1517,"barcelona, barcelona, spain",32.0
1519,"raleigh, north carolina, usa",61.0
1521,"washington, d.c., dc, usa",
1530,"hartsdale, new york, usa",26.0
1533,"chateauguay, quebec, canada",
1535,"virginia beach, virginia, usa",69.0
1539,"calgary, alberta, canada",
1543,"san jose, san jose, costa rica",
1546,"overland, missouri,",40.0
1547,"overland, missouri, usa",
1548,"brooklyn, new york, usa",28.0
1550,"des moines, washington, usa",
1554,"lincoln, nebraska, usa",29.0
1557,"bloomington, indiana, usa",32.0
1558,"normal, illinois, usa",61.0
1564,"provo, utah, usa",
1567,"romney, west virginia, usa",57.0
1569,"boston, massachusetts, usa",
1570,"brooklyn, new york, usa",28.0
1573,"owings mills, maryland, usa",
1585,"albuquerque, new mexico, usa",29.0
1588,"lewisham, london, united kingdom",
1591,"flensburg, schleswig-holstein, germany",24.0
1596,"jackson, tennessee, usa",51.0
1597,"west columbia, texas, usa",23.0
1608,"collingswood, new jersey, usa",27.0
1610,"charlotte, north carolina, usa",
1616,"marietta, georgia, usa",
1617,"chicago, illinois, usa",24.0
1619,"visalia, california, usa",
1633,"brooklyn, new york, usa",29.0
1650,"victoria, british columbia, canada",
1652,"new york, new york, usa",
1654,"silver spring, maryland, usa",
1660,"fort worth, texas, usa",
1661,"marcellus, new york, usa",60.0
1672,"north east, pennsylvania, usa",18.0
1674,"minneapolis, minnesota, usa",26.0
1683,"chico, california, usa",46.0
1684,"ucluelet, british columbia, canada",
1687,"champaign, illinois, usa",47.0
1688,"chelmsford, england, united kingdom",53.0
1703,"barcelona, catalunya, spain",19.0
1705,"plano, texas, usa",32.0
1706,"olympia, washington, usa",26.0
1718,"framingham, massachusetts, usa",28.0
1719,"sg, sg, singapore",
1721,"windsor, ontario, canada",21.0
1723,"danbury, connecticut, usa",40.0
1725,"palma, illes balears, united kingdom",25.0
1729,"toronto, ontario, canada",55.0
1730,"el paso, texas, usa",33.0
1733,"independence, west virginia, usa",30.0
1745,"cedar rapids, iowa, usa",
1759,"hollywood, florida, usa",29.0
1762,"prato, toscana, italy",
1768,"newington, connecticut, usa",25.0
1773,"northridge, california, usa",16.0
1790,"chicago, illinois, usa",25.0
1791,"harrisburg, pennsylvania, usa",
1792,"hutchinson, kansas, usa",
1797,"paris, paris, france",
1799,"bolzano, trentino alto adige, italy",
1805,"euless, texas, usa",
1812,"provo, utah, usa",24.0
1830,"kidderminster, worcestershire, england, united kingdom",54.0
1838,"glens falls, new york, usa",
1844,"kiel, n/a, germany",36.0
1846,"strasbourg, alsace, france",25.0
1848,"bellingham, washington, usa",22.0
1850,"sydney, nsw, australia",3.0
1859,"sackville, new brunswick, canada",
1861,"houston, texas, usa",
1863,"feucht, bayern, germany",43.0
1869,"westfield, massachusetts, usa",21.0
1878,"`s-hertogenbosch, noord brabant, netherlands",
1881,"binghamton, new york, usa",31.0
1888,"toronto, ontario, canada",
1891,"canyon city, oregon, usa",
1892,"fort wayne, indiana, usa",47.0
1898,"waukegan, illinois, usa",47.0
1900,"kent, ohio, usa",51.0
1901,"vancouver, british columbia, canada",
1903,"hualien, taiwan, taiwan",36.0
1915,"louisville, kentucky, usa",
1918,"london, england, united kingdom",23.0
1923,"beaufort, victoria, australia",
1927,"salem, oregon, usa",20.0
1928,"kansas city, missouri, usa",17.0
1933,"honolulu, hawaii, usa",
1938,"new york, new york, usa",
1945,"wrightsville beach, north carolina, usa",54.0
1947,"ottawa, ontario, canada",
1961,"grand rapids, michigan, usa",17.0
1963,"perth, western australia, australia",24.0
1969,"paris, paris, france",25.0
1971,"ames, iowa, usa",25.0
1986,"leatherhead, england, united kingdom",19.0
2009,"wuppertal, nordrhein-westfalen, germany",31.0
2010,"colfax, illinois, usa",
2012,"bray, wicklow,",34.0
2018,"edson, alberta, canada",21.0
2019,"carcavelos, n/a, portugal",29.0
2024,"oakland, california, usa",34.0
2030,"seabeck, washington, usa",31.0
2033,"omaha, nebraska, usa",27.0
2035,"longwood, florida, usa",15.0
2036,"frenchtown, new jersey, usa",49.0
2038,"bloomington, indiana, usa",
2041,"playa del rey, california, usa",
2043,"houston, ,",
2046,"philadelphia, missouri, usa",22.0
2070,"pembroke pines, florida, usa",22.0
2074,"madrid, madrid, spain",35.0
2075,"bonn, nordrhein-westfalen, germany",29.0
2077,"minneapolis, minnesota, usa",25.0
2082,"akron, ohio, usa",14.0
2084,"logroño, la rioja, spain",21.0
2087,"austin, texas, usa",
2090,"dudley, massachusetts, usa",28.0
2097,"arlington, massachusetts, usa",
2099,"tucson, arizona, usa",
2103,"minneapolis, minnesota, usa",43.0
2104,"roseville, california, usa",
2105,"new smyrna beach, florida, usa",
2106,"denver, colorado, usa",44.0
2108,"houston, texas, usa",
2109,"winnipeg, manitoba, canada",
2110,"charlotte, north carolina, usa",
2115,"escondido, california, usa",55.0
2116,"parrsboro, nova scotia, canada",
2119,"hartford, connecticut, usa",
2130,"george town, penang,",34.0
2132,"hammond, indiana, usa",
2134,"oakland, california, usa",35.0
2135,"irvine, california, usa",
2136,"salem, oregon, usa",45.0
2139,"chesapeake, virginia, usa",33.0
2141,"lexington, massachusetts, usa",
2150,"lawrenceville, georgia, usa",
2152,"grosse pointe, michigan, usa",1.0
2155,"madrid, madrid, spain",18.0
2172,"quezon city, n/a, philippines",17.0
2179,"sunderland, massachusetts, usa",30.0
2181,"montreal, quebec, canada",15.0
2183,"burnaby, british columbia, canada",
2189,"montreal, quebec, canada",24.0
2190,"lenexa, kansas, usa",29.0
2197,"n/a, travelling, canada",26.0
2198,"philadelphia, pennsylvania, usa",
2199,"launceston, tasmania, australia",25.0
2204,"el cajon, california, usa",
2219,"omaha, nebraska, usa",
2222,"aptos, california, usa",
2224,"paris, ile de france, france",23.0
2230,"harpers ferry, west virginia, usa",44.0
2238,"san diego, california, usa",34.0
2244,"embro, ontario, canada",
2250,"charlotte, north carolina, usa",
2255,"charlottesville, virginia, usa",35.0
2268,"coruña, galicia, spain",22.0
2271,"mooresville, north carolina, usa",
2275,"prescott, arizona, usa",22.0
2276,"niskayuna, new york, usa",46.0
2281,"vancouver, washington, usa",30.0
2283,"jasper, missouri, usa",18.0
2287,"north chili, new york, usa",35.0
2288,"spring hill, tennessee, usa",30.0
2292,"brighton, massachusetts, usa",
2295,"el sobrante, california, usa",21.0
2296,"wenatchee, washington, usa",61.0
2302,"tampere, pirkanmaa, finland",34.0
2308,"florence, ,",21.0
2313,"cincinnati, ohio, usa",23.0
2316,"london, n/a, united kingdom",
2324,"atlantic beach, florida, usa",40.0
2326,"porto, porto, portugal",23.0
2333,"ocean city, maryland, usa",
2336,"van buren, arkansas, usa",17.0
2337,"grove city, ohio, usa",34.0
2340,"st. louis, missouri, usa",29.0
2349,"günzburg, bayern, germany",
2354,"ottawa, ontario, canada",
2358,"bryan, texas, usa",23.0
2363,"mountain home, idaho, usa",42.0
2366,"lathrup village, michigan, usa",16.0
2368,"largo, florida, usa",18.0
2375,"norfolk, virginia, usa",20.0
2376,"bay village, ohio, usa",38.0
2385,"london, ontario, canada",
2388,"hawley, pennsylvania, usa",64.0
2395,"newtown, connecticut, usa",43.0
2399,"kent, ohio, usa",32.0
2403,"anderson, south carolina, usa",41.0
2404,"new york, new york, usa",
2406,"münchen, bayern, germany",48.0
2411,"lake city, florida, usa",37.0
2417,"lakeland, florida, usa",35.0
2421,"durban, kwazulu-natal, south africa",
2425,"vancouver, british columbia, canada",54.0
2437,"san antonio, texas, usa",45.0
2439,"atlanta, georgia, usa",26.0
2442,"torino, ,",25.0
2451,"philadelphia, pennsylvania, usa",45.0
2453,"independence, missouri, usa",
2455,"burgwedel, north carolina, germany",42.0
2457,"banff, alberta, canada",24.0
2459,"ottawa, ontario, canada",
2461,"san francisco, california, usa",59.0
2462,"kingston, , usa",
2466,"olathe, kansas, usa",
2470,"phoenix, arizona, usa",22.0
2473,"elkhart, indiana, usa",31.0
2481,"st. louis, missouri, usa",
2482,"whistler, british columbia, canada",
2485,"charlottesville, virginia, usa",
2500,"rapid city, south dakota, usa",
2501,"lisboa, loures-apelação, portugal",34.0
2503,"london, england, united kingdom",36.0
2504,"boston, massachusetts, usa",
2508,"harrogate, england, united kingdom",38.0
2515,"reus, tarragona, spain",38.0
2528,"the colony, texas, usa",
2531,"brescia, lombardia, italy",20.0
2534,"kamloops, british columbia, canada",
2540,"vienna, virginia, usa",46.0
2542,"silvis, illinois, usa",54.0
2545,"freiburg, baden-wuerttemberg, germany",48.0
2549,"nice, alpes maritimes, france",31.0
2550,"montpellier, illinois, france",
2552,"frankenthal, rheinland-pfalz, alderney",
2555,"turnersville, new jersey, usa",
2559,"santa rosa, california, usa",
2562,"wheeling, illinois, usa",53.0
2565,"pensacola, friuli venezia giulia, usa",
2567,"arlington, washington, usa",53.0
2569,"santa rosa, california, usa",
2584,"bigfork, montana, usa",
2588,"rockport, texas, usa",
2589,"shrewsbury, massachusetts, usa",
2590,"el cerrito, california, usa",26.0
2595,"wiesbaden, hessen, germany",34.0
2596,"offenburg, baden-wuerttemberg, germany",
2597,"ypsilanti, michigan, usa",29.0
2598,"flushing, michigan, usa",
2605,"marina del rey, california, usa",33.0
2608,"washburn, north dakota, usa",17.0
2611,"vero beach, florida, usa",
2613,"geneva, new york, usa",
2616,"fairbanks, alaska, usa",
2618,"westvancouver, ,",
2622,"los angeles, california, usa",41.0
2630,"kingsland, texas, usa",66.0
2632,"farmingdale, new york, usa",47.0
2638,"burnaby, british columbia, canada",
2643,"cedar park, texas, usa",28.0
2644,"austin, texas, usa",
2651,"harlingen, texas, usa",
2653,"los angeles, california, usa",46.0
2656,"kelseyville, california, usa",83.0
2668,"los angeles, california, usa",
2670,"corpus christi, texas, usa",
2678,"fort collins, colorado, usa",16.0
2679,"weston-super-mare, somerset, united kingdom",34.0
2681,"christchurch, canterbury, new zealand",
2683,"gulf breeze, florida, usa",17.0
2685,"monteporzio catone(roma), lazio, italy",21.0
2688,"herbolzheim, baden-wuerttemberg, germany",16.0
2696,"hamburg, hamburg, germany",
2708,"coventry, n/a, united kingdom",59.0
2718,"naples, florida, usa",30.0
2719,"staten island, new york, usa",37.0
2731,"victoria, british columbia, canada",
2738,"milano, lombardia, italy",32.0
2742,"rochester, new york, usa",37.0
2744,"columbus, ohio, usa",
2746,"baton rouge, louisiana, usa",25.0
2749,"bridge lake, british columbia, canada",18.0
2759,"woodstock, new york, usa",
2760,"n/a, aargau, switzerland",23.0
2766,"frisco, texas, usa",42.0
2769,"gorizia, friuli venezia giulia, italy",27.0
2770,"champaign, illinois, usa",
2771,"lake orion, michigan, usa",56.0
2776,"dacula, georgia, usa",
2789,"barcelona, catalunya, spain",28.0
2790,"san antonio, texas, usa",50.0
2791,"saint louis, missouri, usa",
2793,"jefferson, georgia, usa",34.0
2798,"fredericksburg, virginia, usa",35.0
2799,"eugene, oregon, usa",
2803,"barcelona, barcelona, spain",36.0
2804,"sarasota, florida, usa",53.0
2808,"madrid, n/a, spain",21.0
2830,"adelaide, south australia, australia",13.0
2853,"cleveland, ohio, usa",
2854,"deptford, new jersey, usa",36.0
2855,"dallas, texas, usa",35.0
2864,"bloomington, indiana, usa",
2870,"cassville, missouri, usa",
2872,"watauga, texas, usa",
2885,"shoreview, minnesota, usa",33.0
2889,"kodiak, alaska, usa",
2891,"beaverton, oregon, usa",
2893,"hospitalet de llobregat, barcelona, spain",21.0
2906,"paris, ile de france, france",20.0
2907,"new york, new york, usa",
2935,"barstow, california, usa",59.0
2936,"london, london, united kingdom",30.0
2943,"san antonio, texas, usa",
2945,"franklin, tennessee, usa",29.0
2950,"woodside, california, usa",56.0
2954,"wichita, kansas, usa",71.0
2962,"st. anthony village, minnesota, usa",47.0
2964,"tualatin, oregon, usa",
2966,"wauconda, illinois, usa",
2968,"columbus, ,",57.0
2973,"waukesha, wisconsin, usa",
2977,"richland, washington, usa",25.0
2982,"montreal, quebec, canada",34.0
2992,"san diego, california, usa",
2996,"milan, lombardia, italy",21.0
3005,"mountain view, california, usa",
3009,"stratford, connecticut, usa",
3017,"roma, lazio, italy",
3020,"virginia beach, virginia, usa",37.0
3023,"west monroe, louisiana, usa",
3026,"kuala lumpur, kuala lumpur, malaysia",
3027,"swindon, wilts, england, united kingdom",41.0
3032,"sydney, new south wales, australia",40.0
3046,"burlington, ontario, canada",
3048,"klamath falls, oregon, usa",
3049,"gold coast, queensland, australia",
3052,"houston, texas, usa",31.0
3054,"henrietta, new york, usa",
3060,"bartlett, tennessee, usa",
3061,"st. louis, missouri, usa",19.0
3062,"chicago, illinois, usa",
3063,"fort washington, maryland, usa",57.0
3066,"grand ledge, michigan, usa",29.0
3067,"long beach, california, usa",
3071,"portland, oregon, usa",
3073,"helsinki, uusimaa, finland",23.0
3077,"lowell, massachusetts, usa",
3079,"asheville, north carolina, usa",
3087,"berthoud, colorado, usa",20.0
3088,"avignon, vaucluse, france",25.0
3089,"st.paul, minnasota, usa",
3093,"belle plaine, iowa, usa",46.0
3094,"hannover, niedersachsen, germany",
3095,"córdoba, córdoba, argentina",19.0
3096,"n/a, n/a, n/a",
3099,"umeå, västerbotten, sweden",
3100,"oakland, california, usa",42.0
3101,"barcelona, barcelona, spain",28.0
3104,"watertown, massachusetts, usa",27.0
3106,"memphis, tennessee, usa",
3113,"vernon, british columbia, canada",
3133,"wapakoneta, ohio, usa",34.0
3141,"la ronge, saskatchewan, canada",
3142,"lawrenceville, georgia, usa",29.0
3145,"austin, texas, usa",34.0
3146,"hawthorne, new jersey, usa",
3148,"indianapolis, indiana, usa",
3150,"phoenix, arizona, usa",51.0
3154,"new york, new york, usa",
3165,"janesville, wisconsin, usa",
3166,"dallas, georgia, usa",15.0
3167,"milwaukee, wisconsin, usa",42.0
3174,"flagstaff, arizona, usa",24.0
3175,"hartford, wisconsin, usa",35.0
3177,"hamilton, n/a, new zealand",44.0
3185,"oslo, oslo, norway",
3186,"hilo, ,",
3191,"sligo, connaught, ireland",29.0
3192,"milwaukee, wisconsin, usa",
3193,"silkstone, queensland, australia",24.0
3194,"logan, utah, usa",20.0
3197,"ore city, texas, usa",38.0
3200,"pamplona, navarra, spain",42.0
3206,"bilbao, vizcaya, spain",23.0
3209,"madrid, n/a, spain",24.0
3232,"rome, lazio, italy",35.0
3243,"atlanta, georgia, usa",28.0
3251,"brescia, lombardia, italy",
3261,"lenexa, ,",42.0
3266,"stockholm, n/a, sweden",
3268,"seattle, washington, usa",
3282,"didsbury, alberta, canada",52.0
3283,"duisburg, nordrhein-westfalen, germany",19.0
3289,"petawawa, ontario, canada",38.0
3291,"windsor, ontario, canada",
3293,"barcelona, barcelona, spain",19.0
3302,"calgary, alberta, canada",
3305,"halifax, nova scotia, canada",26.0
3310,"tucson, arizona, usa",
3315,"tamworth, new south wales, australia",51.0
3320,"cuenca, alaska, spain",
